"id","code","name", "tridharma"
"__export__.anggaran_kebijakan_7","1","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )", 1
"__export__.anggaran_kebijakan_8","2","Penelitian", 2
"__export__.anggaran_kebijakan_9","3","Pengabdian Masyarakat", 3
"__export__.anggaran_kebijakan_16","4","Kerjasama ", 3
"__export__.anggaran_kebijakan_17","5","Publikasi dan Penertbitan", 3
"__export__.anggaran_kebijakan_18","6","Monitoring dan Evaluasi Internal", 3
"__export__.anggaran_kebijakan_19","7","Manajemen Dan Administrasi", 3
"anggaran.kebijakan1","1","Peningkatan Mutu Kinerja Akademik, Reset dan Pengabdian kepada Masyarakat"
"anggaran.kebijakan2","2","Pemantapan pendidikan profesional guru dan profesi lainnya"
"anggaran.kebijakan3","3","Peningkatan Mutu Manajemen dan Sumber Daya"
"anggaran.kebijakan4","4","Penataan kelembagaan"
"anggaran.kebijakan5","5","Peningkatan citra, kemitraan, dan internasionalisasi"
"anggaran.kebijakan6","6","Peningkatan Mutu Pembinaan Kemahasiswaan"
