"Kode Program","Program","Kode",,"Nama","COA"
1.01,"PERSIAPAN PERKULIAHAN","1.01.01",1,"Rapat koordinasi dgn dosen",
1.01,"PERSIAPAN PERKULIAHAN","1.01.02",2,"Ketersediaan rancangan pembelajaran",
1.01,"PERSIAPAN PERKULIAHAN","1.01.03",3,"Ketersediaan dosen",
1.01,"PERSIAPAN PERKULIAHAN","1.01.04",4,"Kualifikasi dosen",
1.01,"PERSIAPAN PERKULIAHAN","1.01.05",5,"Ketersediaan fasilitas kuliah",
1.01,"PERSIAPAN PERKULIAHAN","1.01.06",6,"Mata kuliah yg ditawarkan dan jumlah kelas",
1.01,"PERSIAPAN PERKULIAHAN","1.01.07",7,"Jadual kuliah",
1.01,"PERSIAPAN PERKULIAHAN","1.01.08",8,"Pengisian KRS oleh mhs",
1.01,"PERSIAPAN PERKULIAHAN","1.01.09",9,"Daftar peserta kelas & presensi/mhs/kuliah",
1.01,"PERSIAPAN PERKULIAHAN","1.01.10",10,"Daftar hadir dosen/mata kuliah",
1.02,"MAHASISWA PINDAHAN / MELANJUTKAN","1.02.01",1,"Lembar penyetaraan",
1.02,"MAHASISWA PINDAHAN / MELANJUTKAN","1.02.02",2,"Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu",
1.02,"MAHASISWA PINDAHAN / MELANJUTKAN","1.02.03",3,"Ketersediaan rancangan praktikum",
1.02,"MAHASISWA PINDAHAN / MELANJUTKAN","1.02.04",4,"Jadwal praktikum",
1.02,"MAHASISWA PINDAHAN / MELANJUTKAN","1.02.05",5,"Modul / alat praktikum",
1.02,"MAHASISWA PINDAHAN / MELANJUTKAN","1.02.06",6,"Bahan habis pakai",
1.02,"MAHASISWA PINDAHAN / MELANJUTKAN","1.02.07",7,"Dana praktikum",
1.03,"PERSIAPAN PRAKTIKUM","1.03.01",1,"Ketersediaan rancangan praktikum",
1.03,"PERSIAPAN PRAKTIKUM","1.03.02",2,"Jadual praktikum",
1.03,"PERSIAPAN PRAKTIKUM","1.03.03",3,"Modul/alat praktikum",
1.03,"PERSIAPAN PRAKTIKUM","1.03.04",4,"Bahan habis pakai",
1.03,"PERSIAPAN PRAKTIKUM","1.03.05",5,"Dana praktikum",
1.03,"PERSIAPAN PRAKTIKUM","1.03.06",6,"Daftar peserta praktikum",
1.03,"PERSIAPAN PRAKTIKUM","1.03.07",7,"Asisten/instruktur",
1.03,"PERSIAPAN PRAKTIKUM","1.03.08",8,"Penugasan asisten/instruktur",
1.03,"PERSIAPAN PRAKTIKUM","1.03.09",9,"Nilai akhir praktikum",
1.04,"PELAKSANAAN PERKULIAHAN","1.04.01",1,"Jumlah kehadiran dosen",
1.04,"PELAKSANAAN PERKULIAHAN","1.04.02",2,"Presensi mhs",
1.04,"PELAKSANAAN PERKULIAHAN","1.04.03",3,"Mahasiswa pindahan/melanjutkan",
1.05,"PELAKSANAAN PRAKTIKUM","1.05.01",1,"Jumlah kehadiran asisten/instruktur",
1.05,"PELAKSANAAN PRAKTIKUM","1.05.02",2,"Presensi mhs peserta praktikum",
1.06,"UJIAN TENGAH SEMESTER","1.06.01",1,"Tersediaan sarana & prasarana ujian",
1.06,"UJIAN TENGAH SEMESTER","1.06.02",2,"Jadual ujian",
1.06,"UJIAN TENGAH SEMESTER","1.06.03",3,"KPU",
1.06,"UJIAN TENGAH SEMESTER","1.06.04",4,"Naskah ujian & lembar jawab",
1.06,"UJIAN TENGAH SEMESTER","1.06.05",5,"Daftar hadir & daftar nilai peserta ujian",
1.06,"UJIAN TENGAH SEMESTER","1.06.06",6,"Nilai akhir",
1.06,"UJIAN TENGAH SEMESTER","1.06.07",7,"Vakasi ujian",
1.07,"UJIAN & NILAI AKHIR SEMESTER","1.07.01",1,"Tersediaan sarana & prasarana ujian",
1.07,"UJIAN & NILAI AKHIR SEMESTER","1.07.02",2,"Jadual ujian",
1.07,"UJIAN & NILAI AKHIR SEMESTER","1.07.03",3,"KPU",
1.07,"UJIAN & NILAI AKHIR SEMESTER","1.07.04",4,"Naskah ujian & lembar jawab",
1.07,"UJIAN & NILAI AKHIR SEMESTER","1.07.05",5,"Daftar hadir & daftar nilai peserta ujian",
1.07,"UJIAN & NILAI AKHIR SEMESTER","1.07.06",6,"Nilai akhir",
1.07,"UJIAN & NILAI AKHIR SEMESTER","1.07.07",7,"Vakasi ujian",
1.08,"PRAKTEK KERJA","1.08.01",1,"Tersedia perush tempat mhs praktek",
1.09,"EVALUASI PRESTASI AKADEMIK","1.09.01",1,"Jumlah IPK/IPS <2",
1.09,"EVALUASI PRESTASI AKADEMIK","1.09.02",2,"Jumlah IPK/IPS 2,02,5",
1.09,"EVALUASI PRESTASI AKADEMIK","1.09.03",3,"Jumlah IPK/IPS 2,53,0",
1.09,"EVALUASI PRESTASI AKADEMIK","1.09.04",4,"Jumlah IPK/IPS 3,04,0",
1.09,"EVALUASI PRESTASI AKADEMIK","1.09.05",5,"Segmentasi status akademik mhs berdasar perolehan SKS",
1.1,"PENYELESAIAN SKRIPSI","1.10.01",1,"Ketepatan waktu mulai",
1.1,"PENYELESAIAN SKRIPSI","1.10.02",2,"Ketepatan waktu selesai",
1.11,"UJIAN SKRIPSI","1.11.01",1,"Jadual ujian skripsi",
1.11,"UJIAN SKRIPSI","1.11.02",2,"Kehadiran pembimbing & penguji",
1.11,"UJIAN SKRIPSI","1.11.03",3,"Jumlah mhs yg lulus",
2.01,"MENYUSUN PENELITIAN, PANDUAN DAN SOP","2.01.01",1,"Persiapan draft RIP & study banding",
2.01,"MENYUSUN PENELITIAN, PANDUAN DAN SOP","2.01.02",2,"Pengumpulan data dari unit terkait",
2.01,"MENYUSUN PENELITIAN, PANDUAN DAN SOP","2.01.03",3,"Rapat pendahuluan SC & OC",
2.01,"MENYUSUN PENELITIAN, PANDUAN DAN SOP","2.01.04",4,"Raker penyususnan RIP, Panduan dan SOP",
2.02,"MENYUSUN PANDUAN PELAKSANAAN PENELITIAN, SOSIALISASI, PROGRAM KERJA PELAKSANAAN PENELITIAN","2.02.01",1,"Penyusunan panduan penelitian sesuai panduan Dikti",
2.02,"MENYUSUN PANDUAN PELAKSANAAN PENELITIAN, SOSIALISASI, PROGRAM KERJA PELAKSANAAN PENELITIAN","2.02.02",2,"Rapat koordinasi",
2.02,"MENYUSUN PANDUAN PELAKSANAAN PENELITIAN, SOSIALISASI, PROGRAM KERJA PELAKSANAAN PENELITIAN","2.02.03",3,"Sosialisasi program PP",
2.02,"MENYUSUN PANDUAN PELAKSANAAN PENELITIAN, SOSIALISASI, PROGRAM KERJA PELAKSANAAN PENELITIAN","2.02.04",4,"Penyusunan Company Profile",
2.03,"MELAKSANAKAN PELATIHAN PEMBUATAN PROPOSAL","2.03.01",1,"Pelatihan pembuatan proposal Penelitian",
2.03,"MELAKSANAKAN PELATIHAN PEMBUATAN PROPOSAL","2.03.10",10,"Pelatihan jurnal ilmiah sesuai saintech bagi dosen",
2.04,"MELAKSANAKAN SEMINAR ILMIAH","2.04.01",1,"Seminar IPTEK regulair",
2.05,"MELAKSANAKAN SEMINAR ILMIAH","2.05.02",2,"Presentasi seminar ilmiah dosen",
2.04,"MELAKSANAKAN SEMINAR ILMIAH","2.04.03",3,"Seminar dan workshop nasional",
2.05,"MELAKSANAKAN PENELITIAN INTERNAL","2.05.01",1,"Stimulan penelitian bagi dosen",
3.01,"MENYUSUN PANDUAN PELAKSANAAN SOSIALISASI PANDUAN DAN PROGRAM","3.01.01",1,"Penyusunan panduan penelitian, pengabdian & kewirausahaan",
3.01,"MENYUSUN PANDUAN PELAKSANAAN SOSIALISASI PANDUAN DAN PROGRAM","3.01.02",2,"Penyusunan peraturan & silabi pelatihan bagi masyarakat",
3.02,"MELAKSANAKAN PELATIHAN PEMBUATAN PROPOSAL PENGMAS","3.02.01",1,"Pelatihan pemuatan proposal pengabdian masyarakat",
3.03,"MELAKSANAKAN PELATIHAN PENULISAN DAN KEWIRAUSAHAAN MAHASISWA","3.03.01",1,"Pelatihan penulisan karya ilmiah bagi mhs",
3.03,"MELAKSANAKAN PELATIHAN PENULISAN DAN KEWIRAUSAHAAN MAHASISWA","3.03.02",2,"Pelatiahan kewirausahaan mhs",
3.04,"MELAKSANAKAN PELATIHAN KEWIRAUSAHAAN","3.04.01",1,"Pelatiahan kewirausahaan pemuda karang taruna",
3.04,"MELAKSANAKAN PELATIHAN KEWIRAUSAHAAN","3.04.02",2,"Pelatiahan kewirausahaan remaja putus sekolah",
3.05,"MELAKSAKAN PENYULUHAN DAN PELATIHAN PADA MASYARAKAT PER PRODI","3.05.01",1,"Kegiatan pengabdian sesuai prodi",
3.05,"MELAKSAKAN PENYULUHAN DAN PELATIHAN PADA MASYARAKAT PER PRODI","3.05.02",2,"Mengadakan seminar dan lokakarya kewirausahaan",
3.05,"MELAKSAKAN PENYULUHAN DAN PELATIHAN PADA MASYARAKAT PER PRODI","3.05.03",3,"Stimulan kewirausahaan",
