Name,category_id
Ahui  Technology,Manufacturer
Akzo Nobel Nederland,Manufacturer
Aldamex,Manufacturer
Altinex,Manufacturer
Ancol Terang P. I.,Manufacturer
Andard Mount C.,Manufacturer
Andenex-Chemie,Manufacturer
Aneka Plastik,Manufacturer
Angels Products,Manufacturer
Anggel Yeast,Manufacturer
Anhui Province Y. S.,Manufacturer
Anuh Pharma LTD,Manufacturer
Arta Kharisma,Manufacturer
Avesta C. Pack,Manufacturer
B.T. Gen S.A.,Manufacturer
Baoji Tianxin Phar,Manufacturer
Baselux S.A.,Manufacturer
Basf,Manufacturer
BASF,Manufacturer
Basildon Chem,Manufacturer
Beijing Taiyang Phar,Manufacturer
Bharat Rubber W. PVT,Manufacturer
Boegar,Manufacturer
Brataco,Manufacturer
Brataco/ Lokal,Manufacturer
Budi Acid Jaya,Manufacturer
Cabot,Manufacturer
Cahaya Berlian L.,Manufacturer
Calyx Chemical Phar,Manufacturer
Candila,Manufacturer
Cap bola golf,Manufacturer
Capsugel,Manufacturer
Cargill Bio-Chemical,Manufacturer
Cartino Gelatin Ltd,Manufacturer
Cater Chem Gmbh,Manufacturer
Cerestar China RMI,Manufacturer
Chang zhou Kang Da P,Manufacturer
Changzhou Nanjing,Manufacturer
Cheetham Salt,Manufacturer
"Chemagis, Ltd",Manufacturer
Chemco,Manufacturer
Cheng fong Chemical,Manufacturer
China Jiangsu,Manufacturer
China Mineral I/E C.,Manufacturer
China Soyabean,Manufacturer
Cipta Perkasa Tunggal,Manufacturer
Clariant Prod UK,Manufacturer
Cognis,Manufacturer
Cognis Indonesia,Manufacturer
CP Kelco Brasil S/A,Manufacturer
CSPC Hebei Zhongrun,Manufacturer
CSPC Innovation Phar,Manufacturer
CSPC Weisheng Phar,Manufacturer
CSPC Zhongnuo S.,Manufacturer
CU Chemie Uetikon,Manufacturer
Daewoong Riasima INA,Manufacturer
Dai-ichi Fine Chem,Manufacturer
Dai-ichi Kogyo S.,Manufacturer
Daimaru,Manufacturer
Daixi Chem,Manufacturer
Danisco France SAS,Manufacturer
DBS,Manufacturer
Divi's Laboratories,Manufacturer
Dow Chemical Pacific,Manufacturer
DSM Nutritional P.,Manufacturer
DSM Nutritional Prod,Manufacturer
DSM Sinochem Phar,Manufacturer
Duta Sugar I.,Manufacturer
Ecogreen Oleochem,Manufacturer
Europe,Manufacturer
Faci Asia Pacific,Manufacturer
Feltindo,Manufacturer
Ferrer Equim S.A,Manufacturer
Firmenich Indonesia,Manufacturer
Foshan J. G. CLtd,Manufacturer
Fuyang B.F.P.,Manufacturer
Gelita,Manufacturer
Geltech Co. Ltd,Manufacturer
Gerresheimer P.,Manufacturer
Ghani Glass LTD,Manufacturer
Grande,Manufacturer
Guanxi Longguang TD ,Manufacturer
Gujarat Glass,Manufacturer
Gujarat Microwax Private Ltd.,Manufacturer
Gujarat Overseas Inc,Manufacturer
Haichen Haiyan M. F.,Manufacturer
Halcyon Labs pvt.,Manufacturer
Hanwha Chemical Corp,Manufacturer
Happy Salad,Manufacturer
Hebei Jiheng Phar,Manufacturer
Hemmo Phar Private,Manufacturer
