,"default_code","Name","seller_ids/product_name","seller_ids/name","uom_id","uom_po_id","categ_id","list_price","route_ids","cost_method","valuation","type","purchase_ok","active"
"id","BAA0010101","Acetic Acid Glacial","Acetic Acid Glacial No. Cat 100063","Merck kgaA","Liter(s)","Liter(s)","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_100","BAA0010201","Acetic Acid Glacial","Acetic Acid Glacial No. Cat 9508","JT Baker","Liter(s)","Liter(s)","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_110","BAG0010101","Apple Green","Apple Green","Sensient Colors UK","g","kg","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_120","BAD0010101","Alcohol Denatured","Denatured Ethanol 95%  (SDA BIT 6)","Karsavicta Satya","Liter(s)","Liter(s)","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_130","BAL0010101","Alcohol","Ethanol 95%","Karsavicta Satya","Liter(s)","Liter(s)","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_140","BAL0010201","Alcohol","Alkohol Teknis 95%","PG. Rajawali II P","Liter(s)","Liter(s)","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_150","BAO0010101","Anise Oil","Anisie Oil Extra ADS 339765","Symrise","kg","kg","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_160","BAS0010101","Ammonia Solution","Ammonia Liquid","Brataco","Liter(s)","Liter(s)","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_170","BBA0010101","Benzyl Alcohol","Benzyl alcohol No. Cat 1.00987","Merck kgaA","Liter(s)","Liter(s)","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_180","BBA0010201","Benzyl Alcohol","Benzyl alcohol No. Cat 9050","JT. Baker","Liter(s)","Liter(s)","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_190","BBC0010101","Benzalkonium Chloride","Benzalkonium Klorida (Phemerol Klorida) (BKC) No. Cat 817032","Merck kgaA","g","g","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_200","BCA0010101","Citric Acid Anhydrous","Citric Acid Anhydrous (sediaan oral)","RZBC IMP & EXP","kg","kg","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_210","BCA0010201","Citric Acid Anhydrous","Citric Acid Anhydrous (sediaan oral)","Budi Acid Jaya","kg","kg","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_220","BCA0020101","Citric Acid Monohydrate","Citric Acid monohydrate No. Cat 1.00244 (sediaan injeksi)","Merck kgaA","kg","kg","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_230","BCB0010101","Coffe Brown","Coffe Brown","Sensient Colors UK","kg","kg","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_240","BCN0010101","Capsule No 0 Black - Scarlet ","Capsule No 0 Black (0990) - Scarlet (2740)","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_250","BCN0020101","Capsule No 0 Brown - Flesh ","Capsule No 0 Brown (7645) - Flesh (4355)","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_260","BCN0030101","Capsule No 0 Green - Green","Capsule No 0 Green (5630) - Green (5630) ","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_270","BCN0040101","Capsule No 0 Maroon - Maroon","Capsule No 0 Maroon (7760) - Maroon (7760) ","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_280","BCN0050101","Capsule No 0 Red - Orange","Capsule No 0 Red (3830) - Orange (3300)","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_290","BCN0060101","Capsule No 0 Scarlet - Scarlet","Capsule No 0 Scarlet (2740) - Scarlet (2740)","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_300","BCN0070101","Capsule No 0 Green - Yellow","Capsule No 0 Green (5630) - Yellow (4630)","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_310","BCN0080101","Capsule No 0 Yellow - Yellow ","Capsule No 0 Yellow (4630) - Yellow (4630)","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_320","BCN0090101","Capsule No 2 Blue - Green","Capsule No 2 Blue (6930) - L. Green (6691)","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_330","BCN0090201","Capsule No 2 Blue - Green","Capsule No 2 M Green OP (17.771) - D. Blue OP (54.716)","Capsugel","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_340","BCN0100101","Capsule No 2 L Green - White","Capsule No 2 L Green (6691) - White (9090)","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_350","BCN0110101","Capsule No 2 Yellow - Yellow","Capsule No 2 Yellow (462) - Yellow (462)","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_360","BCN0120101","Capsule No 2 Black - Scarlet","Capsule No 2 Black (0990) - Scarlet (2740)","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_370","BCN0130101","Capsule No 2 Blue - Ivory","Capsule No 2 Blue (6120) - Ivory (4120)","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_380","BCN0140101","Capsule No 2 Blue - White","Capsule No 2 Blue (6630) - White (9090)","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_390","BCN0150101","Capsule No 2 Green - Yellow","Capsule No 2 Green (5630) - Yellow (4630)","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_400","BCN0160101","Capsule No 2 Green - White","Capsule No 2 Green (5630) - White (9090)","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_410","BCN0160201","Capsule No 2 Green - White","Capsule No 2 M Green OP (17.771) - White OP (44.700)","Capsugel","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_420","BCN0170101","Capsule No 2 Orange - Orange","Capsule No 2 Orange (3710) - Orange (3710)","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_430","BCN0180101","Capsule No 2 Orange - Yellow","Capsule No 2 Orange (354) - Yellow (463)","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_440","BCN0190101","Capsule No 2 Scarlet - Grey","Capsule No 2 Scarlet (2730) - Grey (9160)","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_450","BCN0200101","Capsule No 2 Scarlet - White","Capsule No 2 Scarlet (2730) - White (9090)","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_460","BCN0210101","Capsule No 2 Yellow - White","Capsule No 2 Yellow (4630) - White (9090)","Kapsulindo Nusantara","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_470","BCN0210201","Capsule No 2 Yellow - White","Capsule No 2 S.Yellow OP (42.705) - White OP (44.700)","Capsugel","Pcs","Pcs","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_480","BCS0010101","Carboxymethylcellulose Sodium","Cellogen F-SH","Dai-ichi Kogyo S.","kg","kg","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_490","BCS0020101","Colloidal Silicon Dioxide","Cab-o-sil M5 (Aerosil)","Cabot","kg","kg","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_500","BCS0020201","Colloidal Silicon Dioxide","HDK N20 Hydrophilic Pyrogenic Silica (Aerosil)","Wacker Chemicals","kg","kg","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_510","BCS0030101","Corn Starch","Food Maize Strach 03401 (amylum maydis)","Cargill Bio-Chemical","kg","kg","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_520","BCS0030201","Corn Starch","Food Maize Strach 03401 (amylum maydis)","Cerestar China RMI","kg","kg","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
"bahan_baku_pembantu_530","BCO0010101","Copovidone VA 64","Kolidon VA 64","BASF","kg","kg","Bahan Baku Pembantu",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE"
