name,year,Forecast Details/Substance,Forecast Details/Jan,Forecast Details/Feb,Forecast Details/Mar,Forecast Details/Apr,Forecast Details/May,Forecast Details/Jul,Forecast Details/Jul,Forecast Details/Aug,Forecast Details/Sep,Forecast Details/Oct,Forecast Details/Nov,Forecast Details/Dec
2015,2015,Amoxicillin 250 mg Strip 10,,,,,,,,,,,,
,,Amoxicillin 250 mg Strip 12,,,,,,,,,,,,
,,Amoxicillin DS 125 mg 60 ml,,,,,,,,,,,,
,,Ampicillin 250 mg Pot 100,,,,,,,,,,,,
,,Ampicillin 500 mg Pot 500,,,,,,,,,,,,
,,Ampicillin 250 mg Strip,,,,,,,,,,,,
,,Ampicillin DS 125mg 60 ml (PD),,,,,,,,,,,,
,,Ampicillin DS 125mg 60 ml (TD),,,,,,,,,,,,
,,Camicillin 250 mg Blister,,,,,,,,,,,,
,,Camicillin 250 mg Pot 1000,,,,,,,,,,,,
,,Camicillin 250 mg Strip,,,,,,,,,,,,
,,Camicillin 500 mg Blister,,,,,,,,,,,,
,,Camicillin 500 mg Pot 1000,,,,,,,,,,,,
,,Camicillin 500 mg Strip,,,,,,,,,,,,
,,Camillin 500 mg Blister Export,,,,,,,,,,,,
,,Camillin DS 125,,,,,,,,,,,,
,,Camillin DS 250,,,,,,,,,,,,
,,Camoksil 250 mg Blister,,,,,,,,,,,,
,,Camoksil 250 mg Strip,,,,,,,,,,,,
,,Camoksil 500 mg Blister Export,,,,,,,,,,,,
,,Camoksil 500 mg Strip,,,,,,,,,,,,
,,Camoksil 500 mg,,,,,,,,,,,,
,,Camoksil DS 125 mg,,,,,,,,,,,,
,,Camoksil DS 250 mg,,,,,,,,,,,,
,,Pacillin DS,,,,,,,,,,,,
,,Pacimox DS,,,,,,,,,,,,
,,Camitrosin DS 60 ml,,,,,,,,,,,,
,,Doxycycline DS 20 ml,,,,,,,,,,,,
,,Erythromycin DS 60 ml,,,,,,,,,,,,
,,Tetracycline DS 125 60 ml,,,,,,,,,,,,
,,Aminophylline  10 ml @ 50,,,,,,,,,,,,
,,Aminophylline  10 ml @ 30,,,,,,,,,,,,
,,Antalgin 250 mg 10 ml,,,,,,,,,,,,
,,Antalgin 500 mg 10 ml,,,,,,,,,,,,
,,Antalgin 250 mg/ml 2 ml @ 30,,,,,,,,,,,,
,,Antalgin 500 mg/ml 1 ml @ 100,,,,,,,,,,,,
,,Aqua pro injection 2 ml,,,,,,,,,,,,
,,Aqua pro injection 4 ml,,,,,,,,,,,,
,,Aqua pro injection 5 ml,,,,,,,,,,,,
,,Aqua pro injection 10 ml,,,,,,,,,,,,
,,Aquabidestillata 20 ml,,,,,,,,,,,,
,,Aquabidestillata 100 ml,,,,,,,,,,,,
,,Calcii chlorid  10 ml Ampul,,,,,,,,,,,,
,,Calcii chlorid 10 ml Vial,,,,,,,,,,,,
,,Camidexon 5 mg/ml 1 ml Ampul,,,,,,,,,,,,
,,Camidexon 5 mg/ml 10 ml Vial,,,,,,,,,,,,
,,Camidon 15 ml,,,,,,,,,,,,
,,Camidon 10 ml,,,,,,,,,,,,
,,Camidryl 10 mg/ml 15 ml,,,,,,,,,,,,
,,Camidryl 10 mg/ml 1 ml,,,,,,,,,,,,
,,Camidryl 10 mg/ml 10 ml,,,,,,,,,,,,
,,Camigesik 50 mg/ml 2 ml,,,,,,,,,,,,
,,Chlorpromazine 5 mg/ml 2 ml,,,,,,,,,,,,
,,Chlorpromazine 25 mg/ml 1 ml,,,,,,,,,,,,
,,Cholimed 125 mg/ml 2 ml,,,,,,,,,,,,
,,Cortison Acetate 25 mg/ml 10ml,,,,,,,,,,,,
,,Dexamethasone 5 mg/ml 1 ml,,,,,,,,,,,,
,,Diphenhydramine 10 mg/ml 1 ml,,,,,,,,,,,,
,,Dobutamine 25 mg/ml 10 ml,,,,,,,,,,,,
,,Glojaya 20 mg/ml 10 ml,,,,,,,,,,,,
,,Glojaya 2 mg/ml 100 ml,,,,,,,,,,,,
,,"Glomethyl 0,2 mg/ml 1 ml",,,,,,,,,,,,
,,Glomin 40 mg/ml 5 ml,,,,,,,,,,,,
,,Glosix 10 mg/ml 2 ml,,,,,,,,,,,,
,,Glotron 2 ml,,,,,,,,,,,,
,,Glotron 4 ml,,,,,,,,,,,,
,,Lidocain compositum 2 ml,,,,,,,,,,,,
,,Lidocain HCl 2% 2 ml,,,,,,,,,,,,
,,Lidocaine 2% 2 ml,,,,,,,,,,,,
,,Lunex 50 mg/ml 5 ml,,,,,,,,,,,,
,,Lunex 100mg/ml 5 ml,,,,,,,,,,,,
,,Lusitren 20 mg/ml 5 ml,,,,,,,,,,,,
,,Lusitren 20 mg/ml 15 ml,,,,,,,,,,,,
,,Matosin 10 IU/ml 1 ml,,,,,,,,,,,,
,,"Methylergometrine 0,2mg/ml 1ml",,,,,,,,,,,,
,,Papaverin 40 mg/ml 10 ml,,,,,,,,,,,,
,,Papaverin 40 mg/ml 1 ml,,,,,,,,,,,,
,,Piracetam 200 mg/ml 15 ml,,,,,,,,,,,,
,,Piracetam 200 mg/ml 5 ml,,,,,,,,,,,,
,,Vitamin B complex 10 ml,,,,,,,,,,,,
,,Vitamin B complex 20 ml,,,,,,,,,,,,
,,Vitamin B1 1 ml,,,,,,,,,,,,
,,Vitamin B1 10 ml,,,,,,,,,,,,
,,Vitamin B1 100 mg/ml 1 ml,,,,,,,,,,,,
,,Vitamin B12 500mcg/ml 1 ml,,,,,,,,,,,,
,,Vitamin B12 500 mcg/ml 10 ml,,,,,,,,,,,,
,,Vitamin B6 1 ml @ 50,,,,,,,,,,,,
,,Vitamin B6 1 ml @ 100,,,,,,,,,,,,
,,Vitamin K 10 mg/ml 1 ml,,,,,,,,,,,,
,,Camicetine 250 mg Blister,,,,,,,,,,,,
,,Camicetine 250 mg Pot 1000,,,,,,,,,,,,
,,Camicetine 250 mg Strip,,,,,,,,,,,,
,,Camicetine 500 mg Strip,,,,,,,,,,,,
,,Camicyclin 250 mg Blister,,,,,,,,,,,,
,,Camicyclin 250 mg Pot 1000,,,,,,,,,,,,
,,Camicyclin 250 mg Strip,,,,,,,,,,,,
,,Camicyclin 500 mg Pot 1000,,,,,,,,,,,,
,,Camicyclin 500 mg Strip,,,,,,,,,,,,
,,Camitrosin 250 mg Blister,,,,,,,,,,,,
,,Camitrosin 250 mg Pot 1000,,,,,,,,,,,,
,,Camitrosin 250 mg Strip,,,,,,,,,,,,
,,Chlorampenicol 250 mg Pot 1000,,,,,,,,,,,,
,,Chlorampenicol 250 mg Pot 250,,,,,,,,,,,,
,,Chlorampenicol 250 mg Strip 10,,,,,,,,,,,,
,,Chlorampenicol 250 mg Strip 12,,,,,,,,,,,,
,,Camistan 250 mg Strip,,,,,,,,,,,,
,,Doxycycline 100 mg Strip,,,,,,,,,,,,
,,Erythromycin 250 mg Strip,,,,,,,,,,,,
,,Glomasin 150 mg Strip,,,,,,,,,,,,
,,Glomasin 300 mg Strip,,,,,,,,,,,,
,,Heparsan Pot 30,,,,,,,,,,,,
,,Indometacin 25 mg Strip,,,,,,,,,,,,
,,Kosaka Strip,,,,,,,,,,,,
,,Oximak Pot 30,,,,,,,,,,,,
,,Phenytoin 100 mg Pot 100,,,,,,,,,,,,
,,Phenytoin 100 mg Pot 250,,,,,,,,,,,,
,,Phenytoin 30 mg Pot 100,,,,,,,,,,,,
,,Phenytoin 30 mg Pot 250,,,,,,,,,,,,
,,Rosan Pot 30,,,,,,,,,,,,
,,Tetracycline 250 mg Pot 1000,,,,,,,,,,,,
,,Tetracycline 250 mg Strip,,,,,,,,,,,,
,,Zentropil 100 mg Blister,,,,,,,,,,,,
,,Zentropil 100 mg Pot 250,,,,,,,,,,,,
,,Zentropil 30 mg Pot 250,,,,,,,,,,,,
,,Camaag Strip,,,,,,,,,,,,
,,Camistan 250 mg Blister,,,,,,,,,,,,
,,Camistan 500 mg Strip,,,,,,,,,,,,
,,Fluza Blister,,,,,,,,,,,,
,,Fluza Catch Cover,,,,,,,,,,,,
,,Glocef 1 g,,,,,,,,,,,,
,,Jayacin 500 mg Strip,,,,,,,,,,,,
,,Renxon 1 g,,,,,,,,,,,,
,,Balcitin 1 % 5 g,,,,,,,,,,,,
,,"Betametason 0,1% 5 g",,,,,,,,,,,,
,,Fluza Effervescent,,,,,,,,,,,,
,,Galium 10 mg Strip,,,,,,,,,,,,
,,Galium 5 mg Strip,,,,,,,,,,,,
,,Glodin 5 mg Strip,,,,,,,,,,,,
,,Glomeson 4 mg Strip,,,,,,,,,,,,
,,Glomeson 8 mg Strip,,,,,,,,,,,,
,,Glomeson 16 mg Strip,,,,,,,,,,,,
,,Iglodep 50 mg Strip,,,,,,,,,,,,
,,Lutrotam 800 mg Strip,,,,,,,,,,,,
,,Methylergometrin Pot 100,,,,,,,,,,,,
,,Myoman 50 mg Strip,,,,,,,,,,,,
,,Paxicam 15 mg Strip,,,,,,,,,,,,
,,Paxicam 7.5 mg Strip,,,,,,,,,,,,
,,Phenoxymethyl-penicillin 250mg,,,,,,,,,,,,
,,Phenoxymethylpenicillin 500mg ,,,,,,,,,,,,
,,Trenxy  400 mg Strip,,,,,,,,,,,,
,,Vitamin A 50.000 IU Pot 1000,,,,,,,,,,,,
,,Paclulic 10 mg,,,,,,,,,,,,
,,Alkohol 70% 100 ml,,,,,,,,,,,,
,,Alkohol 70% 1 L,,,,,,,,,,,,
,,Cayodine 30 ml,,,,,,,,,,,,
,,Cayodine 30 ml TD,,,,,,,,,,,,
,,Cayodine 60 ml,,,,,,,,,,,,
,,Cayodine 60 ml TD,,,,,,,,,,,,
,,Cayodine 1 L,,,,,,,,,,,,
,,Glyserol 100 ml,,,,,,,,,,,,
,,Otedental 10 ml,,,,,,,,,,,,
,,Povidone iodine 30 ml,,,,,,,,,,,,
,,Povidone iodine 300 ml,,,,,,,,,,,,
,,Povidone iodine 1 L,,,,,,,,,,,,
,,Rivanol 300 ml,,,,,,,,,,,,
,,Rivanol 100 ml,,,,,,,,,,,,
,,Lysol 1 L,,,,,,,,,,,,
,,Bio nigell,,,,,,,,,,,,
,,Buah Merah Rediss,,,,,,,,,,,,
,,Buah Merah W 600,,,,,,,,,,,,
,,DBS Habbazzaitun ,,,,,,,,,,,,
,,Hebbat Yemen 600 mg,,,,,,,,,,,,
,,Inspira Fish Oil,,,,,,,,,,,,
,,Inspira Vitamin E 400 IU,,,,,,,,,,,,
,,Lamata,,,,,,,,,,,,
,,Pure Fish Oil ,,,,,,,,,,,,
,,Vitamin A 100.000 IU,,,,,,,,,,,,
,,Vitamin A 200.000 IU,,,,,,,,,,,,
,,Natura Nigela S 700,,,,,,,,,,,,
,,Natura Omega S 650,,,,,,,,,,,,
,,Biocelle,,,,,,,,,,,,
,,Habbatussauda 600 mg,,,,,,,,,,,,
