bom_id,workcenter_operation_id,mesin,no_mesin,is_paralel,work_center_id,waktu
Amoxicillin DS 125 mg 60 ml,Oven botol axial fan,,,,,120
,Penimbangan,Timbangan Mettler Toledo,,,,30
,,Printer Timbangan Mettler Toledo,,,,30
,,Timbangan Kern,,,,30
,Mixing,Mesin Super Mixer,,,,60
,Filling/cetak,Mesin Cetak Tablet JCMCO,,,,
,,Mesin Filling Capsule Chin Yi,,,,
,,Mesin Filling AMS,,,,240
,,Mesin Capping Jie Cheng,,,,240
,Coding,Mesin Codding Kapsul Alpha Jet,,,,60
,Labelling,Mesin Etiket Chyun Jye,,,,360
Ampicillin DS 125mg 60 ml PD,Oven botol axial fan,,,,,120
,Penimbangan,Timbangan Mettler Toledo,,,,30
,,Printer Timbangan Mettler Toledo,,,,30
,,Timbangan Kern,,,,30
,Mixing,Mesin Super Mixer,,,,60
,Filling/cetak,Mesin Cetak Tablet JCMCO,,,,
,,Mesin Filling Capsule Chin Yi,,,,
,,Mesin Filling AMS,,,,240
,,Mesin Capping Jie Cheng,,,,240
,Coding,Mesin Codding Kapsul Alpha Jet,,,,120
,Labelling,Mesin Etiket Chyun Jye,,,,360
Ampicillin DS 125mg 60 ml TD,Oven botol axial fan,,,,,120
,Penimbangan,Timbangan Mettler Toledo,,,,30
,,Printer Timbangan Mettler Toledo,,,,30
,,Timbangan Kern,,,,30
,Mixing,Mesin Super Mixer,,,,60
,Filling/cetak,Mesin Cetak Tablet JCMCO,,,,
,,Mesin Filling Capsule Chin Yi,,,,
,,Mesin Filling AMS,,,,240
,,Mesin Capping Jie Cheng,,,,240
,Coding,Mesin Codding Kapsul Alpha Jet,,,,60
,Labelling,Mesin Etiket Chyun Jye,,,,360
Camillin DS 125,Oven botol axial fan,,,,,120
,Penimbangan,Timbangan Mettler Toledo,,,,30
,,Printer Timbangan Mettler Toledo,,,,30
,,Timbangan Kern,,,,30
,Mixing,Mesin Super Mixer,,,,60
,Filling/cetak,Mesin Cetak Tablet JCMCO,,,,
,,Mesin Filling Capsule Chin Yi,,,,
,,Mesin Filling AMS,,,,240
,,Mesin Capping Jie Cheng,,,,240
,Coding,Mesin Codding Kapsul Alpha Jet,,,,120
,Labelling,Mesin Etiket Chyun Jye,,,,360
Camillin DS 250,Oven botol axial fan,,,,,120
,Penimbangan,Timbangan Mettler Toledo,,,,30
,,Printer Timbangan Mettler Toledo,,,,30
,,Timbangan Kern,,,,30
,Mixing,Mesin Super Mixer,,,,60
,Filling/cetak,Mesin Cetak Tablet JCMCO,,,,
,,Mesin Filling Capsule Chin Yi,,,,
,,Mesin Filling AMS,,,,240
,,Mesin Capping Jie Cheng,,,,240
,Coding,Mesin Codding Kapsul Alpha Jet,,,,120
,Labelling,Mesin Etiket Chyun Jye,,,,360
Camoksil DS 125 mg,Oven botol axial fan,,,,,120
,Penimbangan,Timbangan Mettler Toledo,,,,30
,,Printer Timbangan Mettler Toledo,,,,30
,,Timbangan Kern,,,,30
,Mixing,Mesin Super Mixer,,,,60
,Filling/cetak,Mesin Cetak Tablet JCMCO,,,,
,,Mesin Filling Capsule Chin Yi,,,,
,,Mesin Filling AMS,,,,240
,,Mesin Capping Jie Cheng,,,,240
,Coding,Mesin Codding Kapsul Alpha Jet,,,,120
,Labelling,Mesin Etiket Chyun Jye,,,,360
Camoksil DS 250 mg,Oven botol axial fan,,,,,120
,Penimbangan,Timbangan Mettler Toledo,,,,30
,,Printer Timbangan Mettler Toledo,,,,30
,,Timbangan Kern,,,,30
,Mixing,Mesin Super Mixer,,,,60
,Filling/cetak,Mesin Cetak Tablet JCMCO,,,,
