"id","code","name","note"
"__export__.mrp_routing_100","SYR1","Syrup Tanpa Dus",
"__export__.mrp_routing_200","SYR2","Syrup Dengan Dus",
"__export__.mrp_routing_300","STD","Suspensi Tanpa Dus",
"__export__.mrp_routing_400","STD2","Suspensi Pakai Dus",
"__export__.mrp_routing_500","SC","Soft Capsule",
"__export__.mrp_routing_600","K","Kapsul",
"__export__.mrp_routing_700","K/T","Kaplet/Tablet",
"__export__.mrp_routing_800","DSPD","Dry Syrup Pakai Dus",
"__export__.mrp_routing_900","DSTD","Dry Syrup Tanpa Dus",
"__export__.mrp_routing_1000","LAR","Larutan",
"__export__.mrp_routing_1100","INK","Injeksi",
