"id","routing_id","sequence","name","cycle_nbr","hour_nbr","workcenter_id"
"wc_line_100","Syrup Tanpa Dus",5,"Pengeringan",1,1,"Oven"
"wc_line_110","Syrup Tanpa Dus",10,"Penimbangan",1,1,"Scale"
"wc_line_120","Syrup Tanpa Dus",10,"Kemas Primer/Bilas",1,1,"Mesin Bilas"
"wc_line_130","Syrup Tanpa Dus",10,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_140","Syrup Tanpa Dus",10,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_150","Syrup Tanpa Dus",20,"Mixing",1,1,"Mixer"
"wc_line_160","Syrup Tanpa Dus",20,"Kemas Primer/Pengeringan",1,1,"Mesin Pengeringan"
"wc_line_170","Syrup Tanpa Dus",30,"QC",1,1,"QC"
"wc_line_180","Syrup Tanpa Dus",40,"Filling",1,1,"Mesin Filling"
"wc_line_190","Syrup Tanpa Dus",50,"Visual",1,1,"Visual"
"wc_line_200","Syrup Tanpa Dus",60,"Labelling",1,1,"Labelling"
"wc_line_210","Syrup Tanpa Dus",70,"Packing (Master Box)",1,1,"Packing"
"wc_line_220","Syrup Dengan Dus",5,"Pengeringan",1,1,"Oven"
"wc_line_230","Syrup Dengan Dus",10,"Penimbangan",1,1,"Scale"
"wc_line_240","Syrup Dengan Dus",10,"Kemas Primer/Bilas",1,1,"Mesin Bilas"
"wc_line_250","Syrup Dengan Dus",10,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_260","Syrup Dengan Dus",10,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_270","Syrup Dengan Dus",20,"Mixing",1,1,"Mixer"
"wc_line_280","Syrup Dengan Dus",20,"Kemas Primer/Pengeringan",1,1,"Mesin Pengeringan"
"wc_line_290","Syrup Dengan Dus",30,"QC",1,1,"QC"
"wc_line_300","Syrup Dengan Dus",40,"Filling",1,1,"Mesin Filling"
"wc_line_310","Syrup Dengan Dus",50,"Visual",1,1,"Visual"
"wc_line_320","Syrup Dengan Dus",60,"Labelling",1,1,"Labelling"
"wc_line_330","Syrup Dengan Dus",70,"Packing (Folding Box)",1,1,"Packing"
"wc_line_340","Syrup Dengan Dus",80,"Packing (Master Box)",1,1,"Packing"
"wc_line_350","Suspensi Tanpa Dus",5,"Pengeringan",1,1,"Oven"
"wc_line_360","Suspensi Tanpa Dus",10,"Penimbangan",1,1,"Scale"
