id,code,name,resource_type
__export__.mrp_workcenter_101,Cuci Botol,Cuci Botol,user
__export__.mrp_workcenter_102,Oven,Oven Botol,material
__export__.mrp_workcenter_103,Scale,Penimbangan,material
__export__.mrp_workcenter_104,Mesin Bilas,Kemas Primer/Bilas,material
__export__.mrp_workcenter_105,Codding,Kemas Sekunder/Codding,material
__export__.mrp_workcenter_106,Codding,Kemas Tersier/Codding,material
__export__.mrp_workcenter_107,Mixer,Mixing,material
__export__.mrp_workcenter_108,Mesin Pengeringan,Kemas Primer/Pengeringan,material
__export__.mrp_workcenter_109,QC,QC,user
__export__.mrp_workcenter_110,Mesin Filling,Filling,material
__export__.mrp_workcenter_111,Visual,Sortir Visual,user
__export__.mrp_workcenter_112,Codding,Codding,material
__export__.mrp_workcenter_113,Labelling,Labelling,user
__export__.mrp_workcenter_114,Packing F.Box,Packing (Folding Box),user
__export__.mrp_workcenter_115,Packing M.Box,Packing (Master Box),user
__export__.mrp_workcenter_116,Oven,Pengeringan,material
__export__.mrp_workcenter_117,Visual,Visual,user
__export__.mrp_workcenter_118,Melting,Melting,material
__export__.mrp_workcenter_119,Drying,Drying & Polishing,material
__export__.mrp_workcenter_120,Counting,Counting,material
__export__.mrp_workcenter_121,Labelling&Packing,Labelling & Packing,user
__export__.mrp_workcenter_122,QC,Uji QC,user
__export__.mrp_workcenter_123,QC,Sortir,user
__export__.mrp_workcenter_124,Strip/Blist,Strip/Blist,material
__export__.mrp_workcenter_125,Packing,Packing,user
__export__.mrp_workcenter_126,Mesin Cetak,Cetak,material
__export__.mrp_workcenter_127,Stripping/Blistering,Stripping/Blistering,material
__export__.mrp_workcenter_128,Packing,"Packing (Fbox,Master Box)",user
__export__.mrp_workcenter_129,Mesin Filling & Capping,Filling & Capping,material
__export__.mrp_workcenter_130,Mesin Bilas,Bilas,material
__export__.mrp_workcenter_131,Codding,Codding Botol,material
__export__.mrp_workcenter_132,Codding,Codding Etiket,material
__export__.mrp_workcenter_133,Cuci Ampul,Cuci Ampul/Vial,material
__export__.mrp_workcenter_134,Sterillisasi,Sterillisasi Ampul/Vial,user
__export__.mrp_workcenter_135,Sterillisasi,Sterillisasi Baju & Peralatan,user
__export__.mrp_workcenter_136,Sterillisasi,Sterillisasi Produk,user
__export__.mrp_workcenter_137,Integrity Test,Integrity Test,user
__export__.mrp_workcenter_138,Filtrasi,Filtrasi,material
__export__.mrp_workcenter_139,Printing,Printing Ampul,material
__export__.mrp_workcenter_140,PS.06,PS.06,material
__export__.mrp_workcenter_141,PS.07,PS.07,material
__export__.mrp_workcenter_142,PS.08,PS.08,material
