id,name,parent_id,type,sediaan_id,property_account_expense_categ,property_account_income_categ,property_stock_account_input_categ,property_stock_account_output_categ,property_stock_valuation_account_id,removal_days,alert_days,end_of_life_days,best_before_days
product_categ_100,Bahan Awal,,view,,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan Bahan Awal,0,0,0,0
product_categ_110,Bahan Awal Aktif,Bahan Awal,normal,,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan Bahan Awal Aktif,0,0,0,0
product_categ_120,Bahan Awal Pembantu,Bahan Awal,normal,,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan Bahan Awal Pembantu,0,0,0,0
product_categ_130,Bahan Pengemas,,normal,,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan Bahan Pengemas,0,0,0,0
product_categ_140,Produk Jadi,,view,,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan Produk Jadi,0,0,0,0
product_categ_150,Betalaktam,Produk Jadi,normal,Betalaktam,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan Betalaktam,60,60,60,60
product_categ_160,Dry Syrup,Produk Jadi,normal,Syrup,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan Dry Syrup,60,60,60,60
product_categ_170,Injeksi,Produk Jadi,normal,Injeksi,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan Injeksi,60,60,60,60
product_categ_180,Kapsul Kaplet Tablet,Produk Jadi,normal,Kapsul,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan Kapsul Kaplet Tablet,60,60,60,60
product_categ_190,Produk Setengah Jadi,Produk Jadi,normal,,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan Produk Setengah Jadi,60,60,60,60
product_categ_200,Produk Belum Siap Jual,Produk Jadi,normal,,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan Produk Belum Siap Jual,60,60,60,60
product_categ_210,Larutan,Produk Jadi,normal,Larutan,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan Larutan,60,60,60,60
product_categ_220,PKRT,Produk Jadi,normal,,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan PKRT,60,60,60,60
product_categ_230,Soft Capsule,Produk Jadi,normal,Soft Capsule,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan Soft Capsule,60,60,60,60
product_categ_240,Syrup,Produk Jadi,normal,Syrup,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan Syrup,60,60,60,60
product_categ_250,Non Starting Material,,view,,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan Non Starting Material,0,0,0,0
product_categ_260,Asset,Non Starting Material,normal,,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan Asset,0,0,0,0
product_categ_270,Rutin,Non Starting Material,view,,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan Rutin,0,0,0,0
product_categ_280,QA,Rutin,normal,,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan QA,0,0,0,0
product_categ_290,QC,Rutin,normal,,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan QC,0,0,0,0
product_categ_300,Gudang,Rutin,normal,,5000 Cost of Goods Sold,479100 Sales,Interim Stock,Interim Stock,Persediaan Gudang,0,0,0,0
