"id","name","location_id","usage"
"loc_gudang_bahan_awal","Gudang Bahan Awal","Physical Locations / BB / Stock","Internal Location"
"loc_gudang_bahan_awal_1","Gudang Bahan Awal 1 (Pusat)","Physical Locations / BB / Stock / Gudang Bahan Awal","Internal Location"
"loc_blok_a_5_rak","Blok A 5 Rak","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_blok_b_5_rak","Blok B 5 Rak","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_bok_c_palet_10","Bok C Palet 10","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_rak_a1","Rak A1","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_rak_a2","Rak A2","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_rak_a3","Rak A3","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_rak_a4","Rak A4","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_rak_a5","Rak A5","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_rak_b1","Rak B1","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_rak_b2","Rak B2","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_rak_b3","Rak B3","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_rak_b4","Rak B4","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_rak_b5","Rak B5","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_palet_c1","Palet C1","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_palet_c2","Palet C2","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_palet_c3","Palet C3","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_palet_c4","Palet C4","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_palet_c5","Palet C5","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_palet_c6","Palet C6","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_palet_c7","Palet C7","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_palet_c8","Palet C8","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_palet_c9","Palet C9","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_palet_c10","Palet C10","Physical Locations / BB / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat)","Internal Location"
"loc_area_terkondisikan","Area Terkondisikan","Physical Locations / BB / Stock / Gudang Bahan Awal","Internal Location"
"loc_rak_a1","Rak A1","Physical Locations / BB / Stock / Gudang Bahan Awal / Area Terkondisikan","Internal Location"
"loc_rak_a2","Rak A2","Physical Locations / BB / Stock / Gudang Bahan Awal / Area Terkondisikan","Internal Location"
"loc_rak_a3","Rak A3","Physical Locations / BB / Stock / Gudang Bahan Awal / Area Terkondisikan","Internal Location"
"loc_rak_b1","Rak B1","Physical Locations / BB / Stock / Gudang Bahan Awal / Area Terkondisikan","Internal Location"
"loc_rak_b2","Rak B2","Physical Locations / BB / Stock / Gudang Bahan Awal / Area Terkondisikan","Internal Location"
"loc_rak_b3","Rak B3","Physical Locations / BB / Stock / Gudang Bahan Awal / Area Terkondisikan","Internal Location"
"loc_palet_c1","Palet C1","Physical Locations / BB / Stock / Gudang Bahan Awal / Area Terkondisikan","Internal Location"
"loc_palet_c2","Palet C2","Physical Locations / BB / Stock / Gudang Bahan Awal / Area Terkondisikan","Internal Location"
"loc_area_karantina","Area Karantina","Physical Locations / BB / Stock / Gudang Bahan Awal","Internal Location"
"loc_rak_a1","Rak A1","Physical Locations / BB / Stock / Gudang Bahan Awal / Area Karantina","Internal Location"
"loc_rak_a2","Rak A2","Physical Locations / BB / Stock / Gudang Bahan Awal / Area Karantina","Internal Location"
"loc_palet_b1","Palet B1","Physical Locations / BB / Stock / Gudang Bahan Awal / Area Karantina","Internal Location"
"loc_palet_b2","Palet B2","Physical Locations / BB / Stock / Gudang Bahan Awal / Area Karantina","Internal Location"
"loc_area_penyimpanan_bahan_baku_liquid","Area Penyimpanan Bahan Baku Liquid","Physical Locations / BB / Stock / Gudang Bahan Awal","Internal Location"
"loc_palet_a1","Palet A1","Physical Locations / BB / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid","Internal Location"
"loc_palet_a2","Palet A2","Physical Locations / BB / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid","Internal Location"
"loc_palet_a3","Palet A3","Physical Locations / BB / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid","Internal Location"
"loc_palet_a4","Palet A4","Physical Locations / BB / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid","Internal Location"
"loc_palet_b1","Palet B1","Physical Locations / BB / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid","Internal Location"
