Name,expense account,income account,stock input account,stock output account,stock valuation account
Bahan Baku Aktif,479100 Sales,50-1000 Cost of Goods Sold,,,
Bahan Baku Kemas,479100 Sales,50-1000 Cost of Goods Sold,,,
Bahan Baku Kemas Lainnya,479100 Sales,50-1000 Cost of Goods Sold,,,
Bahan Baku Pembantu,479100 Sales,50-1000 Cost of Goods Sold,,,
Bahan Baku Pembantu Lainnya,479100 Sales,50-1000 Cost of Goods Sold,,,
Betalaktam,479100 Sales,50-1000 Cost of Goods Sold,,,
Dry Syrup,479100 Sales,50-1000 Cost of Goods Sold,,,
Injeksi,479100 Sales,50-1000 Cost of Goods Sold,,,
Kapsul Kaplet Tablet,479100 Sales,50-1000 Cost of Goods Sold,,,
Lain-Lain 1 (Pembelian Produk Ruahan (Makloon),479100 Sales,50-1000 Cost of Goods Sold,,,
Lain-Lain 2 (Pembelian Produk Jadi),479100 Sales,50-1000 Cost of Goods Sold,,,
Larutan,479100 Sales,50-1000 Cost of Goods Sold,,,
PKRT,479100 Sales,50-1000 Cost of Goods Sold,,,
Soft Capsule,479100 Sales,50-1000 Cost of Goods Sold,,,
Syrup,479100 Sales,50-1000 Cost of Goods Sold,,,
