"id","default_code","Name","description_purchase","uom_id","uom_po_id","categ_id","list_price","route_ids","cost_method","valuation","type","purchase_ok","active","sale_ok"
"bahan_baku_kemas_lainnya_100","LBK0010100","Polifoam","Polifoam","Pcs","Pcs","Bahan Baku Kemas Lainnya",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_lainnya_110","LBK0020100","Botol HDPE isi 1.000 kaps","Botol HDPE isi 1.000 kaps","Pcs","Pcs","Bahan Baku Kemas Lainnya",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_lainnya_120","LBK0030100","Botol plastik 30 kapsul","Botol plastik 30 kapsul","Pcs","Pcs","Bahan Baku Kemas Lainnya",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_lainnya_130","LBK0040100","Box Cayodine 10% TD 60 ml","Box Cayodine 10% TD 60 ml","Pcs","Pcs","Bahan Baku Kemas Lainnya",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_lainnya_140","LBK0050100","Corbox Ampicillin 250 mg Kapsul","Corbox Ampicillin 250 mg Kapsul","Pcs","Pcs","Bahan Baku Kemas Lainnya",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_lainnya_150","LBK0060100","Corbox Antalgin 500 mg","Corbox Antalgin 500 mg","Pcs","Pcs","Bahan Baku Kemas Lainnya",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_lainnya_160","LBK0070100","Corbox Camidexon Injeksi","Corbox Camidexon Injeksi","Pcs","Pcs","Bahan Baku Kemas Lainnya",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_lainnya_170","LBK0080100","Innerbox Antalgin 500 mg ampul 1 ml","Innerbox Antalgin 500 mg ampul 1 ml","Pcs","Pcs","Bahan Baku Kemas Lainnya",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_lainnya_180","LBK0090100","Kantong plastik","Kantong plastik","Pcs","Pcs","Bahan Baku Kemas Lainnya",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_lainnya_190","LBK0100100","Label Kontrol Kemas","Label Kontrol Kemas","Pcs","Pcs","Bahan Baku Kemas Lainnya",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_lainnya_200","LBK0110100","Layer Alkohol 70%","Layer Alkohol 70%","Pcs","Pcs","Bahan Baku Kemas Lainnya",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_lainnya_210","LBK0120100","Layer Cayodine 10% 30 ml","Layer Cayodine 10% 30 ml","Pcs","Pcs","Bahan Baku Kemas Lainnya",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
