Internal Reference,Name,categ_id,description_sale,unit of measure,uom_po_id,route_ids,Costing Method,Inventory Valuation,Product Type,standard_price,income coa,expense coa,list_price,sale_ok,purchase_ok
DEC0010100,Camicetine 250 mg Blister,Kapsul Kaplet Tablet,"Dus, 10 blister @ 10 kapsul  ",Box 100 Kpsul,Kpsul,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DEC0020100,Camicetine 250 mg Pot 1000,Kapsul Kaplet Tablet,Kaleng 1000 kapsul ,Box 1000 Kpsul,Kpsul,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DEC0030100,Camicetine 250 mg Strip,Kapsul Kaplet Tablet,"Dus, 10 strip @ 10 kapsul",Box 100 Kpsul,Kpsul,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DEC0040100,Camicetine 500 mg Strip,Kapsul Kaplet Tablet,"Dus, 10 strip @ 10 kapsul  ",Box 100 Kpsul,Kpsul,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DEC0050100,Camicyclin 250 mg Blister,Kapsul Kaplet Tablet,Blister 10 kapsul Dus 100 kapsul ,Box 100 Kpsul,Kpsul,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DEC0060100,Camicyclin 250 mg Pot 1000,Kapsul Kaplet Tablet,Kaleng 1000 kapsul ,Pot 1000 Kpsul,Kpsul,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DEC0070100,Camicyclin 250 mg Strip,Kapsul Kaplet Tablet,"Dus, 10 strip @ 10 kapsul",Box 100 Kpsul,Kpsul,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DEC0080100,Camicyclin 500 mg Pot 1000,Kapsul Kaplet Tablet,Kaleng 1000 kapsul ,Box 1000 Kpsul,Kpsul,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DEC0090100,Camicyclin 500 mg Strip,Kapsul Kaplet Tablet,"Dus, 10 strip @ 10 kapsul",Box 100 Kpsul,Kpsul,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DEC0100100,Camitrosin 250 mg Blister,Kapsul Kaplet Tablet,"Dus, 10 blister @ 10 kapsul ",Box 100 Kpsul,Kpsul,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DEC0110100,Camitrosin 250 mg Pot 1000,Kapsul Kaplet Tablet,Kaleng 1000 kapsul ,Pot 1000 Kpsul,Kpsul,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DEC0120100,Camitrosin 250 mg Strip,Kapsul Kaplet Tablet,"Dus, 10 strip @ 10 kapsul",Box 100 Kpsul,Kpsul,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
