bom_id,workcenter_operation_id,mesin,no_mesin,is_paralel,work_center_id,waktu
Amoxicillin DS 125 mg 60 ml,Oven botol axial fan,,,,,120
,Penimbangan,Mettler Toledo,,,,30
,,Printer timbangan,,,,30
,Mixing,Kern,,,,30
,,Mesin Super Mixer,,,,60
,Filling/cetak,Mesin Cetak Tablet,,,,
,,Mesin Filling Capsule,,,,
,,Mesin Filling,,,,240
,,Mesin Capping,,,,240
,Coding,Alpha Jet,,,,60
,Labelling,Mesin Etiket,,,,360
Ampicillin DS 125mg 60 ml PD,Oven botol axial fan,,,,,120
,Penimbangan,Mettler Toledo,,,,30
,,Printer timbangan,,,,30
,Mixing,Kern,,,,30
,,Mesin Super Mixer,,,,60
,Filling/cetak,Mesin Cetak Tablet,,,,
,,Mesin Filling Capsule,,,,
,,Mesin Filling,,,,240
,,Mesin Capping,,,,240
,Coding,Alpha Jet,,,,120
,Labelling,Mesin Etiket,,,,360
Ampicillin DS 125mg 60 ml TD,Oven botol axial fan,,,,,120
,Penimbangan,Mettler Toledo,,,,30
,,Printer timbangan,,,,30
,Mixing,Kern,,,,30
,,Mesin Super Mixer,,,,60
,Filling/cetak,Mesin Cetak Tablet,,,,
,,Mesin Filling Capsule,,,,
,,Mesin Filling,,,,240
,,Mesin Capping,,,,240
,Coding,Alpha Jet,,,,60
,Labelling,Mesin Etiket,,,,360
Camillin DS 125,Oven botol axial fan,,,,,120
,Penimbangan,Mettler Toledo,,,,30
,,Printer timbangan,,,,30
,Mixing,Kern,,,,30
,,Mesin Super Mixer,,,,60
,Filling/cetak,Mesin Cetak Tablet,,,,
,,Mesin Filling Capsule,,,,
,,Mesin Filling,,,,240
,,Mesin Capping,,,,240
,Coding,Alpha Jet,,,,120
,Labelling,Mesin Etiket,,,,360
Camillin DS 250,Oven botol axial fan,,,,,120
,Penimbangan,Mettler Toledo,,,,30
,,Printer timbangan,,,,30
,Mixing,Kern,,,,30
,,Mesin Super Mixer,,,,60
