name,location_id,usage
Gudang Bahan Awal,Physical Locations / WH / Stock,Internal Location
Gudang Bahan Awal 1 (Pusat),Physical Locations / WH / Stock / Gudang Bahan Awal,Internal Location
Blok A 5 Rak,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Blok B 5 Rak,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Bok C Palet 10,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Rak A1,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Rak A2,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Rak A3,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Rak A4,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Rak A5,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Rak B1,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Rak B2,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Rak B3,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Rak B4,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Rak B5,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Palet C1,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Palet C2,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Palet C3,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Palet C4,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Palet C5,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Palet C6,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Palet C7,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Palet C8,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Palet C9,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Palet C10,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 1 (Pusat),Internal Location
Area Terkondisikan,Physical Locations / WH / Stock / Gudang Bahan Awal,Internal Location
Rak A1,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Terkondisikan,Internal Location
Rak A2,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Terkondisikan,Internal Location
Rak A3,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Terkondisikan,Internal Location
Rak B1,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Terkondisikan,Internal Location
Rak B2,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Terkondisikan,Internal Location
Rak B3,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Terkondisikan,Internal Location
Palet C1,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Terkondisikan,Internal Location
Palet C2,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Terkondisikan,Internal Location
Area Karantina,Physical Locations / WH / Stock / Gudang Bahan Awal,Internal Location
Rak A1,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Karantina,Internal Location
Rak A2,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Karantina,Internal Location
Palet B1,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Karantina,Internal Location
Palet B2,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Karantina,Internal Location
Area Penyimpanan Bahan Baku Liquid,Physical Locations / WH / Stock / Gudang Bahan Awal,Internal Location
Palet A1,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid,Internal Location
Palet A2,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid,Internal Location
Palet A3,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid,Internal Location
Palet A4,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid,Internal Location
Palet B1,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid,Internal Location
Palet B2,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid,Internal Location
Palet B3,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid,Internal Location
Palet B4,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid,Internal Location
Palet C1,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid,Internal Location
Palet C2,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid,Internal Location
Palet C3,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid,Internal Location
Palet C4,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid,Internal Location
Palet D1,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid,Internal Location
Palet D2,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid,Internal Location
Palet D3,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid,Internal Location
Palet D4,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid,Internal Location
Palet D5,Physical Locations / WH / Stock / Gudang Bahan Awal / Area Penyimpanan Bahan Baku Liquid,Internal Location
Gudang Betalaktam,Physical Locations / WH / Stock / Gudang Bahan Awal,Internal Location
Palet A1,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Betalaktam,Internal Location
Palet A2,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Betalaktam,Internal Location
Palet A3,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Betalaktam,Internal Location
Palet A4,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Betalaktam,Internal Location
Palet A5,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Betalaktam,Internal Location
Gudang Bahan Awal 2,Physical Locations / WH / Stock / Gudang Bahan Awal,Internal Location
Palet A1,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 2,Internal Location
Palet A2,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 2,Internal Location
Palet A3,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 2,Internal Location
Palet A4,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 2,Internal Location
Palet B1,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 2,Internal Location
Palet B2,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 2,Internal Location
Palet B3,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 2,Internal Location
Palet B4,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 2,Internal Location
Palet C1,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 2,Internal Location
Palet C2,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 2,Internal Location
Palet C3,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 2,Internal Location
Palet C4,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 2,Internal Location
Palet D1,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 2,Internal Location
Palet D2,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 2,Internal Location
Palet D3,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 2,Internal Location
Palet D4,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 2,Internal Location
Palet D5,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 2,Internal Location
Gudang Bahan Awal 3,Physical Locations / WH / Stock / Gudang Bahan Awal,Internal Location
Palet A1,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 3,Internal Location
Palet A2,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 3,Internal Location
Palet A3,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 3,Internal Location
Palet A4,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 3,Internal Location
Palet A5,Physical Locations / WH / Stock / Gudang Bahan Awal / Gudang Bahan Awal 3,Internal Location
Gudang Bahan Kemas,Physical Locations / WH / Stock,Internal Location
Gudang Bahan Kemas Primer 1,Physical Locations / WH / Stock / Gudang Bahan Kemas,Internal Location
Palet A1,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet A2,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet A3,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet A4,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet A5,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet A6,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet A7,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet A8,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet A9,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
Palet A10,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 1,Internal Location
