year_id,month,date,name
__export__.batch_year_1,August,12,002
__export__.batch_year_1,August,13,003
__export__.batch_year_1,August,14,004
__export__.batch_year_1,August,15,005
__export__.batch_year_1,August,16,006
__export__.batch_year_1,August,17,007
__export__.batch_year_1,August,18,008
__export__.batch_year_1,August,19,009
__export__.batch_year_1,August,20,010
__export__.batch_year_1,August,21,011
__export__.batch_year_1,August,22,012
__export__.batch_year_1,August,23,013
__export__.batch_year_1,August,24,014
__export__.batch_year_1,August,25,015
__export__.batch_year_1,August,26,016
__export__.batch_year_1,August,27,017
__export__.batch_year_1,August,28,018
__export__.batch_year_1,August,29,019
__export__.batch_year_1,August,30,020
