"id","bom_id","product_id","product_uom","product_qty","component_type"
"bom_line_001","Bio nigell","BGE002","kg",43,"raw_material"
"bom_line_002","Bio nigell","BGE004","kg",43,"raw_material"
"bom_line_003","Bio nigell","BGL002","kg",34,"raw_material"
"bom_line_004","Bio nigell","BMP001","kg",0.128,"raw_material"
"bom_line_005","Bio nigell","BPP001","kg",0.054,"raw_material"
"bom_line_006","Buah Merah Rediss","BGE002","kg",43,"raw_material"
"bom_line_007","Buah Merah Rediss","BGE004","kg",43,"raw_material"
"bom_line_008","Buah Merah Rediss","BGL002","kg",34,"raw_material"
"bom_line_009","Buah Merah Rediss","BMP001","kg",0.128,"raw_material"
"bom_line_011","Buah Merah Rediss","BPP001","kg",0.054,"raw_material"
"bom_line_012","Buah Merah W 600","BGE002","kg",21.5,"raw_material"
"bom_line_013","Buah Merah W 600","BGE004","kg",21.5,"raw_material"
"bom_line_014","Buah Merah W 600","BGL002","kg",17,"raw_material"
"bom_line_015","Buah Merah W 600","BMP001","kg",0.064,"raw_material"
"bom_line_016","Buah Merah W 600","BPP001","kg",0.027,"raw_material"
"bom_line_017","Biocelle","BGE002","kg",33.786,"raw_material"
"bom_line_018","Biocelle","BGE004","kg",33.786,"raw_material"
"bom_line_019","Biocelle","BGL002","kg",26.714,"raw_material"
"bom_line_020","Biocelle","BMP001","kg",0.101,"raw_material"
"bom_line_021","Biocelle","BMP001","kg",0.101,"raw_material"
"bom_line_022","Biocelle","BPP001","kg",0.042,"raw_material"
"bom_line_023","Carniten","BGE002","kg",43,"raw_material"
"bom_line_024","Carniten","BGE004","kg",43,"raw_material"
"bom_line_025","Carniten","BGL002","kg",34,"raw_material"
"bom_line_026","Carniten","BMP001","kg",0.128,"raw_material"
"bom_line_027","Carniten","BPP001","kg",0.054,"raw_material"
"bom_line_028","Carniten","BEC002","kg",0.3,"raw_material"
"bom_line_029","Carniten","BET002","g",240,"raw_material"
"bom_line_030","Carniten","BTD001","kg",0.4,"raw_material"
"bom_line_031","DBS Habbazzaitun","BGE002","kg",43,"raw_material"
"bom_line_032","DBS Habbazzaitun","BGE004","kg",43,"raw_material"
"bom_line_033","DBS Habbazzaitun","BGL002","kg",34,"raw_material"
"bom_line_034","DBS Habbazzaitun","BMP001","kg",0.129,"raw_material"
"bom_line_035","DBS Habbazzaitun","BPP001","kg",0.054,"raw_material"
"bom_line_036","DBS Habbazzaitun","BPL001","kg",0.008,"raw_material"
"bom_line_037","Fish Oil 1000 mg","BGE002","kg",43,"raw_material"
"bom_line_038","Fish Oil 1000 mg","BGE004","kg",43,"raw_material"
"bom_line_039","Fish Oil 1000 mg","BGL002","kg",34,"raw_material"
"bom_line_040","Fish Oil 1000 mg","BMP001","kg",0.129,"raw_material"
