"id","name","comment","street","city","phone","npwp","mobile","fax","email","no_rek","is_company","supplier","category_id"
"res_partner_100","AA ALUMUNIUM","SUPP001","Jl. Kiara condong No. 421 Bandung",,"022-7308986",,,"022-70667887",,,"TRUE","TRUE",
"res_partner_110","ABADI RAYA","SUPP002","Melong Asih No. 24B Depan perum Pharmindo Cijerah Bandung",,"022-6037350",,,"022-6046889",,,"TRUE","TRUE",
"res_partner_120","ABADINUSA USAHASEMESTA, PT","SUPP003","Jl. Surabaya No. 54",,,,,,,,"TRUE","TRUE",
"res_partner_130","ACE HARDWARE INDONESIA, PT","SUPP004","Jl. Puri Kencana No. 1",,,,,,,,"TRUE","TRUE",
"res_partner_140","ACE HARDWARE INDONESIA, PT.","SUPP004 HKI","Jl. Puri Kencana No. 1",,,,,,,,"TRUE","TRUE",
"res_partner_150","AFAT BEARING","SUPP005","Ps. Cikapundung baru Blok H6-H7-H9 Bandung",,"022-4236236",,,,,,"TRUE","TRUE",
"res_partner_160","AGAPE TRIKARSA LIBRATAMA, PT","SUPP006","Puri Anjasmoro H 5/6 Tawang Sari",,,"01.496.894.5-511.000",,,,,"TRUE","TRUE",
"res_partner_170","AGENG SEMESTA TRISULA ABADI, PT","SUPP007","Mutiara Taman Palem Blok C19 No. 35 Jakarta Barat",,"021-54357037","01.930.393.2-085.000",,"021-36501975",,,"TRUE","TRUE",
"res_partner_180","AGUNG TEKNIK","SUPP008","Ps. Cikapundung",,,,,,,,"TRUE","TRUE",
"res_partner_190","ALAM SUBUR TIRTA KENCANA, PT","SUPP009","Jl. Daan Mogot Km. 12 Jakarta",,"021-6192265",,,"021-6190443",,,"TRUE","TRUE",
"res_partner_200","ALAS MULIA, PT","SUPP010","Jl. Otista No. 357 Bandung",,"022-4208123",,,"022-4232890",,,"TRUE","TRUE",
"res_partner_210","ALFA GALUH PERKASA","SUPP011","Jl. Leuwipanjang Rukunsari No. 6",,"022-5222737",,,,,,"TRUE","TRUE",
