"id","name","type","capacity","departement","location"
"machine_handryer_auto","Handryer Auto",,,"Produksi Betalaktam","Personal Entry"
"machine_mesin_polishing_medicine","Mesin Polishing Medicine",,,"Produksi Betalaktam","Ruang Alat Bersih"
"machine_mesin_polishing_jetly","Mesin Polishing Jetly",,,"Produksi Betalaktam","Ruang Alat Bersih"
"machine_mol_stripping","Mol Stripping",,,"Produksi Betalaktam","Ruang Alat Bersih"
"machine_mortir","Mortir",,,"Produksi Betalaktam","Ruang Alat Bersih"
"machine_vacum_cleaner_alto","Vacum Cleaner Alto",,,"Produksi Betalaktam","Ruang Alat Bersih"
"machine_mesin_staging","Mesin Staging",,,"Produksi Betalaktam","Ruang Cetak Tablet 1 PBL-06"
"machine_mesin_cetak_tablet_jcmco","Mesin Cetak Tablet JCMCO",,,"Produksi Betalaktam","Ruang Cetak Tablet 1 PBL-06"
"machine_mesin_tablet","Mesin Tablet","GYLONG1",,"Produksi Betalaktam","Ruang Cetak Tablet 2 PBL-05"
"machine_mesin_cuci_electrolux","Mesin Cuci Electrolux",,"6 Kg","Produksi Betalaktam","Ruang Cuci Alat"
"machine_mesin_pengering_royal","Mesin Pengering Royal",,,"Produksi Betalaktam","Ruang Cuci Alat"
"machine_mesin_filling_capsule_chin_yi","Mesin Filling Capsule Chin Yi",,,"Produksi Betalaktam","Ruang Filling Capsule PBL-04"
"machine_mesin_capping_jie_cheng","Mesin Capping Jie Cheng",,,"Produksi Betalaktam","Ruang Filling dan Capping Dry Syrup PBL 13"
"machine_mesin_capping_manual_jie_cheng","Mesin Capping Manual Jie Cheng",,,"Produksi Betalaktam","Ruang Filling dan Capping Dry Syrup PBL 13"
"machine_mesin_capping_manual_jie_cheng","Mesin Capping Manual Jie Cheng",,,"Produksi Betalaktam","Ruang Filling dan Capping Dry Syrup PBL 13"
"machine_mesin_filling_ams","Mesin Filling AMS",,,"Produksi Betalaktam","Ruang Filling dan Capping Dry Syrup PBL 13"
"machine_timbangan_kern","Timbangan Kern",,,"Produksi Betalaktam","Ruang Filling dan Capping Dry Syrup PBL 13"
"machine_alat_cek_kekerasan_tablet","Alat Cek Kekerasan Tablet",,,"Produksi Betalaktam","Ruang IPC PBL-07"
"machine_desi_catur_mika","Desi Catur Mika",,,"Produksi Betalaktam","Ruang IPC PBL-07"
"machine_frin_bility_tester","Frin Bility Tester",,,"Produksi Betalaktam","Ruang IPC PBL-07"
"machine_printer_timbangan_mettler_toledo","Printer Timbangan Mettler Toledo",,,"Produksi Betalaktam","Ruang IPC PBL-07"
"machine_timbangan_mettler_toledo","Timbangan Mettler Toledo",,,"Produksi Betalaktam","Ruang IPC PBL-07"
"machine_vacum_cleaner_edward","Vacum Cleaner Edward",,,"Produksi Betalaktam","Ruang IPC PBL-07"
"machine_mesin_codding_kapsul_alpha_jet","Mesin Codding Kapsul Alpha Jet",,,"Produksi Betalaktam","Ruang Kemas Betalaktam"
"machine_mesin_etiket_chyun_jye","Mesin Etiket Chyun Jye","ABL-M",,"Produksi Betalaktam","Ruang Kemas Betalaktam"
"machine_timbangan_mettler_toledo","Timbangan Mettler Toledo","Wildcat","150 Kg","Produksi Betalaktam","Ruang Kemas Betalaktam"
"machine_mesin_giling_gula","Mesin Giling Gula",,,"Produksi Betalaktam","Ruang Milling PBL 11"
"machine_mesin_super_mixer","Mesin Super Mixer","LM 200",,"Produksi Betalaktam","Ruang Mixing PBL 14"
"machine_setrika_akira","Setrika Akira",,,"Produksi Betalaktam","Ruang Sortir & Counting"
"machine_mesin_striping_hypack","Mesin Striping HYPACK",,,"Produksi Betalaktam","Ruang Striping PBL-03"
"machine_timbangan","Timbangan","VWE",,"Produksi Betalaktam","Ruang Timbang"
"machine_timbangan_avery_berker","Timbangan Avery Berker",,,"Produksi Betalaktam","Ruang Timbang"
"machine_laf_mobile","LAF Mobile",,"130x80x180","Produksi Injeksi","Koridor"
"machine_autoclave_baju","Autoclave baju",,510,"Produksi Injeksi","Raung Autoclave"
"machine_mesin_compressor_grecomp","Mesin Compressor Grecomp","GCP70S",,"Produksi Injeksi","Ruang Area Utility Mesin"
"machine_mesin_cuci_lg","Mesin Cuci LG","WD-P041",,"Produksi Injeksi","Ruang Cuci"
"machine_mesin_cuci_ampul_shun_yi","Mesin Cuci Ampul Shun Yi","AW-2S","otomatis","Produksi Injeksi","Ruang Cuci"
"machine_mesin_cuci_vial_echung","Mesin Cuci Vial Echung",,,"Produksi Injeksi","Ruang Cuci"
"machine_mesin_pengering_electrolux","Mesin Pengering Electrolux","EDV 500","6 Kg","Produksi Injeksi","Ruang Cuci"
"machine_mesin_ampul_cor","Mesin Ampul COR","OIESTMCES110",,"Produksi Injeksi","Ruang Dessiler"
"machine_securiter_tank","Securiter Tank",,"1000 Ltr","Produksi Injeksi","Ruang Dessiler"
"machine_story_tank","Story Tank",,"500 Ltr","Produksi Injeksi","Ruang Dessiler"
"machine_laminair_air_flow","Laminair Air Flow",,,"Produksi Injeksi","Ruang Filling Ampul 2"
"machine_mesin_ampul_shun_yi_1-2_ml","Mesin Ampul Shun Yi 1-2 ml",,"1-2 ml","Produksi Injeksi","Ruang Filling Ampul 2"
"machine_laminair_air_flow","Laminair Air Flow",,"mesin ampul","Produksi Injeksi","Ruang Filling Ampul 3"
"machine_laminair_air_flow","Laminair Air Flow","mobile","170x90x180","Produksi Injeksi","Ruang Filling Ampul 3"
"machine_laminair_air_flow","Laminair Air Flow","mobile","170x90x180","Produksi Injeksi","Ruang Filling Ampul 3"
"machine_mesin_ampul_hersonber_1-25_ml","Mesin Ampul Hersonber 1-25 ml",13683,"1-25 ml","Produksi Injeksi","Ruang Filling Ampul 3"
"machine_vacum_cleaner_boscl","Vacum Cleaner Boscl","CIAS1121",,"Produksi Injeksi","Ruang IPC"
"machine_shyler_sybron","Shyler Sybron",,,"Produksi Injeksi","Ruang Mixing"
"machine_tangki_mixing_with_pressure","Tangki Mixing With Pressure",,"100 Ltr","Produksi Injeksi","Ruang Mixing"
"machine_mesin_ampul_shun_yi_10-20_ml","Mesin Ampul Shun Yi 10-20 ml","AFS20","10-20 ml","Produksi Injeksi","Ruang Pengisian Ampul 1"
"machine_mesin_sartorius_sartochec","Mesin Sartorius Sartochec",,"0.016102097 9/2","Produksi Injeksi","Ruang Pengujian Filter"
"machine_pressure_tangki","Pressure Tangki",,,"Produksi Injeksi","Ruang Pengujian Filter"
"machine_laminair_air_flow","Laminair Air Flow",,"mobile","Produksi Injeksi","Ruang Penyimpanan Alat Bantu"
"machine_pressure_tangki","Pressure Tangki",,,"Produksi Injeksi","Ruang Penyimpanan Alat Bantu"
"machine_pressure_tangki","Pressure Tangki",,,"Produksi Injeksi","Ruang Penyimpanan Alat Bantu"
"machine_pressure_tangki","Pressure Tangki",,,"Produksi Injeksi","Ruang Penyimpanan Alat Bantu"
"machine_pressure_tangki","Pressure Tangki",,,"Produksi Injeksi","Ruang Penyimpanan Alat Bantu"
"machine_pressure_tangki","Pressure Tangki",,,"Produksi Injeksi","Ruang Penyimpanan Alat Bantu"
"machine_alat_penyusunan_ampul_shun_yi","Alat Penyusunan Ampul Shun Yi",,,"Produksi Injeksi","Ruang Penyusunan Ampul"
"machine_laminair_air_flow","Laminair Air Flow",,"geser/mobile","Produksi Injeksi","Ruang Produksi Injeksi"
"machine_mesin_oven_echung_kecil","Mesin Oven Echung Kecil","ECHS-18K","Kecil","Produksi Injeksi","Ruang Produksi Injeksi"
"machine_mesin_oven_echung_besar","Mesin Oven Echung Besar","ECHS-85","Besar","Produksi Injeksi","Ruang Produksi Injeksi"
"machine_laf_mobile","LAF Mobile",,"170x80x180","Produksi Injeksi","Ruang Staging Produk Steril"
"machine_laminair_air_flow","Laminair Air Flow",,,"Produksi Injeksi","Ruang Staging Produk Steril"
