id,diagnosis,name,exclusion_f,pre_existing_f,standard_fee
diagnosis1,P54.6,Neonatal vaginal haemorrhage,,,
diagnosis2,P54.8,Other specified neonatal haemorrhages,,,
diagnosis3,P54.9,"Neonatal haemorrhage, unspecified",,,
diagnosis4,P55,Haemolytic disease of fetus and newborn,,,
diagnosis5,P55.0,Rh isoimmunization of fetus and newborn,,,
diagnosis6,P55.1,ABO isoimmunization of fetus and newborn,,,
diagnosis7,P55.8,Other haemolytic diseases of fetus and newborn,,,
diagnosis8,P55.9,"Haemolytic disease of fetus and newborn, unspecified",,,
diagnosis9,P56,Hydrops fetalis due to haemolytic disease,,,
diagnosis10,P56.0,Hydrops fetalis due to isoimmunization,,,
diagnosis11,P56.9,Hydrops fetalis due to other and unspecified haemolytic disease,,,
diagnosis12,P57,KERNICTERUS,,,
diagnosis13,P57.0,Kernicterus due to isoimmunization,,,
diagnosis14,P57.8,Other specified kernicterus,,,
diagnosis15,P57.9,"Kernicterus, unspecified",,,
diagnosis16,P58,NEONATAL JAUNDICE DUE TO OTHER EXCESSIVE HAEMOLYSIS,,,
diagnosis17,P58.0,Neonatal jaundice due to bruising,,,
diagnosis18,P58.1,Neonatal jaundice due to bleeding,,,
diagnosis19,P58.2,Neonatal jaundice due to infection,,,
diagnosis20,P58.3,Neonatal jaundice due to polycythaemia,,,
diagnosis21,P25.2,Pneumomediastinum originating in the perinatal period,,,
diagnosis22,P25.3,Pneumopericardium originating in the perinatal period,,,
diagnosis23,P25.8,Other conditions related to interstitial emphysema originating inthe perinatal period,,,
diagnosis24,P26,Pulmonary haemorrhage originating in the perinatal period,,,
diagnosis25,P26.0,Tracheobronchial haemorrhage originating in the perinatal period,,,
diagnosis26,P26.1,Massive pulmonary haemorrhage originating in the perinatal period,,,
diagnosis27,P26.8,Other pulmonary haemorrhages originating in the perinatal period,,,
diagnosis28,P26.9,Unspecified pulmonary haemorrhage originating in the perinatalperiod,,,
diagnosis29,P27,Chronic respiratory disease originating in the perinatal period,,,
diagnosis30,P27.0,Wilson-Mikity syndrome,,,
diagnosis31,P27.1,Bronchopulmonary dysplasia originating in the perinatal period,,,
diagnosis32,P27.8,Other chronic respiratory diseases originating in the perinatalperiod,,,
diagnosis33,P27.9,Unspecified chronic respiratory disease originating in the perinatalperiod,,,
diagnosis34,P28,Other respiratory conditions originating in the perinatal period,,,
diagnosis35,P28.0,Primary atelectasis of newborn,,,
diagnosis36,P28.1,Other and unspecified atelectasis of newborn,,,
diagnosis37,P28.2,Cyanotic attacks of newborn,,,
diagnosis38,P28.3,Primary sleep apnoea of newborn,,,
diagnosis39,P28.4,Other apnoea of newborn,,,
diagnosis40,P28.5,RESPIRATORY FAILURE OF NEWBORN,,,
diagnosis41,P28.8,Other specified respiratory conditions of newborn,,,
diagnosis42,P28.9,"Respiratory condition of newborn, unspecified",,,
diagnosis43,P29,Cardiovascular disorders originating in the perinatal period,,,
diagnosis44,P29.0,Neonatal cardiac failure,,,
diagnosis45,P29.1,Neonatal cardiac dysrhythmia,,,
