province_id,description
1,Nanggroe Aceh Darussalam
2,Sumatera Utara
3,Bengkulu
4,Jambi
5,Riau
6,Sumatera Barat
7,Sumatera Selatan
8,Lampung
9,Bangka Belitung
10,Kepulauan Riau
11,Banten
12,Jawa Barat
13,D.K.I. Jakarta
14,Jawa Tengah
15,Jawa Timur
16,D.I. Yogyakarta
17,Bali
18,Nusa Tenggara Barat
19,Nusa Tenggara Timur
20,Kalimantan Barat
21,Kalimantan Selatan
22,Kalimantan Tengah
23,Kalimantan Timur
24,Gorontalo
25,Sulawesi Selatan
26,Sulawesi Tenggara
27,Sulawesi Tengah
28,Sulawesi Utara
29,Sulawesi Barat
30,Maluku
31,Maluku Utara
32,Papua
33,Papua Barat
