id,name,description,type,allowed
reason1,APK50,penggantian 50 %,,
reason2,APK75,penggantian 75 %,,
reason3,APK80,penggantian 80 %,,
reason4,APK85,penggantian 85%,,
reason5,APK90,penggantian 90 %,,
reason6,H0001,"Retur karena kuitansi tidak lengkap (tidak ada perincian, materai, kesesuaian nilai) ",,
reason7,H0002,Retur karena tidak ada resume medis,,
reason8,H0003,Retur karena tidak ada hasil lab,,
reason9,H0004,Retur karena tidak ada perincian obat,,
reason10,H0005,Retur karena info medis lebih lanjut,,
reason11,H0006,Reject karena pengecualian polis,,
reason12,H0007,"Retur karena dokumen belum lengkap (GL, Form klaim, dll)",,
reason13,H0008,Adjustment Klaim,,
reason14,H0009,Penggantian secara prorata,,
reason15,H0010,Manfaat rawat jalan sudah habis,,
reason16,H0011,Manfaat rawat inap sudah habis,,
reason17,H0012,Ekses klaim tidak ditagih kepada peserta,,
reason18,H0013,Pembayaran ex-gratia,,
reason19,H0014,Kesalahan kode diagnosa,,
reason20,P0000,mohon keterangan diagnosa dari dokter yang merawat,,
reason21,P0001,Mohon lampirkan copy resep obat,,
reason22,P0002,mohon lampirkan copy hasil Pemeriksaan diagnostik/ laboratorium,,
reason23,P0003,mohon surat rujukan dokter untuk periksa laboratorium,,
reason24,P0004,bukan kwitansi  Mohon lampirkan kuitansi asli,,
reason25,P0005,mohon lampirkan rincian biaya pengobatan,,
reason26,P0006,mohon lampirkan rincian pemeriksaan laboratorium,,
reason27,P0007,mohon diagnosa & hasil laboratorium/ USG/ Rontgent,,
reason28,P0008,"mohon lampirkan nama,ttd & stempel dokter yg merawat",,
reason29,P0009,tidak bermeterai  mohon lampirkan materai 6.000 di kuitansi,,
reason30,P0010,Mohon lampirkan tanggal perawatan/ pengobatan,,
reason31,P0011,Mohon lampirkan nama pasien yg berobat,,
reason32,P0012,mohon lampirkan diagnosa & kwitansi asli,,
reason33,P0013,"mohon lampirkan alamat, telpon & izin praktek dokter",,
reason34,P0015,mohon informasi rincian letak gigi,,
reason35,P0016,mohon lampirkan copy resep obat & kwitansi asli,,
reason36,P0017,mohon lampirkan kuitansi asli dan hasil laboratorium/USG/rontgent ,,
reason37,P0018,mohon lampirkan diagnosa dan tanggal perawatan/ pengobatan,,
reason38,P0019,mohon lampirkan perincian biaya © resep obat,,
reason39,P0020,mohon lampirkan perincian biaya & hasil Laboratorium/USG/Rontgent,,
reason40,P0021,mohon lampirkan keterangan pemberian dosis obat,,
reason41,P0022,mohon lampirkan diagnosa & nama pasien,,
reason42,P0023,mohon lampirkan diagnosa & rincian biaya,,
reason43,P0024,"mohon lampirkan diagnosa, perincian biaya pengobatan & materai",,
reason44,P0025,mohon lampirkan diagnosa & copy resep,,
reason45,P0026,Mohon lampirkan perincian biaya & tgl Pemeriksaan/ pengobatan,,
reason46,P0027,mohon lampirkan nama dokter yg merawat ,,
reason47,P0028,mohon rincian tindakan dokter,,
reason48,P0029,mohon lampirakan nama pasien yg melakukan pengobatan,,
reason49,P0030,mohon lampirkan resume medis dari dokter,,
reason50,P0031,kekurangan pembayaran klaim,,
reason51,P0032,mohon rincian biaya obat,,
reason52,P0033,mohon diganosa lebih spesifik,,
reason53,P0034,mohon klaim persalinan-nya,,
