id,country_id,code,name
province1,Indonesia,1,Nanggroe Aceh Darussalam
province2,Indonesia,2,Sumatera Utara
province3,Indonesia,3,Bengkulu
province4,Indonesia,4,Jambi
province5,Indonesia,5,Riau
province6,Indonesia,6,Sumatera Barat
province7,Indonesia,7,Sumatera Selatan
province8,Indonesia,8,Lampung
province9,Indonesia,9,Bangka Belitung
province10,Indonesia,10,Kepulauan Riau
province11,Indonesia,11,Banten
province12,Indonesia,12,Jawa Barat
province13,Indonesia,13,D.K.I. Jakarta
province14,Indonesia,14,Jawa Tengah
province15,Indonesia,15,Jawa Timur
province16,Indonesia,16,D.I. Yogyakarta
province17,Indonesia,17,Bali
province18,Indonesia,18,Nusa Tenggara Barat
province19,Indonesia,19,Nusa Tenggara Timur
province20,Indonesia,20,Kalimantan Barat
province21,Indonesia,21,Kalimantan Selatan
province22,Indonesia,22,Kalimantan Tengah
province23,Indonesia,23,Kalimantan Timur
province24,Indonesia,24,Gorontalo
province25,Indonesia,25,Sulawesi Selatan
province26,Indonesia,26,Sulawesi Tenggara
province27,Indonesia,27,Sulawesi Tengah
province28,Indonesia,28,Sulawesi Utara
province29,Indonesia,29,Sulawesi Barat
province30,Indonesia,30,Maluku
province31,Indonesia,31,Maluku Utara
province32,Indonesia,32,Papua
province33,Indonesia,33,Papua Barat
