id,user_type/id,code,company_id/id,type,name,currency_mode,parent_id/id
__export__.account_account_10000,account.data_account_type_view,0,__export__.res_company_2,View,SAGE Petroleum USD,At Date,
__export__.account_account_20000,account.data_account_type_view,1,__export__.res_company_2,View,Balance Sheet,At Date,__export__.account_account_10000
__export__.account_account_30000,account.account_type_asset_view1,1000000,__export__.res_company_2,View,Assets,At Date,__export__.account_account_20000
__export__.account_account_40000,account.data_account_type_view,1010000,__export__.res_company_2,View,Fixed Asset Account,At Date,__export__.account_account_30000
__export__.account_account_260000,account.data_account_type_view,1011000,__export__.res_company_2,View,Intangible,At Date,__export__.account_account_40000
__export__.account_account_270000,account.data_account_type_asset,1011001,__export__.res_company_2,Regular,Software Application ,At Date,__export__.account_account_260000
__export__.account_account_280000,account.data_account_type_asset,1011001D,__export__.res_company_2,Regular,Software Amortized ,At Date,__export__.account_account_260000
__export__.account_account_290000,account.data_account_type_view,1012000,__export__.res_company_2,View,Tangible  Fixed Assets,At Date,__export__.account_account_40000
__export__.account_account_300000,account.data_account_type_asset,1012001,__export__.res_company_2,Regular,Office Furniture and Fittings,At Date,__export__.account_account_290000
__export__.account_account_310000,account.data_account_type_asset,1012001D,__export__.res_company_2,Regular,Accum. Depre. -Office Furniture,At Date,__export__.account_account_290000
__export__.account_account_320000,account.data_account_type_asset,1012002,__export__.res_company_2,Regular,Computers and IT Equipments,At Date,__export__.account_account_290000
__export__.account_account_330000,account.data_account_type_asset,1012002D,__export__.res_company_2,Regular,Accum. Depre. -Computers and IT Equipments ,At Date,__export__.account_account_290000
__export__.account_account_340000,account.data_account_type_asset,1012003,__export__.res_company_2,Regular,Vehicle ,At Date,__export__.account_account_290000
__export__.account_account_350000,account.data_account_type_asset,1012003D,__export__.res_company_2,Regular,Accumulated Depreciation -Vehicle ,At Date,__export__.account_account_290000
__export__.account_account_360000,account.data_account_type_asset,1012004,__export__.res_company_2,Regular,Oil Filtration System,At Date,__export__.account_account_290000
__export__.account_account_370000,account.data_account_type_asset,1012004D,__export__.res_company_2,Regular,Accum. Depre. -Oil Filtration System ,At Date,__export__.account_account_290000
__export__.account_account_3700000,account.data_account_type_asset,1012007D,__export__.res_company_2,Regular,Accum. Depre. -Office Equipment,At Date,__export__.account_account_290000
__export__.account_account_380000,account.data_account_type_asset,1012005,__export__.res_company_2,Regular,Work -in -Progress ,At Date,__export__.account_account_290000
__export__.account_account_3490000,account.data_account_type_asset,1012006,__export__.res_company_2,Regular,Buildings,At Date,__export__.account_account_290000
__export__.account_account_3540000,account.data_account_type_asset,1012007,__export__.res_company_2,Regular,Office Equipments,At Date,__export__.account_account_290000
__export__.account_account_390000,account.data_account_type_view,1020000,__export__.res_company_2,View,Investment,At Date,__export__.account_account_30000
__export__.account_account_400000,account.data_account_type_asset,1021000,__export__.res_company_2,Regular,Investment in Shares,At Date,__export__.account_account_390000
__export__.account_account_410000,account.data_account_type_asset,1021001,__export__.res_company_2,Regular,Eco Shares,At Date,__export__.account_account_390000
__export__.account_account_420000,account.data_account_type_asset,1021002,__export__.res_company_2,Regular,Aspen Shares,At Date,__export__.account_account_390000
__export__.account_account_430000,account.data_account_type_asset,1022000,__export__.res_company_2,Regular,Fixed Deposit Investment (if any),At Date,__export__.account_account_390000
__export__.account_account_3220000,account.data_account_type_asset,1022002,__export__.res_company_2,Regular,Aya Technologies Ghana Ltd,At Date,__export__.account_account_390000
__export__.account_account_3690000,account.data_account_type_asset,1022004,__export__.res_company_2,Regular,Investment in Eco Petroleum Ltd,At Date,__export__.account_account_390000
__export__.account_account_3230000,account.data_account_type_asset,1022003,__export__.res_company_2,Regular,Breezer International Ltd,At Date,__export__.account_account_390000
__export__.account_account_4430000,account.data_account_type_asset,1022005,__export__.res_company_2,Regular,Energy Investments Ltd,At Date,__export__.account_account_390000
__export__.account_account_4460000,account.data_account_type_asset,1022006,__export__.res_company_2,Regular,Blue Bay Ltd,At Date,__export__.account_account_390000
__export__.account_account_4470000,account.data_account_type_asset,1022007,__export__.res_company_2,Regular,Global Standard Petroleum Ltd,At Date,__export__.account_account_390000
__export__.account_account_4580000,account.data_account_type_view,1021100,__export__.res_company_2,View,Inter-Company,At Date,__export__.account_account_30000
__export__.account_account_4550000,account.data_account_type_asset,1021101,__export__.res_company_2,Regular,Energy Investments Ltd,At Date,__export__.account_account_4580000
__export__.account_account_4560000,account.data_account_type_asset,1021102,__export__.res_company_2,Regular,Blue Bay Ltd,At Date,__export__.account_account_4580000
__export__.account_account_4570000,account.data_account_type_asset,1021103,__export__.res_company_2,Regular,Global Standard Petroleum Ltd,At Date,__export__.account_account_4580000
__export__.account_account_440000,account.data_account_type_view,1030000,__export__.res_company_2,View,Current,At Date,__export__.account_account_30000
__export__.account_account_450000,account.account_type_asset_view1,1031000,__export__.res_company_2,View,Inventory/Stocks,At Date,__export__.account_account_440000
__export__.account_account_460000,account.data_account_type_view,1031100,__export__.res_company_2,View,Goods in Stock,At Date,__export__.account_account_450000
__export__.account_account_470000,account.data_account_type_asset,1031101,__export__.res_company_2,Regular,Crude Oil ,At Date,__export__.account_account_460000
__export__.account_account_480000,account.data_account_type_asset,1031102,__export__.res_company_2,Regular,Gas Oil,At Date,__export__.account_account_460000
__export__.account_account_490000,account.data_account_type_asset,1031103,__export__.res_company_2,Regular,LIGHT GASOLINE ,At Date,__export__.account_account_460000
__export__.account_account_500000,account.data_account_type_asset,1031104,__export__.res_company_2,Regular,Gasoline,At Date,__export__.account_account_460000
__export__.account_account_510000,account.data_account_type_asset,1031105,__export__.res_company_2,Regular,NAPHTHA ,At Date,__export__.account_account_460000
__export__.account_account_520000,account.data_account_type_asset,1031106,__export__.res_company_2,Regular,LPG ,At Date,__export__.account_account_460000
__export__.account_account_530000,account.data_account_type_asset,1031107,__export__.res_company_2,Regular,DPK,At Date,__export__.account_account_460000
__export__.account_account_540000,account.data_account_type_asset,1031108,__export__.res_company_2,Regular,PREMIX ,At Date,__export__.account_account_460000
__export__.account_account_550000,account.data_account_type_asset,1031109,__export__.res_company_2,Regular,RESIDUAL FUEL OIL ,At Date,__export__.account_account_460000
__export__.account_account_560000,account.data_account_type_asset,1031110,__export__.res_company_2,Regular,Kerosene ,At Date,__export__.account_account_460000
__export__.account_account_570000,account.data_account_type_asset,1031111,__export__.res_company_2,Regular,Additives ,At Date,__export__.account_account_460000
__export__.account_account_580000,account.data_account_type_asset,1031112,__export__.res_company_2,Regular,Dyes ,At Date,__export__.account_account_460000
__export__.account_account_590000,account.data_account_type_asset,1031113,__export__.res_company_2,Regular,Consumables,At Date,__export__.account_account_460000
__export__.account_account_600000,account.data_account_type_view,1031200,__export__.res_company_2,View,Goods in Transit,At Date,__export__.account_account_450000
__export__.account_account_610000,account.data_account_type_asset,1031201,__export__.res_company_2,Regular,Crude Oil ,At Date,__export__.account_account_600000
__export__.account_account_620000,account.data_account_type_asset,1031202,__export__.res_company_2,Regular,Gas Oil,At Date,__export__.account_account_600000
__export__.account_account_630000,account.data_account_type_asset,1031203,__export__.res_company_2,Regular,LIGHT GASOLINE ,At Date,__export__.account_account_600000
__export__.account_account_640000,account.data_account_type_asset,1031204,__export__.res_company_2,Regular,Gasoline,At Date,__export__.account_account_600000
__export__.account_account_650000,account.data_account_type_asset,1031205,__export__.res_company_2,Regular,NAPHTHA ,At Date,__export__.account_account_600000
__export__.account_account_660000,account.data_account_type_asset,1031206,__export__.res_company_2,Regular,LPG ,At Date,__export__.account_account_600000
__export__.account_account_670000,account.data_account_type_asset,1031207,__export__.res_company_2,Regular,DPK,At Date,__export__.account_account_600000
__export__.account_account_680000,account.data_account_type_asset,1031208,__export__.res_company_2,Regular,PREMIX ,At Date,__export__.account_account_600000
__export__.account_account_690000,account.data_account_type_asset,1031209,__export__.res_company_2,Regular,RESIDUAL FUEL OIL ,At Date,__export__.account_account_600000
__export__.account_account_700000,account.data_account_type_asset,1031210,__export__.res_company_2,Regular,Kerosene ,At Date,__export__.account_account_600000
__export__.account_account_710000,account.data_account_type_asset,1031211,__export__.res_company_2,Regular,Additives ,At Date,__export__.account_account_600000
__export__.account_account_720000,account.data_account_type_asset,1031212,__export__.res_company_2,Regular,Dyes ,At Date,__export__.account_account_600000
__export__.account_account_730000,account.data_account_type_asset,1031213,__export__.res_company_2,Regular,Consumables,At Date,__export__.account_account_600000
__export__.account_account_740000,account.data_account_type_view,1032000,__export__.res_company_2,View,Accounts Receivables,At Date,__export__.account_account_440000
__export__.account_account_750000,account.data_account_type_view,1032100,__export__.res_company_2,View,Product Receivables,At Date,__export__.account_account_740000
__export__.account_account_760000,account.data_account_type_receivable,1032101,__export__.res_company_2,Receivable,Product Receivables -MGO/GBS ,At Date,__export__.account_account_750000
__export__.account_account_870000,account.data_account_type_receivable,1032110,__export__.res_company_2,Receivable,Product Receivables-LPG ,At Date,__export__.account_account_750000
__export__.account_account_770000,account.data_account_type_receivable,1032102,__export__.res_company_2,Receivable,Product Receivables-AGO Mines ,At Date,__export__.account_account_750000
__export__.account_account_780000,account.data_account_type_receivable,1032103,__export__.res_company_2,Receivable,Product Receivables-Crude ,At Date,__export__.account_account_750000
__export__.account_account_790000,account.data_account_type_receivable,1032104,__export__.res_company_2,Receivable,Product Receivables -RFO ,At Date,__export__.account_account_750000
__export__.account_account_800000,account.data_account_type_receivable,1032105,__export__.res_company_2,Receivable,Product Receivables-AGO ,At Date,__export__.account_account_750000
__export__.account_account_810000,account.data_account_type_receivable,1032106,__export__.res_company_2,Receivable,Product Receivables -KERO ,At Date,__export__.account_account_750000
