id,name,urutan,min,max
range_9,1 Jt - 10 Jt,10,1000000,10000000
range_3,10 Jt - 15 Jt,20,10000000,15000000
range_13,16 Jt - 20 Jt,30,16000000,20000000
range_14,21 Jt - 25 Jt,40,21000000,25000000
range_10,26 Jt - 50 Jt,50,26000000,50000000
range_1,50 Jt - 100 Jt,60,50000000,100000000
range_2,100 Jt - 250 Jt,70,100000000,250000000
range_8,250 Jt - 500 Jt,80,250000000,500000000
range_6,500 Jt - 1 M,90,500000000,1000000000
range_11,1 M - 5 M,100,1000000000,5000000000
range_12,5 M - 10 M,110,5000000000,10000000000
range_7,10 M - 50 M,120,10000000000,50000000000
