"id","name","code","country_id"
"state_1","ACEH","ACEH","Indonesia"
"state_2","SUMATERA UTARA","SUMUT","Indonesia"
"state_3","SUMATERA BARAT","SUMBAR","Indonesia"
"state_4","RIAU","RIAU","Indonesia"
"state_5","JAMBI","JAMBI","Indonesia"
"state_6","SUMATERA SELATAN","SUMSEL","Indonesia"
"state_7","BENGKULU","BENGKULU","Indonesia"
"state_8","LAMPUNG","LAMPUNG","Indonesia"
"state_9","KEPULAUAN BANGKA BELITUNG","BABEL","Indonesia"
"state_10","KEPULAUAN RIAU","KEPRI","Indonesia"
"state_11","DKI JAKARTA","DKI","Indonesia"
"state_12","JAWA BARAT","JABAR","Indonesia"
"state_13","JAWA TENGAH","JATENG","Indonesia"
"state_14","DI YOGYAKARTA","DIY","Indonesia"
"state_15","JAWA TIMUR","JATIM","Indonesia"
"state_16","BANTEN","BANTEN","Indonesia"
"state_17","BALI","BALI","Indonesia"
"state_18","NUSA TENGGARA BARAT","NTB","Indonesia"
"state_19","NUSA TENGGARA TIMUR","NTT","Indonesia"
"state_20","KALIMANTAN BARAT","KALBAR","Indonesia"
"state_21","KALIMANTAN TENGAH","KALTENG","Indonesia"
"state_22","KALIMANTAN SELATAN","KALSEL","Indonesia"
"state_23","KALIMANTAN TIMUR","KALTIM","Indonesia"
"state_24","KALIMANTAN UTARA","KALUT","Indonesia"
"state_25","SULAWESI UTARA","SULUT","Indonesia"
"state_26","SULAWESI TENGAH","SULTENG","Indonesia"
"state_27","SULAWESI SELATAN","SULSEL","Indonesia"
"state_28","SULAWESI TENGGARA","SULTENG","Indonesia"
"state_29","GORONTALO","GORONTALO","Indonesia"
"state_30","SULAWESI BARAT","SULBAR","Indonesia"
"state_31","MALUKU","MALUKU","Indonesia"
"state_32","MALUKU UTARA","MALUKU UTARA","Indonesia"
"state_33","PAPUA BARAT","PAPUA BARAT","Indonesia"
"state_34","PAPUA","PAPUA","Indonesia"
