External ID,Kode,Tahun Akademik,Type Pembayaran,Fakultas,Program Studi,Bayar jika tambah SKS,Pembayaran/Semester,Pembayaran/Pembayaran
template_1,Teknik Sipil S1 2014,2014,Flat,FTSP,Teknik Sipil S1,FALSE,1,"Uang Kuliah Teknik Sipil S1,Uang Bangunan Teknik Sipil S1"
,,,,,,,2,Uang Kuliah Teknik Sipil S1
,,,,,,,3,Uang Kuliah Teknik Sipil S1
,,,,,,,4,Uang Kuliah Teknik Sipil S1
,,,,,,,5,Uang Kuliah Teknik Sipil S1
,,,,,,,6,Uang Kuliah Teknik Sipil S1
,,,,,,,7,Uang Kuliah Teknik Sipil S1
,,,,,,,8,Uang Kuliah Teknik Sipil S1
template_2,Arsitektur S1 2014,2014,Flat,FTSP,Arsitektur S1,FALSE,1,"Uang Kuliah Teknik Arsitektur S1,Uang Bangunan Teknik Arsitektur S1"
,,,,,,,2,Uang Kuliah Teknik Arsitektur S1
,,,,,,,3,Uang Kuliah Teknik Arsitektur S1
,,,,,,,4,Uang Kuliah Teknik Arsitektur S1
,,,,,,,5,Uang Kuliah Teknik Arsitektur S1
,,,,,,,6,Uang Kuliah Teknik Arsitektur S1
,,,,,,,7,Uang Kuliah Teknik Arsitektur S1
,,,,,,,8,Uang Kuliah Teknik Arsitektur S1
template_3,Arsitektur Lansekap S1 2014,2014,Flat,FTSP,Arsitektur Lansekap S1,FALSE,1,"Uang Kuliah Teknik Arts. Landscape S1,Uang Bangunan Teknik Arts. Landscape S1"
,,,,,,,2,Uang Kuliah Teknik Arts. Landscape S1
,,,,,,,3,Uang Kuliah Teknik Arts. Landscape S1
,,,,,,,4,Uang Kuliah Teknik Arts. Landscape S1
,,,,,,,5,Uang Kuliah Teknik Arts. Landscape S1
,,,,,,,6,Uang Kuliah Teknik Arts. Landscape S1
,,,,,,,7,Uang Kuliah Teknik Arts. Landscape S1
,,,,,,,8,Uang Kuliah Teknik Arts. Landscape S1
template_4,Teknik Sipil D3 2014,2014,Flat,FTSP,Teknik Sipil D3,FALSE,1,"Uang Kuliah Teknik Sipil D3,Uang Bangunan Teknik Sipil D3"
,,,,,,,2,Uang Kuliah Teknik Sipil D3
,,,,,,,3,Uang Kuliah Teknik Sipil D3
,,,,,,,4,Uang Kuliah Teknik Sipil D3
,,,,,,,5,Uang Kuliah Teknik Sipil D3
,,,,,,,6,Uang Kuliah Teknik Sipil D3
,,,,,,,7,Uang Kuliah Teknik Sipil D3
,,,,,,,8,Uang Kuliah Teknik Sipil D3
template_5,Teknik Mesin S1 2014,2014,Flat,FTI,Teknik Mesin S1,FALSE,1,"Uang Kuliah Teknik Mesin S1,Uang Bangunan Teknik Mesin S1"
,,,,,,,2,Uang Kuliah Teknik Mesin S1
,,,,,,,3,Uang Kuliah Teknik Mesin S1
,,,,,,,4,Uang Kuliah Teknik Mesin S1
,,,,,,,5,Uang Kuliah Teknik Mesin S1
,,,,,,,6,Uang Kuliah Teknik Mesin S1
,,,,,,,7,Uang Kuliah Teknik Mesin S1
,,,,,,,8,Uang Kuliah Teknik Mesin S1
template_6,Teknik Elektro S1 2014,2014,Flat,FTI,Teknik Elektro S1,FALSE,1,"Uang Kuliah Teknik Elektro S1,Uang Bangunan Teknik Elektro S1"
,,,,,,,2,Uang Kuliah Teknik Elektro S1
,,,,,,,3,Uang Kuliah Teknik Elektro S1
,,,,,,,4,Uang Kuliah Teknik Elektro S1
,,,,,,,5,Uang Kuliah Teknik Elektro S1
,,,,,,,6,Uang Kuliah Teknik Elektro S1
,,,,,,,7,Uang Kuliah Teknik Elektro S1
,,,,,,,8,Uang Kuliah Teknik Elektro S1
template_7,Teknik Industri S1 2014,2014,Flat,FTI,Teknik Industri S1,FALSE,1,"Uang Kuliah Teknik Industri S1,Uang Bangunan Teknik Industri S1"
,,,,,,,2,Uang Kuliah Teknik Industri S1
,,,,,,,3,Uang Kuliah Teknik Industri S1
,,,,,,,4,Uang Kuliah Teknik Industri S1
