Kode Program,Program,Kode,,Nama,COA
1.01,PERSIAPAN PERKULIAHAN,1.01.01,01,Rapat koordinasi dgn dosen,
1.01,PERSIAPAN PERKULIAHAN,1.01.02,02,Ketersediaan rancangan pembelajaran,
1.01,PERSIAPAN PERKULIAHAN,1.01.03,03,Ketersediaan dosen,
1.01,PERSIAPAN PERKULIAHAN,1.01.04,04,Kualifikasi dosen,
1.01,PERSIAPAN PERKULIAHAN,1.01.05,05,Ketersediaan fasilitas kuliah,
1.01,PERSIAPAN PERKULIAHAN,1.01.06,06,Mata kuliah yg ditawarkan dan jumlah kelas,
1.01,PERSIAPAN PERKULIAHAN,1.01.07,07,Jadual kuliah,
1.01,PERSIAPAN PERKULIAHAN,1.01.08,08,Pengisian KRS oleh mhs,
1.01,PERSIAPAN PERKULIAHAN,1.01.09,09,Daftar peserta kelas & presensi/mhs/kuliah,
1.01,PERSIAPAN PERKULIAHAN,1.01.10,10,Daftar hadir dosen/mata kuliah,
1.02,MAHASISWA PINDAHAN / MELANJUTKAN,1.02.01,01,Lembar penyetaraan,
1.02,MAHASISWA PINDAHAN / MELANJUTKAN,1.02.02,02,Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu,
1.02,MAHASISWA PINDAHAN / MELANJUTKAN,1.02.03,03,Ketersediaan rancangan praktikum,
1.02,MAHASISWA PINDAHAN / MELANJUTKAN,1.02.04,04,Jadwal praktikum,
1.02,MAHASISWA PINDAHAN / MELANJUTKAN,1.02.05,05,Modul / alat praktikum,
1.02,MAHASISWA PINDAHAN / MELANJUTKAN,1.02.06,06,Bahan habis pakai,
1.02,MAHASISWA PINDAHAN / MELANJUTKAN,1.02.07,07,Dana praktikum,
1.03,PERSIAPAN PRAKTIKUM,1.03.01,01,Ketersediaan rancangan praktikum,
1.03,PERSIAPAN PRAKTIKUM,1.03.02,02,Jadual praktikum,
1.03,PERSIAPAN PRAKTIKUM,1.03.03,03,Modul/alat praktikum,
1.03,PERSIAPAN PRAKTIKUM,1.03.04,04,Bahan habis pakai,
1.03,PERSIAPAN PRAKTIKUM,1.03.05,05,Dana praktikum,
1.03,PERSIAPAN PRAKTIKUM,1.03.06,06,Daftar peserta praktikum,
1.03,PERSIAPAN PRAKTIKUM,1.03.07,07,Asisten/instruktur,
1.03,PERSIAPAN PRAKTIKUM,1.03.08,08,Penugasan asisten/instruktur,
1.03,PERSIAPAN PRAKTIKUM,1.03.09,09,Nilai akhir praktikum,
1.04,PELAKSANAAN PERKULIAHAN,1.04.01,01,Jumlah kehadiran dosen,
1.04,PELAKSANAAN PERKULIAHAN,1.04.02,02,Presensi mhs,
1.04,PELAKSANAAN PERKULIAHAN,1.04.03,03,Mahasiswa pindahan/melanjutkan,
1.05,PELAKSANAAN PRAKTIKUM,1.05.01,01,Jumlah kehadiran asisten/instruktur,
1.05,PELAKSANAAN PRAKTIKUM,1.05.02,02,Presensi mhs peserta praktikum,
