"External ID","Kategori Kebijakan/Nama","Kebijakan/Nama","Program/Nama","Kode","Nama"
"__export__.anggaran_kegiatan_673","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PERSIAPAN PERKULIAHAN","1.01.02","Ketersediaan rancangan pembelajaran"
"__export__.anggaran_kegiatan_674","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PERSIAPAN PERKULIAHAN","1.01.03","Ketersediaan dosen"
"__export__.anggaran_kegiatan_675","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PERSIAPAN PERKULIAHAN","1.01.04","Kualifikasi dosen"
"__export__.anggaran_kegiatan_676","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PERSIAPAN PERKULIAHAN","1.01.05","Ketersediaan fasilitas kuliah"
"__export__.anggaran_kegiatan_677","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PERSIAPAN PERKULIAHAN","1.01.06","Mata kuliah yg ditawarkan dan jumlah kelas"
"__export__.anggaran_kegiatan_678","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PERSIAPAN PERKULIAHAN","1.01.07","Jadual kuliah"
"__export__.anggaran_kegiatan_679","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PERSIAPAN PERKULIAHAN","1.01.08","Pengisian KRS oleh mhs"
"__export__.anggaran_kegiatan_680","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PERSIAPAN PERKULIAHAN","1.01.09","Daftar peserta kelas & presensi/mhs/kuliah"
"__export__.anggaran_kegiatan_681","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PERSIAPAN PERKULIAHAN","1.01.10","Daftar hadir dosen/mata kuliah"
"__export__.anggaran_kegiatan_682","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","MAHASISWA PINDAHAN / MELANJUTKAN","1.02.01","Lembar penyetaraan"
"__export__.anggaran_kegiatan_683","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","MAHASISWA PINDAHAN / MELANJUTKAN","1.02.02","Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu"
"__export__.anggaran_kegiatan_684","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","MAHASISWA PINDAHAN / MELANJUTKAN","1.02.03","Ketersediaan rancangan praktikum"
"__export__.anggaran_kegiatan_685","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","MAHASISWA PINDAHAN / MELANJUTKAN","1.02.04","Jadwal praktikum"
"__export__.anggaran_kegiatan_686","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","MAHASISWA PINDAHAN / MELANJUTKAN","1.02.05","Modul / alat praktikum"
"__export__.anggaran_kegiatan_687","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","MAHASISWA PINDAHAN / MELANJUTKAN","1.02.06","Bahan habis pakai"
"__export__.anggaran_kegiatan_688","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","MAHASISWA PINDAHAN / MELANJUTKAN","1.02.07","Dana praktikum"
"__export__.anggaran_kegiatan_689","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PERSIAPAN PRAKTIKUM","1.03.01","Ketersediaan rancangan praktikum"
"__export__.anggaran_kegiatan_690","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PERSIAPAN PRAKTIKUM","1.03.02","Jadual praktikum"
"__export__.anggaran_kegiatan_691","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PERSIAPAN PRAKTIKUM","1.03.03","Modul/alat praktikum"
"__export__.anggaran_kegiatan_692","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PERSIAPAN PRAKTIKUM","1.03.04","Bahan habis pakai"
"__export__.anggaran_kegiatan_693","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PERSIAPAN PRAKTIKUM","1.03.05","Dana praktikum"
"__export__.anggaran_kegiatan_694","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PERSIAPAN PRAKTIKUM","1.03.06","Daftar peserta praktikum"
"__export__.anggaran_kegiatan_695","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PERSIAPAN PRAKTIKUM","1.03.07","Asisten/instruktur"
"__export__.anggaran_kegiatan_696","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PERSIAPAN PRAKTIKUM","1.03.08","Penugasan asisten/instruktur"
"__export__.anggaran_kegiatan_697","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PERSIAPAN PRAKTIKUM","1.03.09","Nilai akhir praktikum"
"__export__.anggaran_kegiatan_698","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PELAKSANAAN PERKULIAHAN","1.04.01","Jumlah kehadiran dosen"
"__export__.anggaran_kegiatan_699","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PELAKSANAAN PERKULIAHAN","1.04.02","Presensi mhs"
"__export__.anggaran_kegiatan_700","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PELAKSANAAN PERKULIAHAN","1.04.03","Mahasiswa pindahan/melanjutkan"
"__export__.anggaran_kegiatan_701","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PELAKSANAAN PRAKTIKUM","1.05.01","Jumlah kehadiran asisten/instruktur"
"__export__.anggaran_kegiatan_702","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","PELAKSANAAN PRAKTIKUM","1.05.02","Presensi mhs peserta praktikum"
"__export__.anggaran_kegiatan_703","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","UJIAN TENGAH SEMESTER","1.06.01","Tersediaan sarana & prasarana ujian"
"__export__.anggaran_kegiatan_704","PENDIDIKAN","Meningkatkan Kualitas Layanan Proses Pembelajaran ( Pendidikan / Pengajaran )","UJIAN TENGAH SEMESTER","1.06.02","Jadual ujian"
