id,Kebijakan,Kode,Nama
1.01,1,1.01,PERSIAPAN PERKULIAHAN
1.02,1,1.02,MAHASISWA PINDAHAN / MELANJUTKAN
1.03,1,1.03,PERSIAPAN PRAKTIKUM
1.04,1,1.04,PELAKSANAAN PERKULIAHAN
1.05,1,1.05,PELAKSANAAN PRAKTIKUM
1.06,1,1.06,UJIAN TENGAH SEMESTER
1.07,1,1.07,UJIAN & NILAI AKHIR SEMESTER
1.08,1,1.08,PRAKTEK KERJA
1.09,1,1.09,EVALUASI PRESTASI AKADEMIK
1.10,1,1.10,PENYELESAIAN SKRIPSI
1.11,1,1.11,UJIAN SKRIPSI
2.01,2,2.01,"MENYUSUN PENELITIAN, PANDUAN DAN SOP"
2.02,2,2.02,"MENYUSUN PANDUAN PELAKSANAAN PENELITIAN, SOSIALISASI, PROGRAM KERJA PELAKSANAAN PENELITIAN"
2.03,2,2.03,MELAKSANAKAN PELATIHAN PEMBUATAN PROPOSAL
2.04,2,2.04,MELAKSANAKAN SEMINAR ILMIAH
2.05,2,2.05,MELAKSANAKAN PENELITIAN INTERNAL
3.01,3,3.01,MENYUSUN PANDUAN PELAKSANAAN SOSIALISASI PANDUAN DAN PROGRAM
3.02,3,3.02,MELAKSANAKAN PELATIHAN PEMBUATAN PROPOSAL PENGMAS
3.03,3,3.03,MELAKSANAKAN PELATIHAN PENULISAN DAN KEWIRAUSAHAAN MAHASISWA
3.04,3,3.04,MELAKSANAKAN PELATIHAN KEWIRAUSAHAAN
3.05,3,3.05,MELAKSAKAN PENYULUHAN DAN PELATIHAN PADA MASYARAKAT PER PRODI
4.01,4,4.01,MELAKSANAKAN USAHA KERJASAMA DENGAN PIHAK LUAR ISTN
5.01,5,5.01,"MELAKSANAKAN PUBLIKASI ILMIAH, PENERBITAN DAN HAKI"
6.01,6,6.01,"MELAKSANAKAN PENJAMINAN MUTU KEGIATAN BIDANG PENELITIAN, PENGMAS DAN KEWIRAUSAHAAN"
7.01,7,7.01,MELAKSANAKAN PENJAMINAN MUTU PENGELOLAAN MANAJEMEN DAN ADMINISTRASI KEGIATAN LP2M
