name,Product,product_uom,product_qty,yield,Don't Import,BoM Lines / Product Unit of Measure,BoM Lines / Product Quantity,bom_lines/component_type,type,BoM Lines / Product
Bio nigell,Bio nigell,Kp Lu,200000,, BGE0020101,kg,43,raw_material,Normal,BGE0020101
,,,,, BGE0020201 ,kg,43,raw_material,,BGE0020201
,,,,, BGE0020301 ,kg,43,raw_material,,BGE0020301
,,,,, BGE0040101 ,kg,43,raw_material,,BGE0040101
,,,,, BGL0020101 ,kg,34,raw_material,,BGL0020101
,,,,, BGL0020201 ,kg,34,raw_material,,BGL0020201
,,,,, BGL0020301 ,kg,34,raw_material,,BGL0020301
,,,,,BMP0010101 ,kg,0.128,raw_material,,BMP0010101
,,,,, BMP0010201 ,kg,0.128,raw_material,,BMP0010201
,,,,, BPP0010101 ,kg,0.054,raw_material,,BPP0010101
Buah Merah Rediss,Buah Merah Rediss,Kp Lu,200000,, BGE0020101 ,kg,43,raw_material,Normal,BGE0020101
,,,,, BGE0020201 ,kg,43,raw_material,,BGE0020201
,,,,, BGE0020301 ,kg,43,raw_material,,BGE0020301
,,,,, BGE0040101 ,kg,43,raw_material,,BGE0040101
,,,,, BGL0020101 ,kg,34,raw_material,,BGL0020101
,,,,, BGL0020201 ,kg,34,raw_material,,BGL0020201
,,,,, BGL0020301 ,kg,34,raw_material,,BGL0020301
,,,,, BMP0010101 ,kg,0.128,raw_material,,BMP0010101
,,,,, BMP0010201 ,kg,0.128,raw_material,,BMP0010201
,,,,, BPP0010101 ,kg,0.054,raw_material,,BPP0010101
Buah Merah W 600,Buah Merah W 600,Kp Lu,100000,, BGE0020101 ,kg,21.5,raw_material,Normal,BGE0020101
,,,,, BGE0020201 ,kg,21.5,raw_material,,BGE0020201
,,,,, BGE0020301 ,kg,21.5,raw_material,,BGE0020301
,,,,, BGE0040101 ,kg,21.5,raw_material,,BGE0040101
,,,,, BGL0020101 ,kg,17,raw_material,,BGL0020101
,,,,, BGL0020201 ,kg,17,raw_material,,BGL0020201
,,,,, BGL0020301 ,kg,17,raw_material,,BGL0020301
,,,,, BMP0010101 ,kg,0.064,raw_material,,BMP0010101
,,,,, BMP0010201 ,kg,0.064,raw_material,,BMP0010201
,,,,, BPP0010101 ,kg,0.027,raw_material,,BPP0010101
Biocelle,Biocelle,Kp Lu,200000,98.61%, BGE0020101 ,kg,33.786,raw_material,Normal,BGE0020101
,,,,, BGE0020201 ,kg,33.786,raw_material,,BGE0020201
,,,,, BGE0020301 ,kg,33.786,raw_material,,BGE0020301
,,,,, BGE0040101 ,kg,33.786,raw_material,,BGE0040101
,,,,, BGL0020101 ,kg,26.714,raw_material,,BGL0020101
,,,,, BGL0020201 ,kg,26.714,raw_material,,BGL0020201
,,,,, BGL0020301 ,kg,26.714,raw_material,,BGL0020301
,,,,, BMP0010101 ,kg,0.101,raw_material,,BMP0010101
,,,,, BMP0010201 ,kg,0.101,raw_material,,BMP0010201
,,,,, BPP0010101 ,kg,0.042,raw_material,,BPP0010101
Camiten,Camiten,Kp Lu,200000,, BGE0020101 ,kg,43,raw_material,Normal,BGE0020101
,,,,, BGE0020201 ,kg,43,raw_material,,BGE0020201
,,,,, BGE0020301 ,kg,43,raw_material,,BGE0020301
,,,,, BGE0040101 ,kg,43,raw_material,,BGE0040101
,,,,, BGL0020101 ,kg,34,raw_material,,BGL0020101
,,,,, BGL0020201 ,kg,34,raw_material,,BGL0020201
,,,,, BGL0020301 ,kg,34,raw_material,,BGL0020301
,,,,, BMP0010101 ,kg,0.128,raw_material,,BMP0010101
,,,,, BMP0010201 ,kg,0.128,raw_material,,BMP0010201
,,,,, BPP0010101 ,kg,0.054,raw_material,,BPP0010101
,,,,, BEC0020101 ,kg,0.3,raw_material,,BEC0020101
,,,,, BET0020101 ,g,240,raw_material,,BET0020101
,,,,, BTD0010101 ,kg,0.4,raw_material,,BTD0010101
,,,,, BTD0010201 ,kg,0.4,raw_material,,BTD0010201
DBS Habbazzaitun ,DBS Habbazzaitun ,Kp Lu,220000,, BGE0020101 ,kg,43,raw_material,Normal,BGE0020101
,,,,, BGE0020201 ,kg,43,raw_material,,BGE0020201
,,,,, BGE0020301 ,kg,43,raw_material,,BGE0020301
,,,,, BGE0040101 ,kg,43,raw_material,,BGE0040101
,,,,, BGL0020101 ,kg,34,raw_material,,BGL0020101
,,,,, BGL0020201 ,kg,34,raw_material,,BGL0020201
,,,,, BGL0020301 ,kg,34,raw_material,,BGL0020301
,,,,, BMP0010101 ,kg,0.129,raw_material,,BMP0010101
,,,,, BMP0010201 ,kg,0.129,raw_material,,BMP0010201
,,,,, BPP0010101 ,kg,0.054,raw_material,,BPP0010101
,,,,, BPL0010101 ,kg,0.008,raw_material,,BPL0010101
Fish Oil 1000 mg,Fish Oil 1000 mg,Kp Lu,200000,, BGE0020101 ,kg,43,raw_material,Normal,BGE0020101
,,,,, BGE0020201 ,kg,43,raw_material,,BGE0020201
,,,,, BGE0020301 ,kg,43,raw_material,,BGE0020301
,,,,, BGE0040101 ,kg,43,raw_material,,BGE0040101
,,,,, BGL0020101 ,kg,34,raw_material,,BGL0020101
,,,,, BGL0020201 ,kg,34,raw_material,,BGL0020201
,,,,, BGL0020301 ,kg,34,raw_material,,BGL0020301
,,,,, BMP0010101 ,kg,0.129,raw_material,,BMP0010101
,,,,, BMP0010201 ,kg,0.129,raw_material,,BMP0010201
,,,,, BPP0010101 ,kg,0.054,raw_material,,BPP0010101
Olive Oil 600 mg,Olive Oil 600 mg,Kp Lu,220000,, BGE0020101 ,kg,43,raw_material,Normal,BGE0020101
,,,,, BGE0020201 ,kg,43,raw_material,,BGE0020201
,,,,, BGE0020301 ,kg,43,raw_material,,BGE0020301
,,,,, BGE0040101 ,kg,43,raw_material,,BGE0040101
,,,,, BGL0020101 ,kg,34,raw_material,,BGL0020101
,,,,, BGL0020201 ,kg,34,raw_material,,BGL0020201
,,,,, BGL0020301 ,kg,34,raw_material,,BGL0020301
,,,,, BMP0010101 ,kg,0.129,raw_material,,BMP0010101
,,,,, BMP0010201 ,kg,0.129,raw_material,,BMP0010201
,,,,, BPP0010101 ,kg,0.054,raw_material,,BPP0010101
,,,,, BTD0010101 ,kg,0.4,raw_material,,BTD0010101
,,,,, BTD0010201 ,kg,0.4,raw_material,,BTD0010201
Habbatussauda 600 mg,Habbatussauda 600 mg,Kp Lu,220000,, BGE0020101 ,kg,43,raw_material,Normal,BGE0020101
,,,,, BGE0020201 ,kg,43,raw_material,,BGE0020201
,,,,, BGE0020301 ,kg,43,raw_material,,BGE0020301
,,,,, BGE0040101 ,kg,43,raw_material,,BGE0040101
,,,,, BGL0020101 ,kg,34,raw_material,,BGL0020101
,,,,, BGL0020201 ,kg,34,raw_material,,BGL0020201
,,,,, BGL0020301 ,kg,34,raw_material,,BGL0020301
,,,,, BMP0010101 ,kg,0.129,raw_material,,BMP0010101
,,,,, BMP0010201 ,kg,0.129,raw_material,,BMP0010201
,,,,, BPP0010101 ,kg,0.054,raw_material,,BPP0010101
Inspira Vitamin E 400 IU,Inspira Vitamin E 400 IU,Kp Lu,320000,, BGE0020101 ,kg,43,raw_material,Normal,BGE0020101
,,,,, BGE0020201 ,kg,43,raw_material,,BGE0020201
,,,,, BGE0020301 ,kg,43,raw_material,,BGE0020301
,,,,, BGE0040101 ,kg,43,raw_material,,BGE0040101
,,,,, BGL0020101 ,kg,34,raw_material,,BGL0020101
,,,,, BGL0020201 ,kg,34,raw_material,,BGL0020201
,,,,, BGL0020301 ,kg,34,raw_material,,BGL0020301
,,,,, BMP0010101 ,kg,0.129,raw_material,,BMP0010101
,,,,, BMP0010201 ,kg,0.129,raw_material,,BMP0010201
,,,,, BPP0010101 ,kg,0.054,raw_material,,BPP0010101
Isotretinoin 10 mg,Isotretinoin 10 mg,Kp Lu,200000,, BGE0020101 ,kg,38.37,raw_material,Normal,BGE0020101
,,,,, BGE0020201 ,kg,38.37,raw_material,,BGE0020201
,,,,, BGE0020301 ,kg,38.37,raw_material,,BGE0020301
,,,,, BGE0040101 ,kg,38.37,raw_material,,BGE0040101
,,,,, BGL0020101 ,kg,34,raw_material,,BGL0020101
,,,,, BGL0020201 ,kg,34,raw_material,,BGL0020201
,,,,, BGL0020301 ,kg,34,raw_material,,BGL0020301
,,,,, BMP0010101 ,kg,0.115,raw_material,,BMP0010101
,,,,, BMP0010201 ,kg,0.115,raw_material,,BMP0010201
,,,,, BPP0010101 ,kg,0.048,raw_material,,BPP0010101
,,,,, BEC0020101 ,kg,0.268,raw_material,,BEC0020101
,,,,, BET0020101 ,g,214.15,raw_material,,BET0020101
,,,,,BTD0010101,kg,0.357,raw_material,,BTD0010101
,,,,, BTD0010201 ,kg,0.357,raw_material,,BTD0010201
Lamata,Lamata,Kp Lu,100000,, BGL0020101 ,kg,17,raw_material,Normal,BGL0020101
,,,,, BGL0020201 ,kg,17,raw_material,,BGL0020201
,,,,, BGL0020301 ,kg,17,raw_material,,BGL0020301
,,,,,BMP0010101,kg,0.064,raw_material,,BMP0010101
,,,,, BMP0010201 ,kg,0.064,raw_material,,BMP0010201
,,,,, BPP0010101 ,kg,0.027,raw_material,,BPP0010101
,,,,, ABE0010101 ,kg,6,raw_material,,ABE0010101
,,,,, AVE0020101 ,kg,5,raw_material,,AVE0020101
,,,,, ABC0010101 ,kg,0.3,raw_material,,ABC0010101
,,,,, ABC0010201 ,kg,0.3,raw_material,,ABC0010201
,,,,, APH0070101 ,kg,0.7,raw_material,,APH0070101
,,,,, ALG0010101 ,kg,0.8,raw_material,,ALG0010101
,,,,, ALH0020101 ,kg,0.8,raw_material,,ALH0020101
,,,,, ALH0020201 ,kg,0.8,raw_material,,ALH0020201
,,,,, ATA0010101 ,kg,0.8,raw_material,,ATA0010101
,,,,, BSO0010101 ,kg,35.6,raw_material,,BSO0010101
,,,,, BGE0020101 ,kg,21.5,raw_material,,BGE0020101
,,,,, BGE0020201 ,kg,21.5,raw_material,,BGE0020201
,,,,, BGE0020301 ,kg,21.5,raw_material,,BGE0020301
,,,,, BGE0040101 ,kg,21.5,raw_material,,BGE0040101
,,,,, CBO0120100 ,Pcs,"3,333", kemas_primer ,,CBO0120100
,,,,, CTB0170100 ,Pcs,"3,333", kemas_primer ,,CTB0170100
,,,,, CSG0010100 ,kg,3, kemas_primer ,,CSG0010100
,,,,, LBK0010100 ,Pcs,"3,333", kemas_primer ,,LBK0010100
,,,,, CET0730100 ,Pcs,"3,390", kemas_sekunder ,,CET0730100
,,,,, CET0730200 ,Pcs,"3,390", kemas_sekunder ,,CET0730200
,,,,, CIN0800100 ,Pcs,"3,334", kemas_sekunder ,,CIN0800100
,,,,, CIN0800200 ,Pcs,"3,334", kemas_sekunder ,,CIN0800200
,,,,, CSH0200100 ,Pcs,19, kemas_sekunder ,,CSH0200100
,,,,, LBK0100100 ,Pcs,68, kemas_sekunder ,,LBK0100100
,,,,, CPB0010100 ,Roll,1, kemas_sekunder ,,CPB0010100
,,,,, CPB0010200 ,Roll,1, kemas_sekunder ,,CPB0010200
Mamavita 400 mg Soft Capsule,Mamavita 400 mg Soft Capsule,Kp Lu,220000,100.60%, BGE0020101 ,kg,43,raw_material,Normal,BGE0020101
,,,,, BGE0020201 ,kg,43,raw_material,,BGE0020201
,,,,, BGE0020301 ,kg,43,raw_material,,BGE0020301
