"id","default_code","Name","seller_ids/product_name","seller_ids/name","uom_id","uom_po_id","categ_id","list_price","route_ids","cost_method","valuation","type","purchase_ok","active","sale_ok"
"bahan_baku_aktif_60","AAA0010101","Aminophylline Anhydrous","Aminophylline Anhydrous","Shandong Xinhua Phar","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_70","AAA0010201 ","Aminophylline Anhydrous","Aminophylline Anhydrous","Jilin Shulan Syth P.","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_80","AAA0010301 ","Aminophylline Anhydrous","Aminophylline Anhydrous","CSPC Innovation Phar","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_90","AAA0020101 ","Ascorbic Acid Uncoated","Ascorbic Acid Uncoated","CSPC Weisheng Phar","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_100","AAA0030101 ","Ascorbic Acid Coated","Ascorbic Acid Coated-97","CSPC Weisheng Phar","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_110","AAC0010101 ","Acetaminophen","Paracetamol","Hengshui Jiheng Phar","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_120","AAC0010201 ","Acetaminophen","Paracetamol","Hebei Jiheng Phar","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_130","AAC0020101 ","Ammonium Chloride","Ammonium Chloride","Daixi Chem","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_140","AAC0020201 ","Ammonium Chloride","Ammonium Chloride","Hanwha Chemical Corp","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_150","AAH0010101 ","Alluminum Hydroxide Gel Dried","Dried Alluminum Hydroxide gel","Taurus Chemical (p)","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_160","AAH0010201 ","Alluminum Hydroxide Gel Dried","Dried Alluminum Hydroxide gel","iL-Yang Pharma","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_170","AAH0010301 ","Alluminum Hydroxide Gel Dried","Dried Alluminum Hydroxide gel","Tomita Pharmaceutic","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_180","AAM0010101 ","Amidopyrine","Amidopyrine","Shandong Xinhua Phar","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_190","AAT0010101 ","Amoxicillin Trihydrat Compact","Amoxicillin Trihydrat Compacted","Zhuhai United Lab.","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_200","AAT0010201 ","Amoxicillin Trihydrat Compact","Amoxicillin Trihydrat Compacted","DSM Sinochem Phar","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_210","AAT0010301 ","Amoxicillin Trihydrat Compact","Amoxicillin Trihydrat Compacted","Daewoong Riasima INA","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_220","AAT0010401 ","Amoxicillin Trihydrat Compact","Amoxicillin Trihydrat Compacted","North China Phar","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_230","AAT0010501 ","Amoxicillin Trihydrat Compact","Amoxicillin Trihydrat Compacted","CSPC Hebei Zhongrun","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_240","AAT0020101 ","Amoxicillin Trihydrat Pulv.","Amoxicillin Trihydrat Pulverized","Zhuhai United Lab.","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_250","AAT0020201 ","Amoxicillin Trihydrat Pulv.","Amoxicillin Trihydrat Pulverized","The United Lab.","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_260","AAT0020301 ","Amoxicillin Trihydrat Pulv.","Amoxicillin Trihydrat Pulverized","CSPC Zhongnuo S.","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_270","AAT0030101 ","Ampicillin Trihydrat Compacted","Ampicillin Trihydrat Compacted","Zhuhai United Lab.","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_280","AAT0030201 ","Ampicillin Trihydrat Compacted","Ampicillin Trihydrat Compacted","CSPC Hebei Zhongrun","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_290","AAT0040101 ","Ampicillin Trihydrat Pulv.","Ampicillin Trihydrat Pulverized","Zhuhai United Lab.","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_300","ABC0010101 ","Beta Carotene 10% CWS","Beta Carotene 10% CWS","Cognis","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_310","ABC0010201 ","Beta Carotene 10% CWS","Beta Carotene 10% CWS","DSM Nutritional P.","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_320","ABE0010101 ","Bilberry Extract Powder 25%","Bilberry Extract Powder 25%","Shanghai Passiono I.","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_330","ABO0010101 ","Borage Oil","Starflower Oil","Oil Seed Extractions","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_340","ABH0010101 ","Bromhexine HCl","Bromhexine HCl","Wenling Tongda Fine","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_350","ABH0010201 ","Bromhexine HCl","Bromhexine HCl","Zhejiang Wanbang ","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_360","ACA0010101 ","Cortisone Acetate","Cortisone Acetate","Sanofi Aventis","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_370","ACB0010101 ","Chloramphenicol Base","Chloramphenicol Base","Wuhan Wuyao Phar","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_380","ACB0010201 ","Chloramphenicol Base","Chloramphenicol Base","Nanjing Baijingyu P.","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_390","ACC0010101 ","Calcium Chloride","Calcium Chloride No. Cat 1.02382","Merck kgaA","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_400","ACG0010101 ","Calcium Gluconate","Gluconal CAM-P-IN-EP","Purac Biochem bv","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_410","ACH0010101 ","Chlorpromazine HCl","Chlorpromazine HCl","Changzhou Nanjing","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_420","ACH0020101 ","Clindamycin HCl","Clindamycin HCl","Zhejiang Hisoar Phar","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_aktif_430","ACL0010101 ","Calcium Lactate","Calcium Lactate","Wuhan Sanjiang S.G.B","kg","kg","Bahan Baku Aktif",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
