"id","Internal Reference","Name","categ_id","description_sale","unit of measure","uom_po_id","route_ids","Costing Method","Inventory Valuation","Product Type","standard_price","income coa","expense coa","list_price","sale_ok","purchase_ok"
"larutan_100","DCA0010100","Alkohol 70% 100 ml","Larutan","Botol @ 100 ml","Botol","Botol","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"larutan_110","DCA0020100","Alkohol 70% 1 L","Larutan","Botol @ 1 liter","Botol","Botol","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"larutan_120","DCC0010100","Cayodine 30 ml","Larutan","Dus, botol 30 ml ","Botol","Botol","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"larutan_130","DCC0020100","Cayodine 30 ml TD","Larutan","Botol plastik 30 ml","Botol","Botol","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"larutan_140","DCC0030100","Cayodine 60 ml","Larutan","Dus, botol 60 ml ","Botol","Botol","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"larutan_150","DCC0040100","Cayodine 60 ml TD","Larutan","Botol plastik 60 ml","Botol","Botol","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"larutan_160","DCC0050100","Cayodine 1 L","Larutan","Botol 1 liter ","Botol","Botol","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"larutan_170","DCG0010100","Glyserol 100 ml","Larutan","Botol plastik 100 ml","Botol","Botol","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"larutan_180","DCO0010100","Otedental 10 ml","Larutan","Dus, botol plastik 10 ml ","Botol","Botol","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"larutan_190","DCP0020100","Povidone iodine 30 ml","Larutan","Botol 30 ml","Botol","Botol","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"larutan_200","DCP0030100","Povidone iodine 300 ml","Larutan","Botol 300 ml","Botol","Botol","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"larutan_210","DCP0040100","Povidone iodine 1 L","Larutan","Botol 1 liter","Botol","Botol","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"larutan_220","DCR0010100","Rivanol 300 ml","Larutan","Botol 300 ml","Botol","Botol","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"larutan_230","DCR0020100","Rivanol 100 ml","Larutan"," botol plastik @ 100 ml ","Botol","Botol","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
