"id","Internal Reference","Name","categ_id","description_sale","unit of measure","uom_po_id","route_ids","Costing Method","Inventory Valuation","Product Type","standard_price","income coa","expense coa","list_price","sale_ok","purchase_ok"
"soft_capsule_100","DAB0010100","Bio nigell","Soft Capsule","Dus, Botol @ 60 kapsul lunak @ 500 mg","Kapsul","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"soft_capsule_110","DAB0020100","Buah Merah Rediss","Soft Capsule","Botol @30 dan 60 kapsul","Kapsul","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"soft_capsule_120","DAB0030100","Buah Merah W 600","Soft Capsule","Botol Plastik 50 kapsul lunak ","Kapsul","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"soft_capsule_130","DAD0010100","DBS Habbazzaitun ","Soft Capsule","Dus, Botol @ 60 kapsul lunak @ 500 mg","Kapsul","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"soft_capsule_140","DAH0010100","Hebbat Yemen 600 mg","Soft Capsule","Botol Plastik @ 30 kapsul lunak","Kapsul","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"soft_capsule_150","DAI0010100","Inspira Fish Oil","Soft Capsule","Dus, Botol Plastik @ 30 kapsul lunak","Kapsul","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"soft_capsule_160","DAI0020100","Inspira Vitamin E 400 IU","Soft Capsule","Dus, Botol Plastik @ 30 kapsul lunak","Kapsul","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"soft_capsule_170","DAL0010100","Lamata","Soft Capsule","Dus, Botol @ 30 kapsul lunak","Pot 30 Kp LU","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"soft_capsule_180","DAP0010100","Pure Fish Oil ","Soft Capsule","Dus, Botol @ 30 kapsul lunak","Kapsul","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"soft_capsule_190","DAV0010100","Vitamin A 100.000 IU","Soft Capsule","Botol Plastik 50 kapsul lunak ","Pot 50 Kp LU","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"soft_capsule_200","DAV0020100","Vitamin A 200.000 IU","Soft Capsule","Botol Plastik 50 kapsul lunak ","Pot 50 Kp LU","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"soft_capsule_210","DAN0010100","Natura Nigela S 700","Soft Capsule","Botol Plastik @60 kapsul lunak","Kapsul","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"soft_capsule_220","DAN0020100","Natura Omega S 650","Soft Capsule","Botol Plastik @ 60 kapsul lunak","Kapsul","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"soft_capsule_230","DAB0040100","Biocelle","Soft Capsule","Botol Plastik @ 60 kapsul lunak","Kapsul","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"soft_capsule_240","DAH0020100","Habbatussauda 600 mg","Soft Capsule","Botol Plastik @ 50 kapsul lunak","Kapsul","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"soft_capsule_250","DAI0030100","Isotretinoin 10 mg","Soft Capsule","Botol Plastik @ 100 kapsul lunak","Kapsul","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"soft_capsule_260","DAF0010100","Fish Oil 1000 mg","Soft Capsule","Botol Plastik @ 400 dan 500 kapsul lunak","Kapsul","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"soft_capsule_270","DAO0010100","Olive Oil 600 mg","Soft Capsule","Botol Plastik @ 50 kapsul lunak","Kapsul","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"soft_capsule_280","DAC0010100","Carniten","Soft Capsule","Blister @ 10 kapsul lunak","Kapsul","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"soft_capsule_290","DAC0020100","Colicol","Soft Capsule","Blister @ 10 kapsul lunak","Kapsul","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
"soft_capsule_300","DAV0030100","Vomil 650 mg","Soft Capsule","Blister @ 10 kapsul lunak","Kapsul","Kp LU","Manufacture","Average Price","Real Time (automated)","Stockable Product",,,,0,"TRUE","FALSE"
