id,name,product_tmpl_id,product_uom,bom_line_ids/product_id,product_qty,yield,type,routing_id,bom_line_ids/product_uom,bom_line_ids/product_qty,bom_line_ids/component_type
bom_bionigell,Bio nigell,Bio nigell,Kp Lu,BGE002,200000,,Normal,Soft Capsule,kg,43,raw_material
,,,,BGE004,,,,,kg,43,raw_material
,,,,BGL002,,,,,kg,34,raw_material
,,,,BMP001,,,,,kg,0.128,raw_material
,,,,BPP001,,,,,kg,0.054,raw_material
bom_buahmerahrediss,Buah Merah Rediss,Buah Merah Rediss,Kp Lu,BGE002,200000,,Normal,Soft Capsule,kg,43,raw_material
,,,,BGE004,,,,,kg,43,raw_material
,,,,BGL002,,,,,kg,34,raw_material
,,,,BMP001,,,,,kg,0.128,raw_material
,,,,BMP001,,,,,kg,0.128,raw_material
,,,,BPP001,,,,,kg,0.054,raw_material
bom_buahmerahw600,Buah Merah W 600,Buah Merah W 600,Kp Lu,BGE002,100000,,Normal,Soft Capsule,kg,21.5,raw_material
,,,,BGE004,,,,,kg,21.5,raw_material
,,,,BGL002,,,,,kg,17,raw_material
,,,,BMP001,,,,,kg,0.064,raw_material
,,,,BPP001,,,,,kg,0.027,raw_material
bom_biocelle,Biocelle,Biocelle,Kp Lu,BGE002,200000,98.61,Normal,Soft Capsule,kg,33.786,raw_material
,,,,BGE004,,,,,kg,33.786,raw_material
,,,,BGL002,,,,,kg,26.714,raw_material
,,,,BMP001,,,,,kg,0.101,raw_material
,,,,BMP001,,,,,kg,0.101,raw_material
,,,,BPP001,,,,,kg,0.042,raw_material
bom_carniten,Carniten,Carniten,Kp Lu,BGE002,200000,,Normal,Soft Capsule,kg,43,raw_material
,,,,BGE004,,,,,kg,43,raw_material
,,,,BGL002,,,,,kg,34,raw_material
,,,,BMP001,,,,,kg,0.128,raw_material
,,,,BPP001,,,,,kg,0.054,raw_material
,,,,BEC002,,,,,kg,0.3,raw_material
,,,,BET002,,,,,g,240,raw_material
,,,,BTD001,,,,,kg,0.4,raw_material
bom_dbshabbazzaitun,DBS Habbazzaitun,DBS Habbazzaitun,Kp Lu,BGE002,220000,,Normal,Soft Capsule,kg,43,raw_material
,,,,BGE004,,,,,kg,43,raw_material
,,,,BGL002,,,,,kg,34,raw_material
,,,,BMP001,,,,,kg,0.129,raw_material
,,,,BPP001,,,,,kg,0.054,raw_material
,,,,BPL001,,,,,kg,0.008,raw_material
bom_fishoil1000mg,Fish Oil 1000 mg,Fish Oil 1000 mg,Kp Lu,BGE002,200000,,Normal,Soft Capsule,kg,43,raw_material
,,,,BGE004,,,,,kg,43,raw_material
,,,,BGL002,,,,,kg,34,raw_material
,,,,BMP001,,,,,kg,0.129,raw_material
,,,,BPP001,,,,,kg,0.054,raw_material
bom_oliveoil600mg,Olive Oil 600 mg,Olive Oil 600 mg,Kp Lu,BGE002,220000,,Normal,Soft Capsule,kg,43,raw_material
,,,,BGE004,,,,,kg,43,raw_material
,,,,BGL002,,,,,kg,34,raw_material
,,,,BMP001,,,,,kg,0.129,raw_material
,,,,BPP001,,,,,kg,0.054,raw_material
,,,,BTD001,,,,,kg,0.4,raw_material
bom_habbatussauda600mg,Habbatussauda 600 mg,Habbatussauda 600 mg,Kp Lu,BGE002,220000,,Normal,Soft Capsule,kg,43,raw_material
,,,,BGE004,,,,,kg,43,raw_material
,,,,BGL002,,,,,kg,34,raw_material
,,,,BMP001,,,,,kg,0.129,raw_material
,,,,BPP001,,,,,kg,0.054,raw_material
bom_inspiravitamine400iu,Inspira Vitamin E 400 IU,Inspira Vitamin E 400 IU,Kp Lu,BGE002,320000,,Normal,Soft Capsule,kg,43,raw_material
,,,,BGE004,,,,,kg,43,raw_material
,,,,BGL002,,,,,kg,34,raw_material
,,,,BMP001,,,,,kg,0.129,raw_material
,,,,BPP001,,,,,kg,0.054,raw_material
bom_isotretinoin10mg,Isotretinoin 10 mg,Isotretinoin 10 mg,Kp Lu,BGE002,200000,,Normal,Soft Capsule,kg,38.37,raw_material
,,,,BGE004,,,,,kg,38.37,raw_material
,,,,BGL002,,,,,kg,34,raw_material
,,,,BMP001,,,,,kg,0.115,raw_material
,,,,BPP001,,,,,kg,0.048,raw_material
,,,,BEC002,,,,,kg,0.268,raw_material
,,,,BET002,,,,,g,214.15,raw_material
,,,,BTD001,,,,,kg,0.357,raw_material
bom_lamata,Lamata,Lamata,Kp Lu,BGL002,100000,,Normal,Soft Capsule,kg,17,raw_material
,,,,BMP001,,,,,kg,0.064,raw_material
,,,,BPP001,,,,,kg,0.027,raw_material
,,,,ABE001,,,,,kg,6,raw_material
,,,,AVE002,,,,,kg,5,raw_material
,,,,ABC001,,,,,kg,0.3,raw_material
,,,,APH007,,,,,kg,0.7,raw_material
,,,,ALG001,,,,,kg,0.8,raw_material
,,,,ALH002,,,,,kg,0.8,raw_material
,,,,ATA001,,,,,kg,0.8,raw_material
,,,,BSO001,,,,,kg,35.6,raw_material
,,,,BGE002,,,,,kg,21.5,raw_material
,,,,BGE004,,,,,kg,21.5,raw_material
,,,,CBO012,,,,,Pcs,3333,kemas_primer
,,,,CTB017,,,,,Pcs,3333,kemas_primer
,,,,CSG001,,,,,kg,3,kemas_primer
,,,,LBK001,,,,,Pcs,3333,kemas_primer
,,,,CET073,,,,,Pcs,3390,kemas_sekunder
,,,,CIN080,,,,,Pcs,3334,kemas_sekunder
,,,,CSH020,,,,,Pcs,19,kemas_sekunder
,,,,LBK010,,,,,Pcs,68,kemas_sekunder
,,,,CPB001,,,,,Roll,1,kemas_sekunder
bom_mamavita400mgsoftcapsule,Mamavita 400 mg Soft Capsule,Mamavita 400 mg Soft Capsule,Kp Lu,BGE002,220000,100.6,Normal,Soft Capsule,kg,43,raw_material
,,,,BGE004,,,,,kg,43,raw_material
,,,,BGL002,,,,,kg,34,raw_material
,,,,BMP001,,,,,kg,0.129,raw_material
,,,,BPP001,,,,,kg,0.054,raw_material
,,,,BTD001,,,,,kg,0.4,raw_material
bom_naturanigelas700,Natura Nigela S 700,Natura Nigela S 700,Kp Lu,BGE002,220000,98.97,Normal,Soft Capsule,kg,43,raw_material
,,,,BGE004,,,,,kg,43,raw_material
,,,,BGL002,,,,,kg,34,raw_material
,,,,BMP001,,,,,kg,0.129,raw_material
,,,,BPP001,,,,,kg,0.054,raw_material
bom_naturaomegas650,Natura Omega S 650,Natura Omega S 650,Kp Lu,BGE002,220000,99.62,Normal,Soft Capsule,kg,43,raw_material
,,,,BGE004,,,,,kg,43,raw_material
,,,,BGL002,,,,,kg,34,raw_material
,,,,BMP001,,,,,kg,0.129,raw_material
,,,,BPP001,,,,,kg,0.054,raw_material
bom_purefishoil,Pure Fish Oil,Pure Fish Oil,Kp Lu,BGE002,220000,,Normal,Soft Capsule,kg,43,raw_material
,,,,BGE004,,,,,kg,43,raw_material
,,,,BGL002,,,,,kg,34,raw_material
,,,,BMP001,,,,,kg,0.129,raw_material
,,,,BPP001,,,,,kg,0.054,raw_material
bom_vitamina100.000iu,Vitamin A 100.000 IU,Vitamin A 100.000 IU,Kp Lu,BGE002,310000,,Normal,Soft Capsule,kg,43,raw_material
,,,,BGE004,,,,,kg,43,raw_material
,,,,BGL002,,,,,kg,34,raw_material
,,,,BPW001,,,,,Liter(s),76,raw_material
,,,,BMP001,,,,,kg,0.129,raw_material
,,,,BPP001,,,,,kg,0.54,raw_material
,,,,BEP001,,,,,kg,0.3,raw_material
,,,,BTD001,,,,,kg,0.1,raw_material
,,,,AVA001,,,,,kg,19.51,raw_material
,,,,BSO003,,,,,kg,65.74,raw_material
,,,,CBO029,,,,,Pcs,6200,kemas_primer
,,,,CTB012,,,,,Pcs,6200,kemas_primer
,,,,CSG001,,,,,kg,6,kemas_primer
,,,,LBK001,,,,,Pcs,6200,kemas_primer
,,,,CET108,,,,,Pcs,6201,kemas_sekunder
,,,,CBR098,,,,,Pcs,6201,kemas_sekunder
,,,,LBK016,,,,,Pcs,62,kemas_sekunder
,,,,CSH020,,,,,Pcs,21,kemas_sekunder
,,,,LBK010,,,,,Pcs,63,kemas_sekunder
,,,,CCT001,,,,,Roll,3,kemas_sekunder
,,,,CPB001,,,,,Roll,1,kemas_sekunder
bom_vitamina200.000iu,Vitamin A 200.000 IU,Vitamin A 200.000 IU,Kp Lu,BGE002,320000,99.44,Normal,Soft Capsule,kg,43,raw_material
,,,,BGE004,,,,,kg,43,raw_material
,,,,BGL002,,,,,kg,34,raw_material
,,,,BPW001,,,,,Liter(s),76,raw_material
,,,,BMP001,,,,,kg,0.129,raw_material
,,,,BPP001,,,,,kg,0.54,raw_material
,,,,BET002,,,,,g,240,raw_material
,,,,BEC002,,,,,kg,0.3,raw_material
,,,,BTD001,,,,,kg,0.4,raw_material
