name,type,capacity,departement,location,,,,
Handryer Auto,,,Produksi Betalaktam,Personal Entry,,,,
Mesin Polishing Medicine,,,Produksi Betalaktam,Ruang Alat Bersih,,,,
Mesin Polishing Jetly,,,Produksi Betalaktam,Ruang Alat Bersih,,,,
Mol Stripping,,,Produksi Betalaktam,Ruang Alat Bersih,,,,
Mortir,,,Produksi Betalaktam,Ruang Alat Bersih,,,,
Vacum Cleaner Alto,,,Produksi Betalaktam,Ruang Alat Bersih,,,,
Mesin Staging,,,Produksi Betalaktam,Ruang Cetak Tablet 1 PBL-06,,,,
Mesin Cetak Tablet JCMCO,,,Produksi Betalaktam,Ruang Cetak Tablet 1 PBL-06,,,,
Mesin Tablet,GYLONG1,,Produksi Betalaktam,Ruang Cetak Tablet 2 PBL-05,,,,
Mesin Cuci Electrolux,,6 Kg,Produksi Betalaktam,Ruang Cuci Alat,,,,
Mesin Pengering Royal,,,Produksi Betalaktam,Ruang Cuci Alat,,,,
Mesin Filling Capsule Chin Yi,,,Produksi Betalaktam,Ruang Filling Capsule PBL-04,,,,
Mesin Capping Jie Cheng,,,Produksi Betalaktam,Ruang Filling dan Capping Dry Syrup PBL 13,,,,
Mesin Capping Manual Jie Cheng,,,Produksi Betalaktam,Ruang Filling dan Capping Dry Syrup PBL 13,,,,
Mesin Capping Manual Jie Cheng,,,Produksi Betalaktam,Ruang Filling dan Capping Dry Syrup PBL 13,,,,
Mesin Filling AMS,,,Produksi Betalaktam,Ruang Filling dan Capping Dry Syrup PBL 13,,,,
Timbangan Kern,,,Produksi Betalaktam,Ruang Filling dan Capping Dry Syrup PBL 13,,,,
Alat Cek Kekerasan Tablet,,,Produksi Betalaktam,Ruang IPC PBL-07,,,,
Desi Catur Mika,,,Produksi Betalaktam,Ruang IPC PBL-07,,,,
Frin Bility Tester,,,Produksi Betalaktam,Ruang IPC PBL-07,,,,
Printer timbangan Mettler Toledo,,,Produksi Betalaktam,Ruang IPC PBL-07,,,,
