"id","name","year","forecast_detail_ids/product_id","forecast_detail_ids/product_uom","forecast_detail_ids/m1","forecast_detail_ids/m2","forecast_detail_ids/m3","forecast_detail_ids/m4","forecast_detail_ids/m5","forecast_detail_ids/m6","forecast_detail_ids/m7","forecast_detail_ids/m8","forecast_detail_ids/m9","forecast_detail_ids/m10","forecast_detail_ids/m11","forecast_detail_ids/m12"
"forecast_2015",2015,2015,"Amoxicillin 250 mg Strip 10","Box 100 Kpsul",,,,,,,,,,,,
,,,"Amoxicillin 250 mg Strip 12","Box 120 Kpsul",,,,,,,,,,,,
,,,"Amoxicillin DS 125 mg 60 ml","Botol",,,,,,,,,,,,
,,,"Ampicillin 250 mg Pot 100","Pot 100 Kpsul",,,,,,,,,,,,
,,,"Ampicillin 500 mg Pot 500","Pot 500 Kpsul",,,,,,,,,,,,
,,,"Ampicillin 250 mg Strip","Box 100 Kpsul",,,,,,,,,,,,
,,,"Ampicillin DS 125mg 60 ml (PD)","Botol",,,,,,,,,,,,
,,,"Ampicillin DS 125mg 60 ml (TD)","Botol",,,,,,,,,,,,
,,,"Camicillin 250 mg Blister","Box 100 Kpsul",,,,,,,,,,,,
,,,"Camicillin 250 mg Pot 1000","Pot 1000 Kpsul",,,,,,,,,,,,
,,,"Camicillin 250 mg Strip","Box 100 Kpsul",,,,,,,,,,,,
,,,"Camicillin 500 mg Blister","Box 100 Kpsul",,,,,,,,,,,,
,,,"Camicillin 500 mg Pot 1000","Pot 1000 Kpsul",,,,,,,,,,,,
,,,"Camicillin 500 mg Strip","Box 100 Kpsul",,,,,,,,,,,,
,,,"Camillin 500 mg Blister Export","Box 100 Kpsul",,,,,,,,,,,,
,,,"Camillin DS 125","Botol",,,,,,,,,,,,
,,,"Camillin DS 250","Botol",,,,,,,,,,,,
,,,"Camoksil 250 mg Blister","Box 100 Kpsul",,,,,,,,,,,,
,,,"Camoksil 250 mg Strip","Box 100 Kpsul",,,,,,,,,,,,
,,,"Camoksil 500 mg Blister Export","Box 100 Kpsul",,,,,,,,,,,,
,,,"Camoksil 500 mg Strip","Box 100 Kplet",,,,,,,,,,,,
,,,"Camoksil 500 mg","Box 100 Kpsul",,,,,,,,,,,,
,,,"Camoksil DS 125 mg","Botol",,,,,,,,,,,,
,,,"Camoksil DS 250 mg","Botol",,,,,,,,,,,,
,,,"Pacillin DS","Botol",,,,,,,,,,,,
,,,"Pacimox DS","Botol",,,,,,,,,,,,
,,,"Camitrosin DS 60 ml","Botol",,,,,,,,,,,,
,,,"Doxycycline DS 20 ml","Botol",,,,,,,,,,,,
,,,"Erythromycin DS 60 ml","Botol",,,,,,,,,,,,
,,,"Tetracycline DS 125 60 ml","Botol",,,,,,,,,,,,
,,,"Aminophylline  10 ml @ 50","Box 50 Ampul",,,,,,,,,,,,
,,,"Aminophylline  10 ml @ 30","Box 30 Ampul",,,,,,,,,,,,
,,,"Antalgin 250 mg 10 ml","Box 10 Vial",,,,,,,,,,,,
,,,"Antalgin 500 mg 10 ml","Box 10 Vial",,,,,,,,,,,,
,,,"Antalgin 250 mg/ml 2 ml @ 30","Box 30 Ampul",,,,,,,,,,,,
,,,"Antalgin 500 mg/ml 1 ml @ 100","Box 100 Ampul",,,,,,,,,,,,
,,,"Aqua pro injection 2 ml","Ampul",,,,,,,,,,,,
,,,"Aqua pro injection 4 ml","Ampul",,,,,,,,,,,,
,,,"Aqua pro injection 5 ml","Ampul",,,,,,,,,,,,
,,,"Aqua pro injection 10 ml","Ampul",,,,,,,,,,,,
,,,"Aquabidestillata 20 ml","Shrink 10 Vial",,,,,,,,,,,,
,,,"Aquabidestillata 100 ml","Vial",,,,,,,,,,,,
,,,"Calcii chlorid  10 ml Ampul","Box 50 Ampul",,,,,,,,,,,,
,,,"Calcii chlorid 10 ml Vial","Box 10 Vial",,,,,,,,,,,,
,,,"Camidexon 5 mg/ml 1 ml Ampul","Box 100 Ampul",,,,,,,,,,,,
,,,"Camidexon 5 mg/ml 10 ml Vial","Box 10 Vial",,,,,,,,,,,,
,,,"Camidon 15 ml","Box 10 Vial",,,,,,,,,,,,
,,,"Camidon 10 ml","Box 10 Vial",,,,,,,,,,,,
,,,"Camidryl 10 mg/ml 15 ml","Box 10 Vial",,,,,,,,,,,,
,,,"Camidryl 10 mg/ml 1 ml","Box 100 Ampul",,,,,,,,,,,,
,,,"Camidryl 10 mg/ml 10 ml","Box 10 Vial",,,,,,,,,,,,
,,,"Camigesik 50 mg/ml 2 ml","Box 10 Ampul",,,,,,,,,,,,
,,,"Chlorpromazine 5 mg/ml 2 ml","Box 10 Ampul",,,,,,,,,,,,
,,,"Chlorpromazine 25 mg/ml 1 ml","Box 10 Ampul",,,,,,,,,,,,
,,,"Cholimed 125 mg/ml 2 ml","Box 5 Ampul",,,,,,,,,,,,
,,,"Cortison Acetate 25 mg/ml 10ml","Box 10 Vial",,,,,,,,,,,,
,,,"Dexamethasone 5 mg/ml 1 ml","Box 100 Ampul",,,,,,,,,,,,
,,,"Diphenhydramine 10 mg/ml 1 ml","Box 100 Ampul",,,,,,,,,,,,
,,,"Dobutamine 25 mg/ml 10 ml","Box 1 Vial",,,,,,,,,,,,
,,,"Glojaya 20 mg/ml 10 ml","Vial",,,,,,,,,,,,
,,,"Glojaya 2 mg/ml 100 ml","Vial",,,,,,,,,,,,
,,,"Glomethyl 0,2 mg/ml 1 ml","Box 30 Ampul",,,,,,,,,,,,
,,,"Glomin 40 mg/ml 5 ml","Box 5 Ampul",,,,,,,,,,,,
,,,"Glosix 10 mg/ml 2 ml","Box 5 Ampul",,,,,,,,,,,,
,,,"Glotron 2 ml","Box 5 Ampul",,,,,,,,,,,,
,,,"Glotron 4 ml","Box 5 Ampul",,,,,,,,,,,,
,,,"Lidocain compositum 2 ml","Box 100 Ampul",,,,,,,,,,,,
,,,"Lidocain HCl 2% 2 ml","Box 100 Ampul",,,,,,,,,,,,
,,,"Lidocaine 2% 2 ml","Box 100 Ampul",,,,,,,,,,,,
,,,"Lunex 50 mg/ml 5 ml","Box 10 Ampul",,,,,,,,,,,,
,,,"Lunex 100mg/ml 5 ml","Box 10 Ampul",,,,,,,,,,,,
,,,"Lusitren 20 mg/ml 5 ml","Box 5 Ampul",,,,,,,,,,,,
