name,code,street,city,phone,npwp,mobile,fax,email,no_rek,is_company,supplier
AA ALUMUNIUM,SUPP001,Jl. Kiara condong No. 421 Bandung,,022-7308986,,,022-70667887,,,TRUE,TRUE
ABADI RAYA,SUPP002,Melong Asih No. 24B Depan perum Pharmindo Cijerah Bandung,,022-6037350,,,022-6046889,,,TRUE,TRUE
"ABADINUSA USAHASEMESTA, PT",SUPP003,Jl. Surabaya No. 54,,,,,,,,TRUE,TRUE
"ACE HARDWARE INDONESIA, PT",SUPP004,Jl. Puri Kencana No. 1,,,,,,,,TRUE,TRUE
"ACE HARDWARE INDONESIA, PT.",SUPP004 HKI,Jl. Puri Kencana No. 1,,,,,,,,TRUE,TRUE
AFAT BEARING,SUPP005,Ps. Cikapundung baru Blok H6-H7-H9 Bandung,,022-4236236,,,,,,TRUE,TRUE
"AGAPE TRIKARSA LIBRATAMA, PT",SUPP006,Puri Anjasmoro H 5/6 Tawang Sari,,,01.496.894.5-511.000,,,,,TRUE,TRUE
"AGENG SEMESTA TRISULA ABADI, PT",SUPP007,Mutiara Taman Palem Blok C19 No. 35 Jakarta Barat,,021-54357037,01.930.393.2-085.000,,021-36501975,,,TRUE,TRUE
AGUNG TEKNIK,SUPP008,Ps. Cikapundung,,,,,,,,TRUE,TRUE
"ALAM SUBUR TIRTA KENCANA, PT",SUPP009,Jl. Daan Mogot Km. 12 Jakarta,,021-6192265,,,021-6190443,,,TRUE,TRUE
"ALAS MULIA, PT",SUPP010,Jl. Otista No. 357 Bandung,,022-4208123,,,022-4232890,,,TRUE,TRUE
ALFA GALUH PERKASA,SUPP011,Jl. Leuwipanjang Rukunsari No. 6,,022-5222737,,,,,,TRUE,TRUE
"ALMEGA SEJAHTERA, PT",SUPP012,Jl. Lengkong Besar No. 55 Bandung,,022-4200282,01.612.112.1-046.000,,022-6125412/15,,,TRUE,TRUE
"ALMEGA SEJAHTERA, PT",SUPP012 USD,Jl. Abdurrahman Saleh No. 9,Bandung,,,,,,,TRUE,TRUE
"ALTINEX, PT",SUPP013,Jl. Gempol Wetan no.125 Bandung,,022-4206848/7811363,01.257.406.7-441.000,,022-4236685,,,TRUE,TRUE
AMSAL PERKASA,SUPP014,TKI Blok A2 No.98,,,,,,,,TRUE,TRUE
"ANCOL TERANG, PT",SUPP015,Jl. Ancol IX no.7 Jakarta,,021-6900186/6911710-1,,,021-6907569,,,TRUE,TRUE
ANEKA ENGGINER,SUPP016,Psr. Cikapudnugn Baru Lt. 2 Blok U 11-12 Bandung,,022-4207638/92116247,,,022-4210265,,,TRUE,TRUE
"ANEKA PLASTIKINDO, PT",SUPP017,GG.SUNIARAJA NO. 2/13 RT/RW 002/002 BRAGA SUMUR Bandung,,022-4201124,31.241.030.1-423.000,,022-4201124,,,TRUE,TRUE
ANGKUTAN WIBOWO,SUPP018,Bandung,,022-7322482,,,,,,TRUE,TRUE
"ANISYA HAMSIR, CV",SUPP019,Jl. Margakencana Tengah No. 44,,,,,,,,TRUE,TRUE
"ANRES JOINT TECHNOLOGI, PT",SUPP020,Rukan Cempaka Mas Blok O No. 8 Jl. Letjen Suprapto Jakarta Pusat 10640,,021-4242744/4242547,02.361.277.3-027.000,,021-4242735,,,TRUE,TRUE
ANUGERAH ABADI,SUPP021,Psr. Cikapundung Bandung,,022-4218250,,,,,,TRUE,TRUE
ANUGERAH ELEKTRIK,SUPP022,Cikapundung Lt. I Blok EE 16-35 Bandung,,022-84460588-89,,,,,,TRUE,TRUE
ANUGERAH KAYU,SUPP023,Taman Kopo 2 Kav Industri No. 7,,022-5426757,,,022-5424007,,,TRUE,TRUE
"ANUGERAH MANUNGGAL ABADI, PT",SUPP024,"Jl. Daan Mogot Km.19,6",,,,,,,,TRUE,TRUE
"ANUGERAH MENTARI DISTRINDO, PT",SUPP025 USD,Jl. Daan Mogot Kav. 100 Jakarta,,021-5681248,02.881.121.4-036.000,,021-56952189,,,TRUE,TRUE
"ANUGERAH PHARMINDO LESTARI, PT",SUPP026,Jakarta,,,,,,,,TRUE,TRUE
"ANUGRAH ABADI, CV",SUPP027,Jl. Terusan Kiaracondong No. 164 Bandung,,022-604717,,,022-6038342,,,TRUE,TRUE
ANUGRAH KACA,SUPP028,Jl. Pasirluyu Selatan No. 27 Bandung,,022-5212123/24,,,022-5223088,,,TRUE,TRUE
"SOLAS LANGGENG SEJAHTERA, PT",SUPP029,Jl. Industri  No. 18 Cimareme,,,,,,,,TRUE,TRUE
"ANUGRAH MITRA DISTRINDO, PT",SUPP030,Jl. Raya Pondok Kelapa Blok G 17,,,,,,,,TRUE,TRUE
"ANUGRAH PRATAMA, CV",SUPP031,Pondok Ungu Permai Blok. A6 No. 14,,,,,,,,TRUE,TRUE
"ARITA PRIMA INDONESIA, PT",SUPP032,Buahbatu Commercial Area No. 1,,,,,,,,TRUE,TRUE
"ARTHA KHARISMA, CV",SUPP033,Jl. Raya Sapan No. 15 RT. 001/001 Bandung,,022-7562925/26/27,02.735.178.2-444.000,,022-7561520,,,TRUE,TRUE
"ASAHI AGUNG ABADI, CV",SUPP034,,,,21.077.546.6-445.000,,,,,TRUE,TRUE
"BESTINDO PUTRA MANDIRI, PT",SUPP035,Jl. Soekarno-Hatta No. 503A Bandung,Bandung,,,,,,,TRUE,TRUE
"ASIA AFRIKA PLASTIK, PT",SUPP036,Jl.Laks M.U Nurtanio 91-93,,,,,,,,TRUE,TRUE
"ASTRA INTERNASIONAL Tbk., PT",SUPP037,Jl. Gaya Motor raya No. 8,,,01.302.584.6-092.000,,,,,TRUE,TRUE
"ATLAS COPCO INDONESIA, PT",SUPP038,Jl. Soekarno-Hatta Kav. 550 Bandung,,022-7563044/7563058,,,022-7564181,,,TRUE,TRUE
"ATRINDO ASIA GLOBAL, PT",SUPP039,Jl. Riung Karya Juang No.16 Bandung,,022-70401948,01.885.406.7-013.000,,022-7562910,,,TRUE,TRUE
"AVESTA CONTINENTAL PACK, PT",SUPP040,"Jl. Raya Bekasi Km 28, 5 Bekasi",,022-6071715/021-88400,01.131.635.3-431.000,,022-5204458,,,TRUE,TRUE
"BAGJA ENGINEERING, CV.",SUPP041,Jl. Lahan Jati Blok H No. 11 Bandung,,022-7835720,,,022-7832876,,,TRUE,TRUE
"BAGJA ENGINEERING, CV.",SUPP041 HKI,Jl. Lahan Jati Blok H No. 11 Bandung,,,,,,,,TRUE,TRUE
"BAGUS JAYA TEKNIK, CV",SUPP042,,,,,,,,,TRUE,TRUE
"BAHTERA ADIJAYA, PT",SUPP043,Jl. Pangeran Jayakarta No. 123 Jakarta,,021-6262846,01.961.037.7-511.000,,021-6266978,,,TRUE,TRUE
BALAI BESAR BAHAN & BARANG TEK,SUPP044,Jl. Sangkuriang No. 14,,,,,,,,TRUE,TRUE
Bandung DIESEL,SUPP045,Jl. Soekarno-Hatta No.559-563 Sekelimus,,,,,,,,TRUE,TRUE
Bandung ELECTRIC,SUPP046,Cikapundung Electronic,,,,,,,,TRUE,TRUE
"BANGUN JASA TRANS, CV",SUPP047,Perum Nirwana Estate Blok JJ No. 3,,,,,,,,TRUE,TRUE
