"id","default_code","Name","seller_ids/name","uom_id","uom_po_id","categ_id","list_price","route_ids","cost_method","valuation","type","purchase_ok","active","sale_ok"
"bahan_baku_kemas_100","CAM0010100","Ampul 10 ml Clear Blue C/B","Schott Igar Glass","Pcs","Pcs","Bahan Baku Kemas",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_110","CAM0020100","Ampul Amber 1 ml, white C/B","Schott Igar Glass","Pcs","Pcs","Bahan Baku Kemas",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_120","CAM0030100","Ampul Amber 2 ml, white C/B","Schott Igar Glass","Pcs","Pcs","Bahan Baku Kemas",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_130","CAM0040100","Ampul Clear 1 ml white C/B ","Schott Igar Glass","Pcs","Pcs","Bahan Baku Kemas",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_140","CAM0040200","Ampul Clear 1 ml white C/B ","Gerresheimer P.","Pcs","Pcs","Bahan Baku Kemas",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_150","CAM0050100","Ampul Clear 10 ml, white C/B ","Schott Igar Glass","Pcs","Pcs","Bahan Baku Kemas",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_160","CAM0060100","Ampul Clear 15 ml, white C/B ","Schott Igar Glass","Pcs","Pcs","Bahan Baku Kemas",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_170","CAM0070100","Ampul Clear 2 ml, white C/B  ","Schott Igar Glass","Pcs","Pcs","Bahan Baku Kemas",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_180","CAM0070200","Ampul Clear 2 ml, white C/B  ","Gerresheimer P.","Pcs","Pcs","Bahan Baku Kemas",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_190","CAM0080100","Ampul Clear 20 ml, A 202210081","Schott Igar Glass","Pcs","Pcs","Bahan Baku Kemas",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_200","CAM0090100","Ampul Clear 5 ml, white C/B ","Schott Igar Glass","Pcs","Pcs","Bahan Baku Kemas",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_210","CBA0010100","B. Allufoil  125 mm x 500 m","Avesta C. Pack","Roll","Roll","Bahan Baku Kemas",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_220","CBA0020100","B. Allufoil 260 mm x 500 m","Avesta C. Pack","Roll","Roll","Bahan Baku Kemas",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_230","CBA0030100","B. Allufoil 264 mm x 500 m","Avesta C. Pack","Roll","Roll","Bahan Baku Kemas",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_240","CBA0040100","B. Allufoil Fluza 260 mm x 500 m","Avesta C. Pack","Roll","Roll","Bahan Baku Kemas",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_250","CBA0050100","B. Alufoil Glomasin 140 mm x 500 m","Avesta C. Pack","Roll","Roll","Bahan Baku Kemas",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_260","CBA0060100","B. Allufoil Kosaka 264 mm x 500 m","Avesta C. Pack","Roll","Roll","Bahan Baku Kemas",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
"bahan_baku_kemas_270","CBO0010100","Btl  BP-10 @ 1000 Kapsul","Multi Hasta Mas","Pcs","Pcs","Bahan Baku Kemas",0,"Buy","Average Price","Real Time (automated)","Stockable Product","TRUE","TRUE","FALSE"
