Internal Reference,Name,categ_id,description_sale,unit of measure,uom_po_id,route_ids,Costing Method,Inventory Valuation,Product Type,standard_price,income coa,expense coa,list_price,sale_ok,purchase_ok
DJB0010200,Balcitin 1 % 5 g,Lain-Lain 2 (Pembelian Produk Jadi),"Dus, tube @ 5 g ",Tube,Tube,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DJB0020200,"Betametason 0,1% 5 g",Lain-Lain 2 (Pembelian Produk Jadi),"Dus, 25 tube @ 5 g ",Tube,Tube,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DJF0010200,Fluza Effervescent,Lain-Lain 2 (Pembelian Produk Jadi),"Tube, 10 tabelt",Tube,Tube,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DJG0010200,Galium 10 mg Strip,Lain-Lain 2 (Pembelian Produk Jadi),"Dus, 5 strip @ 10 tablet ",Box,Box,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DJG0020200,Galium 5 mg Strip,Lain-Lain 2 (Pembelian Produk Jadi),"Dus, 5 strip @ 10 tablet ",Box,Box,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DJG0030200,Glodin 5 mg Strip,Lain-Lain 2 (Pembelian Produk Jadi),"Dus, 3 strip @ 10 tablet ",Box,Box,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DJG0040200,Glomeson 4 mg Strip,Lain-Lain 2 (Pembelian Produk Jadi),"Dus, 5 strip @ 10 tablet ",Box,Box,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DJG0050200,Glomeson 8 mg Strip,Lain-Lain 2 (Pembelian Produk Jadi),"Dus, 5 strip @ 10 tablet ",Box,Box,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DJG0060200,Glomeson 16 mg Strip,Lain-Lain 2 (Pembelian Produk Jadi),"Dus, 5 strip @ 10 tablet ",Box,Box,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DJI0010200,Iglodep 50 mg Strip,Lain-Lain 2 (Pembelian Produk Jadi),Dus 3 strip @ 10 tablet,Box,Box,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DJL0010200,Lutrotam 800 mg Strip,Lain-Lain 2 (Pembelian Produk Jadi),"Dus, 5 strip @ 10 kaptab ",Box 50 Kptab,Kptab,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DJM0010200,Methylergometrin Pot 100,Lain-Lain 2 (Pembelian Produk Jadi),Botol plastik @ 100 tablet ,Pot 100 Table,Table,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DJM0020200,Myoman 50 mg Strip,Lain-Lain 2 (Pembelian Produk Jadi),"Dus, 3 strip @ 10 tablet ",Box,Box,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DJP0010200,Paxicam 15 mg Strip,Lain-Lain 2 (Pembelian Produk Jadi),"Dus, 3 strip @ 10 tablet ",Box 30 Table,Table,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DJP0020200,Paxicam 7.5 mg Strip,Lain-Lain 2 (Pembelian Produk Jadi),"Dus, 3 strip @ 10 tablet ",Box 30 Table,Table,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DJP0030200,Phenoxymethyl-penicillin 250mg,Lain-Lain 2 (Pembelian Produk Jadi),Botol plastik @ 100 tablet ,Pot 100 Table,Table,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DJP0040200,Phenoxymethylpenicillin 500mg ,Lain-Lain 2 (Pembelian Produk Jadi),Botol plastik @ 100 tablet ,Pot 100 Table,Table,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DJT0010200,Trenxy  400 mg Strip,Lain-Lain 2 (Pembelian Produk Jadi),"Dus, 3 strip @ 10 kaptab ",Box 30 Table,Kptab,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DJV0010200,Vitamin A 50.000 IU Pot 1000,Lain-Lain 2 (Pembelian Produk Jadi),Botol plastik 1000 tablet ,Pot 100 Table,Table,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
DJP0050200,Paclulic 10 mg,Lain-Lain 2 (Pembelian Produk Jadi),"Dus, 3 strip @ 10 tablet ",Box,Box,Manufacture,Average Price,Real Time (automated),Stockable Product,,,,0,TRUE,FALSE
