"id","routing_id","sequence","name","cycle_nbr","hour_nbr","workcenter_id"
"wc_line_100","Syrup Tanpa Dus",5,"Cuci Botol",1,1,"Cuci Botol"
"wc_line_110","Syrup Tanpa Dus",10,"Oven Botol",1,1,"Oven"
"wc_line_120","Syrup Tanpa Dus",20,"Penimbangan",1,1,"Scale"
"wc_line_130","Syrup Tanpa Dus",20,"Kemas Primer/Bilas",1,1,"Mesin Bilas"
"wc_line_140","Syrup Tanpa Dus",20,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_150","Syrup Tanpa Dus",20,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_160","Syrup Tanpa Dus",30,"Mixing",1,1,"Mixer"
"wc_line_170","Syrup Tanpa Dus",30,"Kemas Primer/Pengeringan",1,1,"Mesin Pengeringan"
"wc_line_180","Syrup Tanpa Dus",40,"QC",1,1,"QC"
"wc_line_190","Syrup Tanpa Dus",50,"Filling",1,1,"Mesin Filling"
"wc_line_200","Syrup Tanpa Dus",60,"Sortir Visual",1,1,"Visual"
"wc_line_210","Syrup Tanpa Dus",70,"Codding",1,1,"Codding"
"wc_line_220","Syrup Tanpa Dus",80,"Labelling",1,1,"Labelling"
"wc_line_230","Syrup Tanpa Dus",90,"Packing (Folding Box)",1,1,"Packing F.Box"
"wc_line_240","Syrup Tanpa Dus",100,"Packing (Master Box)",1,1,"Packing M.Box"
"wc_line_250","Syrup Dengan Dus",5,"Cuci Botol",1,1,"Cuci Botol"
"wc_line_260","Syrup Dengan Dus",10,"Oven Botol",1,1,"Oven"
"wc_line_270","Syrup Dengan Dus",20,"Penimbangan",1,1,"Scale"
"wc_line_280","Syrup Dengan Dus",20,"Kemas Primer/Bilas",1,1,"Mesin Bilas"
"wc_line_290","Syrup Dengan Dus",20,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_300","Syrup Dengan Dus",20,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_310","Syrup Dengan Dus",30,"Mixing",1,1,"Mixer"
"wc_line_320","Syrup Dengan Dus",30,"Kemas Primer/Pengeringan",1,1,"Mesin Pengeringan"
"wc_line_330","Syrup Dengan Dus",40,"QC",1,1,"QC"
"wc_line_340","Syrup Dengan Dus",50,"Filling",1,1,"Mesin Filling"
"wc_line_350","Syrup Dengan Dus",60,"Sortir Visual",1,1,"Visual"
"wc_line_360","Syrup Dengan Dus",70,"Codding",1,1,"Codding"
"wc_line_320","Syrup Dengan Dus",80,"Labelling",1,1,"Labelling"
"wc_line_330","Syrup Dengan Dus",90,"Packing (Folding Box)",1,1,"Packing F.Box"
"wc_line_340","Syrup Dengan Dus",100,"Packing (Master Box)",1,1,"Packing M.Box"
"wc_line_350","Suspensi Tanpa Dus",5,"Pengeringan",1,1,"Oven"
"wc_line_360","Suspensi Tanpa Dus",10,"Penimbangan",1,1,"Scale"
"wc_line_370","Suspensi Tanpa Dus",10,"Kemas Primer/Bilas",1,1,"Mesin Bilas"
"wc_line_380","Suspensi Tanpa Dus",10,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_390","Suspensi Tanpa Dus",10,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_400","Suspensi Tanpa Dus",20,"Mixing",1,1,"Mixer"
"wc_line_410","Suspensi Tanpa Dus",20,"Kemas Primer/Pengeringan",1,1,"Mesin Pengeringan"
"wc_line_420","Suspensi Tanpa Dus",30,"QC",1,1,"QC"
"wc_line_430","Suspensi Tanpa Dus",40,"Filling",1,1,"Mesin Filling"
"wc_line_440","Suspensi Tanpa Dus",50,"Visual",1,1,"Visual"
"wc_line_450","Suspensi Tanpa Dus",60,"Labelling",1,1,"Labelling"
"wc_line_460","Suspensi Tanpa Dus",70,"Packing (Master Box)",1,1,"Packing"
"wc_line_470","Suspensi Pakai Dus",5,"Pengeringan",1,1,"Oven"
"wc_line_480","Suspensi Pakai Dus",10,"Penimbangan",1,1,"Scale"
"wc_line_490","Suspensi Pakai Dus",10,"Kemas Primer/Bilas",1,1,"Mesin Bilas"
"wc_line_500","Suspensi Pakai Dus",10,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_510","Suspensi Pakai Dus",10,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_520","Suspensi Pakai Dus",20,"Mixing",1,1,"Mixer"
"wc_line_530","Suspensi Pakai Dus",20,"Kemas Primer/Pengeringan",1,1,"Mesin Pengeringan"
"wc_line_540","Suspensi Pakai Dus",30,"QC",1,1,"QC"
"wc_line_550","Suspensi Pakai Dus",40,"Filling",1,1,"Mesin Filling"
"wc_line_560","Suspensi Pakai Dus",50,"Visual",1,1,"Visual"
"wc_line_570","Suspensi Pakai Dus",60,"Labelling",1,1,"Labelling"
"wc_line_580","Suspensi Pakai Dus",70,"Packing (Folding Box)",1,1,"Packing F.Box"
"wc_line_590","Suspensi Pakai Dus",80,"Packing (Master Box)",1,1,"Packing M.Box"
"wc_line_600","Soft Capsule",5,"Cuci Botol",1,1,"Cuci Botol"
"wc_line_610","Soft Capsule",10,"Oven Botol",1,1,"Oven"
"wc_line_620","Soft Capsule",20,"Penimbangan",1,1,"Scale"
"wc_line_630","Soft Capsule",20,"Kemas Primer/Bilas",1,1,"Mesin Bilas"
"wc_line_640","Soft Capsule",20,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_650","Soft Capsule",20,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_660","Soft Capsule",30,"Melting",1,1,"Melting"
"wc_line_670","Soft Capsule",30,"Kemas Primer/Pengeringan",1,1,"Oven"
"wc_line_680","Soft Capsule",40,"Mixing",1,1,"Mixer"
"wc_line_690","Soft Capsule",50,"Filling",1,1,"Mesin Filling"
