"id","default_code","name","seller_ids/product_name","seller_ids/name","uom_id","uom_po_id","categ_id","list_price","route_ids","cost_method","valuation","type","purchase_ok","active","sale_ok","is_header"
"bahan_baku_100","AAA0010101","Aminophylline Anhydrous, Shandong Xinhua Phar","Aminophylline Anhydrous","Shandong Xinhua Phar","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_110","AAA0010201","Aminophylline Anhydrous, Jilin Shulan Syth P.","Aminophylline Anhydrous","Jilin Shulan Syth P.","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_120","AAA0010301","Aminophylline Anhydrous, CSPC Innovation Phar","Aminophylline Anhydrous","CSPC Innovation Phar","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_130","AAA0020101","Ascorbic Acid Uncoated, CSPC Weisheng Phar","Ascorbic Acid Uncoated","CSPC Weisheng Phar","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_140","AAA0030101","Ascorbic Acid Coated, CSPC Weisheng Phar","Ascorbic Acid Coated-97","CSPC Weisheng Phar","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_150","AAC0010101","Acetaminophen, Hengshui Jiheng Phar","Paracetamol","Hengshui Jiheng Phar","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_160","AAC0010201","Acetaminophen, Hebei Jiheng Phar","Paracetamol","Hebei Jiheng Phar","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_170","AAC0020101","Ammonium Chloride, Daixi Chem","Ammonium Chloride","Daixi Chem","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_180","AAC0020201","Ammonium Chloride, Hanwha Chemical Corp","Ammonium Chloride","Hanwha Chemical Corp","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_190","AAH0010101","Alluminum Hydroxide Gel Dried, Taurus Chemical (p)","Dried Alluminum Hydroxide gel","Taurus Chemical (p)","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_200","AAH0010201","Alluminum Hydroxide Gel Dried, iL-Yang Pharma","Dried Alluminum Hydroxide gel","iL-Yang Pharma","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_210","AAH0010301","Alluminum Hydroxide Gel Dried, Tomita Pharmaceutic","Dried Alluminum Hydroxide gel","Tomita Pharmaceutic","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_220","AAM0010101","Amidopyrine, Shandong Xinhua Phar","Amidopyrine","Shandong Xinhua Phar","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_230","AAT0010101","Amoxicillin Trihydrat Compact, Zhuhai United Lab.","Amoxicillin Trihydrat Compacted","Zhuhai United Lab.","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_240","AAT0010201","Amoxicillin Trihydrat Compact, DSM Sinochem Phar","Amoxicillin Trihydrat Compacted","DSM Sinochem Phar","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
