"id","bom_id","workcenter_operation_id","machine_id","is_parallel","workcenter_id","machine_hour"
"bom_machine_hour_100","Camoksil 250 mg Strip","Oven Botol",,,,
"bom_machine_hour_110","Camoksil 250 mg Strip","Penimbangan","Timbangan Mettler Toledo",,,30
"bom_machine_hour_120","Camoksil 250 mg Strip","Penimbangan","Printer Timbangan Mettler Toledo",,,30
"bom_machine_hour_130","Camoksil 250 mg Strip","Penimbangan","Timbangan Kern",,,30
"bom_machine_hour_140","Camoksil 250 mg Strip","Mixing","Mesin Super Mixer",,,60
"bom_machine_hour_150","Camoksil 250 mg Strip","Filling","Mesin Cetak Tablet JCMCO",,,420
"bom_machine_hour_160","Camoksil 250 mg Strip","Filling","Mesin Filling Capsule Chin Yi",,,
"bom_machine_hour_170","Camoksil 250 mg Strip","Filling","Mesin Filling AMS",,,
"bom_machine_hour_180","Camoksil 250 mg Strip","Filling","Mesin Capping Jie Cheng",,,
"bom_machine_hour_190","Camoksil 250 mg Strip","Codding","Mesin Codding Kapsul Alpha Jet",,,60
"bom_machine_hour_200","Camoksil 250 mg Strip","Labelling","Mesin Etiket Chyun Jye",,,
"bom_machine_hour_210","Camoksil 500 mg Strip","Pengeringan",,,,
"bom_machine_hour_220","Camoksil 500 mg Strip","Penimbangan","Timbangan Mettler Toledo",,,30
"bom_machine_hour_230","Camoksil 500 mg Strip","Penimbangan","Printer Timbangan Mettler Toledo",,,30
"bom_machine_hour_240","Camoksil 500 mg Strip","Penimbangan","Timbangan Kern",,,30
"bom_machine_hour_250","Camoksil 500 mg Strip","Mixing","Mesin Super Mixer",,,60
"bom_machine_hour_260","Camoksil 500 mg Strip","Filling","Mesin Cetak Tablet JCMCO",,,210
"bom_machine_hour_270","Camoksil 500 mg Strip","Filling","Mesin Filling Capsule Chin Yi",,,
"bom_machine_hour_280","Camoksil 500 mg Strip","Filling","Mesin Filling AMS",,,
"bom_machine_hour_290","Camoksil 500 mg Strip","Filling","Mesin Capping Jie Cheng",,,
"bom_machine_hour_300","Camoksil 500 mg Strip","Codding","Mesin Codding Kapsul Alpha Jet",,,60
"bom_machine_hour_310","Camoksil 500 mg Strip","Labelling","Mesin Etiket Chyun Jye",,,
"bom_machine_hour_320","Ampicillin 250 mg Strip","Pengeringan",,,,
"bom_machine_hour_330","Ampicillin 250 mg Strip","Penimbangan","Timbangan Mettler Toledo",,,30
"bom_machine_hour_340","Ampicillin 250 mg Strip","Penimbangan","Printer Timbangan Mettler Toledo",,,30
"bom_machine_hour_350","Ampicillin 250 mg Strip","Penimbangan","Timbangan Kern",,,30
"bom_machine_hour_360","Ampicillin 250 mg Strip","Mixing","Mesin Super Mixer",,,60
"bom_machine_hour_370","Ampicillin 250 mg Strip","Filling","Mesin Cetak Tablet JCMCO",,,
"bom_machine_hour_380","Ampicillin 250 mg Strip","Filling","Mesin Filling Capsule Chin Yi",,,1440
"bom_machine_hour_390","Ampicillin 250 mg Strip","Filling","Mesin Filling AMS",,,
"bom_machine_hour_400","Ampicillin 250 mg Strip","Filling","Mesin Capping Jie Cheng",,,
"bom_machine_hour_410","Ampicillin 250 mg Strip","Codding","Mesin Codding Kapsul Alpha Jet",,,60
