"id","name","year","forecast_detail_ids/product_id","forecast_detail_ids/product_uom","forecast_detail_ids/m1","forecast_detail_ids/m2","forecast_detail_ids/m3","forecast_detail_ids/m4","forecast_detail_ids/m5","forecast_detail_ids/m6","forecast_detail_ids/m7","forecast_detail_ids/m8","forecast_detail_ids/m9","forecast_detail_ids/m10","forecast_detail_ids/m11","forecast_detail_ids/m12"
"forecast_2015",2015,2015,"Bio nigell","Kp Lu",,,,,,,,,,,,
,,,"Buah Merah Rediss","Kp Lu",,,,,,,,,,,,
,,,"Buah Merah W 600","Kp Lu",,,,,,,,,,,,
,,,"Biocelle","Kp Lu",,,,,,,,,,,,
,,,"Carniten","Kp Lu",,,,,,,,,,,,
,,,"DBS Habbazzaitun","Kp Lu",,,,,,,,,,,,
,,,"Fish Oil 1000 mg","Kp Lu",,,,,,,,,,,,
,,,"Olive Oil 600 mg","Kp Lu",,,,,,,,,,,,
,,,"Habbatussauda 600 mg","Kp Lu",,,,,,,,,,,,
,,,"Inspira Vitamin E 400 IU","Kp Lu",,,,,,,,,,,,
,,,"Isotretinoin 10 mg","Kp Lu",,,,,,,,,,,,
,,,"Lamata","Kp Lu",,,,,,,,,,,,
,,,"Mamavita 400 mg Soft Capsule","Kp Lu",,,,,,,,,,,,
,,,"Natura Nigela S 700","Kp Lu",,,,,,,,,,,,
,,,"Natura Omega S 650","Kp Lu",,,,,,,,,,,,
,,,"Pure Fish Oil","Kp Lu",,,,,,,,,,,,
,,,"Vitamin A 100.000 IU","Kp Lu",,,,,,,,,,,,
,,,"Vitamin A 200.000 IU","Kp Lu",,,,,,,,,,,,
,,,"Antasida Doen 60 ml","Botol",,,,,,,,,,,,
,,,"BAB 100 ml","Botol",,,,,,,,,,,,
,,,"Calcivita 200 ml","Botol",,,,,,,,,,,,
,,,"Camaag 100 ml","Botol",,,,,,,,,,,,
,,,"Camaag 200 ml","Botol",,,,,,,,,,,,
,,,"Came 60 ml","Botol",,,,,,,,,,,,
,,,"Camexine 60 ml","Botol",,,,,,,,,,,,
,,,"Camicetine 60 ml","Botol",,,,,,,,,,,,
,,,"Camicetine 60 ml Export","Botol",,,,,,,,,,,,
,,,"Camidex 100 ml","Botol",,,,,,,,,,,,
,,,"Camidryl 60 ml","Botol",,,,,,,,,,,,
,,,"Camikolin 60 ml","Botol",,,,,,,,,,,,
