NO_BATCH	TGL_PENGAMBILAN	NOMOR_MO	KODE_BARANG	LOKASI	QUANTITY	HARGA_PER_UNIT	STATIS	NO_AKUN	STATIS	STATIS	STATIS
[55230500M1]Anak Timbangan 500 g M1	2016-04-19 06:59:22	PO00858		Suppliers	1.0	0.0	STATIS	False	STATIS	STATIS	STATIS

[552305E2] Anak Timbangan 5 g E2	2016-04-19 06:59:22	PO00858		Suppliers	1.0	0.0	STATIS	False	STATIS	STATIS	STATIS

[55230100E2] Anak Timbangan 100 g E2	2016-04-19 06:59:22	PO00858		Suppliers	1.0	0.0	STATIS	False	STATIS	STATIS	STATIS

[5523050E2] Anak Timbangan 50 g E2	2016-04-19 06:59:22	PO00858		Suppliers	1.0	0.0	STATIS	False	STATIS	STATIS	STATIS

[5523020E2] Anak Timbangan 20 g E2	2016-04-19 06:59:22	PO00858		Suppliers	1.0	0.0	STATIS	False	STATIS	STATIS	STATIS

[5523010E2] Anak Timbangan 10 g E2	2016-04-19 06:59:22	PO00858		Suppliers	1.0	0.0	STATIS	False	STATIS	STATIS	STATIS

[ Pekerjaan Desain atau Jasa Relabeling produk dan kemasan PT Lucas Djaja	2016-04-05 02:32:33	PO00779		Suppliers	1.0	0.0	STATIS	False	STATIS	STATIS	STATIS

 [55230] Anak Timbangan 5 kg M2	2016-04-19 06:59:22	PO00858		Suppliers	1.0	0.0	STATIS	False	STATIS	STATIS	STATIS

[Climatic chamber	2016-04-08 04:36:52	PO00828		Suppliers	1.0	0.0	STATIS	False	STATIS	STATIS	STATIS

[Autoclave	2016-04-08 04:36:52	PO00828		Suppliers	1.0	0.0	STATIS	False	STATIS	STATIS	STATIS

[BCS0020201] Colloidal Silicon Dioxide, Wacker Chemicals	2016-04-26 05:42:09	PO00901	BCS002	Suppliers	20.0	95571.43000000001	STATIS	10010102	STATIS	STATIS	STATIS

[BCS0020201] Colloidal Silicon Dioxide, Wacker Chemicals	2016-06-06 05:00:00	PO00901	BCS002	Input	20.0	95571.43000000001	STATIS	10010102	STATIS	STATIS	STATIS

[BGE0010101] Gelatin (B-140), Gelita	2016-04-26 07:30:03	PO00904	BGE001	Suppliers	25.0	80509.76	STATIS	10010102	STATIS	STATIS	STATIS

[BGE0010101] Gelatin (B-140), Gelita	2016-06-06 05:00:00	PO00904	BGE001	Input	25.0	80509.76	STATIS	10010102	STATIS	STATIS	STATIS

[BTS0010201] Tapioca Starch, Eiamheng Modified S	2016-04-26 07:26:04	PO00906	BTS001	Suppliers	25.0	0.0	STATIS	10010102	STATIS	STATIS	STATIS

[BTS0010201] Tapioca Starch, Eiamheng Modified S	2016-06-06 05:00:00	PO00906	BTS001	Input	25.0	0.0	STATIS	10010102	STATIS	STATIS	STATIS

[BMC0010101] MCC PH-101, Gujarat Microwax Private Ltd.	2016-04-26 07:23:04	PO00908	BMC001	Suppliers	75.0	40812.5	STATIS	10010102	STATIS	STATIS	STATIS

[BMC0010101] MCC PH-101, Gujarat Microwax Private Ltd.	2016-06-06 05:00:00	PO00908	BMC001	Input	75.0	40812.5	STATIS	10010102	STATIS	STATIS	STATIS

[ACY0010301] Cyanocobalamin, Hebei Huarong	2016-04-26 07:34:53	PO00914	ACY001	Suppliers	700.0	0.0	STATIS	10010101	STATIS	STATIS	STATIS

[ACY0010301] Cyanocobalamin, Hebei Huarong	2016-06-06 05:00:00	PO00914	ACY001	Input	700.0	0.0	STATIS	10010101	STATIS	STATIS	STATIS

[BSO0020101] Sorbitol, Cargill Bio-Chemical	2016-04-26 07:27:48	PO00909	BSO002	Suppliers	8100.0	4825.51	STATIS	10010102	STATIS	STATIS	STATIS

[BSO0020101] Sorbitol, Cargill Bio-Chemical	2016-06-06 05:00:00	PO00909	BSO002	Input	8100.0	4825.51	STATIS	10010102	STATIS	STATIS	STATIS

[BSC0030201] Sodium Citrate (Oral), Jiali Bio(Qingdao)	2016-04-26 09:55:03	PO00924	BSC003	Suppliers	50.0	15566.67	STATIS	10010102	STATIS	STATIS	STATIS

[BSC0030201] Sodium Citrate (Oral), Jiali Bio(Qingdao)	2016-06-06 05:00:00	PO00924	BSC003	Input	50.0	15566.67	STATIS	10010102	STATIS	STATIS	STATIS

[BPO0030201] Peppermint Oil, Anhui Province Y. S.	2016-04-26 09:52:50	PO00923	BPO003	Suppliers	50.0	194000.0	STATIS	10010102	STATIS	STATIS	STATIS

[BPO0030201] Peppermint Oil, Anhui Province Y. S.	2016-06-06 05:00:00	PO00923	BPO003	Input	50.0	194000.0	STATIS	10010102	STATIS	STATIS	STATIS

[ASI0010101] Simethicone, Basildon Chem	2016-04-26 09:50:06	PO00922	ASI001	Suppliers	125.0	71001.55	STATIS	10010101	STATIS	STATIS	STATIS

[ASI0010101] Simethicone, Basildon Chem	2016-06-06 05:00:00	PO00922	ASI001	Input	125.0	71001.55	STATIS	10010101	STATIS	STATIS	STATIS

[BSU0020201] Sucrose, Jawa Manis Rafinasi	2016-04-28 01:11:02	PO00933	BSU002	Suppliers	3000.0	9020.59	STATIS	10010102	STATIS	STATIS	STATIS

[BSU0020201] Sucrose, Jawa Manis Rafinasi	2016-06-06 05:00:00	PO00933	BSU002	Input	3000.0	9020.59	STATIS	10010102	STATIS	STATIS	STATIS

[CTB0110100] Tutup Btl HDPE 5 ml white	2016-04-28 05:36:00	PO00941	CTB011	Suppliers	150000.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[CBO0230100] Btl HDPE 5 ml white	2016-04-28 05:36:00	PO00941	CBO023	Suppliers	150000.0	69.86	STATIS	10010103	STATIS	STATIS	STATIS

[CPI0100100] Plug In Botol HDPE 5 ml white	2016-04-28 05:36:00	PO00941	CPI010	Suppliers	150000.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[CTB0110100] Tutup Btl HDPE 5 ml white	2016-06-06 05:00:00	PO00941	CTB011	Input	150000.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[CBO0230100] Btl HDPE 5 ml white	2016-06-06 05:00:00	PO00941	CBO023	Input	150000.0	69.86	STATIS	10010103	STATIS	STATIS	STATIS

[CPI0100100] Plug In Botol HDPE 5 ml white	2016-06-06 05:00:00	PO00941	CPI010	Input	150000.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[CBO0090100] Btl Glass Amber 60 ml Round	2016-04-29 01:18:01	PO00946	CBO009	Suppliers	200000.0	298.11	STATIS	10010103	STATIS	STATIS	STATIS

[CBO0090100] Btl Glass Amber 60 ml Round	2016-06-06 05:00:00	PO00946	CBO009	Input	200000.0	298.11	STATIS	10010103	STATIS	STATIS	STATIS

[CET0820100] Etiket OBH Syrup 100 ml	2016-05-11 20:23:31	PO00955	CET082	Suppliers	105000.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[CET0820100] Etiket OBH Syrup 100 ml	2016-05-11 20:23:31	PO00955	CET082	Suppliers	105000.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[CET0820100] Etiket OBH Syrup 100 ml	2016-06-06 05:00:00	PO00955	CET082	Input	105000.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[CET0820100] Etiket OBH Syrup 100 ml	2016-06-06 05:00:00	PO00955	CET082	Input	105000.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[CBA0040100] B. Allufoil Fluza 260 mm x 500 m	2016-03-31 08:03:53	PO00746	CBA004	Suppliers	100.0	734482.75	STATIS	10010103	STATIS	STATIS	STATIS

[CFA0220100] F Allu Fluza (260 mm x 500 m)	2016-03-31 08:03:53	PO00746	CFA022	Suppliers	100.0	934588.9	STATIS	10010103	STATIS	STATIS	STATIS

[CBA0040100] B. Allufoil Fluza 260 mm x 500 m	2016-06-04 05:00:00	PO00746	CBA004	Input	100.0	734482.75	STATIS	10010103	STATIS	STATIS	STATIS

[CFA0220100] F Allu Fluza (260 mm x 500 m)	2016-06-04 05:00:00	PO00746	CFA022	Input	100.0	934588.9	STATIS	10010103	STATIS	STATIS	STATIS

