id,code,name,name_alt,description,description_alt,short_name,level,unit_id,unit_alt,claim_type_id,max_frequency,reinstate_in,pre_hospitalization,post_hospitalization,limit_from_surgery,limit_from_parent_benefit,allowed_benefit_from,allowed_benefit_to,accumulated_for_one_day,reinstateable_benefit,surgery_benefit,group_term_life_benefit,claimable_benefit,hide_on_printing,pre_post_maternity_benefit,benefit_category_id,pool_fund_benefit,external_benefit_code,show_benefit_on_receipt,show_benefit_limit_on_receipt
benefit1,D1110,Perawatan Gigi Dasar,,Perawatan Gigi Dasar,,,,,,,,,,,,,,,,,,,,,,,,,
benefit2,D1120,Perawatan Pencegahan,,Perawatan Pencegahan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit3,D1130,Perawatan Gusi,,Perawatan Gusi,,,,,,,,,,,,,,,,,,,,,,,,,
benefit4,D1210,Perawatan kompleks,,Perawatan kompleks,,,,,,,,,,,,,,,,,,,,,,,,,
benefit5,D1220,Perawatan perbaikan,,Perawatan perbaikan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit6,D1300,Gigi Palsu,,Gigi Palsu,,,,,,,,,,,,,,,,,,,,,,,,,
benefit7,D9901,Gigi Palsu (akibat kecelakaan) Gigi ke 1 + Basis,,Gigi Palsu (akibat kecelakaan) Gigi ke 1 + Basis,,,,,,,,,,,,,,,,,,,,,,,,,
benefit8,D9902,Gigi Palsu (akibat kecelakaan) Gigi ke 2 / 3 dst,,Gigi Palsu (akibat kecelakaan) Gigi ke 2 / 3 dst,,,,,,,,,,,,,,,,,,,,,,,,,
benefit9,D9903,Scaling gigi,,Scaling gigi,,,,,,,,,,,,,,,,,,,,,,,,,
benefit10,G1000,Biaya Pemeriksaan Mata,,Biaya Pemeriksaan Mata,,,,,,,,,,,,,,,,,,,,,,,,,
benefit11,G1100,Biaya Penggantian Frame dan Lensa,,Biaya Penggantian Frame dan Lensa,,,,,,,,,,,,,,,,,,,,,,,,,
benefit12,G1110,Biaya Penggantian Frame,,Biaya Penggantian Frame,,,,,,,,,,,,,,,,,,,,,,,,,
benefit13,G1120,Biaya Penggantian Lensa,,Biaya Penggantian Lensa,,,,,,,,,,,,,,,,,,,,,,,,,
benefit14,H110,Kamar dan Makan Test,,Kamar dan Makan Test,,,,,,,,,,,,,,,,,,,,,,,,,
benefit15,H1100,Kamar & Makan maks 365 hari,,Kamar & Makan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit16,H1200,Unit Perawatan Intensif,,Unit Perawatan Intensif,,,,,,,,,,,,,,,,,,,,,,,,,
benefit17,H1300,Ruang Perawatan Isolasi,,Ruang Perawatan Isolasi,,,,,,,,,,,,,,,,,,,,,,,,,
benefit18,H1301,Unit Perawatan Intensif & Ruang Perawatan Isolasi,,Unit Perawatan Intensif & Ruang Perawatan Isolasi,,,,,,,,,,,,,,,,,,,,,,,,,
benefit19,H1400,Kamar Bedah (Kompleks / Besar / Sedang / Kecil),,Kamar Bedah (Kompleks / Besar / Sedang / Kecil),,,,,,,,,,,,,,,,,,,,,,,,,
benefit20,H1410,Kamar Bedah Kompleks,,Kamar Bedah Kompleks,,,,,,,,,,,,,,,,,,,,,,,,,
benefit21,H1420,Kamar Bedah Besar,,Kamar Bedah Besar,,,,,,,,,,,,,,,,,,,,,,,,,
benefit22,H1430,Kamar Bedah Sedang,,Kamar Bedah Sedang,,,,,,,,,,,,,,,,,,,,,,,,,
benefit23,H1440,Kamar Bedah Kecil,,Kamar Bedah Kecil,,,,,,,,,,,,,,,,,,,,,,,,,
benefit24,H1450,Kamar Observasi,,Kamar Observasi,,,,,,,,,,,,,,,,,,,,,,,,,
benefit25,H2100,Kunjungan Dokter,,Kunjungan Dokter,,,,,,,,,,,,,,,,,,,,,,,,,
benefit26,H2110,Konsultasi Dokter Spesialis/ Ahli,,Konsultasi Dokter Spesialis/ Ahli,,,,,,,,,,,,,,,,,,,,,,,,,
benefit27,H2120,Dokter Bedah (Kompleks / Besar / Sedang / Kecil),,Dokter Bedah (Kompleks / Besar / Sedang / Kecil),,,,,,,,,,,,,,,,,,,,,,,,,
