id,diagnosis,name,description,description_1,exclusion_f,pre_existing_f,standard_fee,standard_treatment_day,diagnosis_map,poly,last_opr,allowed_f,last_update
diagnosis1,00,UnKnown,UnKnown,UnKnown,0,0,0,0,00,,,1,
diagnosis2,A00,CHOLERA,CHOLERA,,0,0,0,0,0100,,,1,
diagnosis3,A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae","Cholera due to Vibrio cholerae 01, biovar cholerae",,0,0,0,0,01000,,,1,
diagnosis4,A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor","Cholera due to Vibrio cholerae 01, biovar eltor",,0,0,0,0,01001,,,1,
diagnosis5,A00.9,CHOLERA- UNSPECIFIED,CHOLERA- UNSPECIFIED,,0,0,,,01009,,,1,
diagnosis6,A01,Typhoid and paratyphoid fevers,Typhoid and paratyphoid fevers,,0,0,0,0,0101,,,1,
diagnosis7,A01.0,TYPHOID FEVER,TYPHOID FEVER,,0,0,,,01010,,,1,
diagnosis8,A01.1,PARATYPHOID FEVER A,PARATYPHOID FEVER A,,0,0,0,0,01011,,,1,
diagnosis9,A01.2,PARATYPHOID FEVER B,PARATYPHOID FEVER B,,0,1,,,01012,,,1,
diagnosis10,A01.3,PARATYPHOID FEVER C,PARATYPHOID FEVER C,,0,1,,,01013,,,1,
diagnosis11,A01.4,"Paratyphoid fever, unspecified","Paratyphoid fever, unspecified",,0,0,0,0,01014,,,1,
diagnosis12,A02,Other salmonella infections,Other salmonella infections,,0,0,0,0,0102,,,1,
diagnosis13,A02.0,SALMONELLA ENTERITIS,SALMONELLA ENTERITIS,,0,0,,,01020,,,1,
diagnosis14,A02.1,Salmonella septicaemia,Salmonella septicaemia,,0,0,0,0,01021,,,1,
diagnosis15,A02.2+,Localized salmonella infections,Localized salmonella infections,,0,0,0,0,01022+,,,1,
diagnosis16,A02.8,OTHER SPECIFIED SALMONELLA INFECTIONS,OTHER SPECIFIED SALMONELLA INFECTIONS,,0,0,,,01028,,,1,
diagnosis17,A02.9,SAMONELLA INFECTION- UNSPECIFIED,SAMONELLA INFECTION- UNSPECIFIED,,0,0,,,01029,,,1,
diagnosis18,A03,SHIGELLOSIS,SHIGELLOSIS,,0,0,,,0103,,,1,
diagnosis19,A03.0,Shigellosis due to Shigella dysenteriae,Shigellosis due to Shigella dysenteriae,,0,0,0,0,01030,,,1,
diagnosis20,A03.1,Shigellosis due to Shigella flexneri,Shigellosis due to Shigella flexneri,,0,0,0,0,01031,,,1,
diagnosis21,A03.2,Shigellosis due to Shigella boydii,Shigellosis due to Shigella boydii,,0,0,0,0,01032,,,1,
diagnosis22,A03.3,Shigellosis due to Shigella sonnei,Shigellosis due to Shigella sonnei,,0,0,0,0,01033,,,1,
diagnosis23,A03.8,Other shigellosis,Other shigellosis,,0,0,0,0,01038,,,1,
diagnosis24,A03.9,"Shigellosis, unspecified","Shigellosis, unspecified",,0,0,0,0,01039,,,1,
diagnosis25,A04,OTHER BACTERIAL INTESTINAL INFECTIONS,OTHER BACTERIAL INTESTINAL INFECTIONS,,0,0,,,0104,,,1,
diagnosis26,A04.0,Enteropathogenic Escherichia coli infection,Enteropathogenic Escherichia coli infection,,0,0,0,0,01040,,,1,
diagnosis27,A04.1,Enterotoxigenic Escherichia coli infection,Enterotoxigenic Escherichia coli infection,,0,0,0,0,01041,,,1,
diagnosis28,A04.2,Enteroinvasive Escherichia coli infection,Enteroinvasive Escherichia coli infection,,0,0,0,0,01042,,,1,
diagnosis29,A04.3,Enterohaemorrhagic Escherichia coli infection,Enterohaemorrhagic Escherichia coli infection,,0,0,0,0,01043,,,1,
diagnosis30,A04.4,Other intestinal Escherichia coli infections,Other intestinal Escherichia coli infections,,0,0,0,0,01044,,,1,
diagnosis31,A04.5,Campylobacter enteritis,Campylobacter enteritis,,0,0,0,0,01045,,,1,
diagnosis32,A04.6,Enteritis due to Yersinia enterocolitica,Enteritis due to Yersinia enterocolitica,,0,0,0,0,01046,,,1,
diagnosis33,A04.7,Enterocolitis due to Clostridium difficile,Enterocolitis due to Clostridium difficile,,0,0,0,0,01047,,,1,
diagnosis34,A04.8,OTHER SPECIFIED BACTERIAL INTESTINAL INFECTIONS,OTHER SPECIFIED BACTERIAL INTESTINAL INFECTIONS,,0,0,,,01048,,,1,
diagnosis35,A04.9,BACTERIAL INTESTINAL INFECTION- UNSPECIFIED,BACTERIAL INTESTINAL INFECTION- UNSPECIFIED,,0,0,,,01049,,,1,
diagnosis36,A05,Other bacterial foodborne intoxications,Other bacterial foodborne intoxications,,0,0,0,0,0105,,,1,
diagnosis37,A05.0,Foodborne staphylococcal intoxication,Foodborne staphylococcal intoxication,,0,0,0,0,01050,,,1,
diagnosis38,A05.1,Botulism,Botulism,,0,0,0,0,01051,,,1,
diagnosis39,A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,,0,0,0,0,01052,,,1,
diagnosis40,A05.3,Foodborne Vibrio parahaemolyticus intoxication,Foodborne Vibrio parahaemolyticus intoxication,,0,0,0,0,01053,,,1,
diagnosis41,A05.4,Foodborne Bacillus cereus intoxication,Foodborne Bacillus cereus intoxication,,0,0,0,0,01054,,,1,
diagnosis42,A05.8,Other specified bacterial foodborne intoxications,Other specified bacterial foodborne intoxications,,0,0,0,0,01058,,,1,
diagnosis43,A05.9,"Bacterial foodborne intoxication, unspecified","Bacterial foodborne intoxication, unspecified",,0,0,0,0,01059,,,1,
diagnosis44,A06,AMOEBIASIS,AMOEBIASIS,,0,0,,,0106,,,1,
diagnosis45,A06.0,ACUTE AMOEBIOTIC DYSENTRY,ACUTE AMOEBIOTIC DYSENTRY,,0,0,,,01060,,,1,
diagnosis46,A06.1,CHRONIC INTESTINAL AMOEBIASIS,CHRONIC INTESTINAL AMOEBIASIS,,0,0,,,01061,,,1,
diagnosis47,A06.2,Amoebic nondysenteric colitis,Amoebic nondysenteric colitis,,0,0,0,0,01062,,,1,
diagnosis48,A06.3,Amoeboma of intestine,Amoeboma of intestine,,0,0,0,0,01063,,,1,
diagnosis49,A06.4,Amoebic liver abscess,Amoebic liver abscess,,0,0,0,0,01064,,,1,
diagnosis50,A06.5+,Amoebic lung abscess (J99.8*),Amoebic lung abscess (J99.8*),,0,0,0,0,01065+,,,1,
diagnosis51,A06.6+,Amoebic brain abscess (G07*),Amoebic brain abscess (G07*),,0,0,0,0,01066+,,,1,
diagnosis52,A06.7,Cutaneous amoebiasis,Cutaneous amoebiasis,,0,0,0,0,01067,,,1,
diagnosis53,A06.8,Amoebic infection of other sites,Amoebic infection of other sites,,0,0,0,0,01068,,,1,
diagnosis54,A06.9,"Amoebiasis, unspecified","Amoebiasis, unspecified",,0,0,0,0,01069,,,1,
diagnosis55,A07,Other protozoal intestinal diseases,Other protozoal intestinal diseases,,0,0,0,0,0107,,,1,
diagnosis56,A07.0,Balantidiasis,Balantidiasis,,0,0,0,0,01070,,,1,
diagnosis57,A07.1,Giardiasis [lambliasis],Giardiasis [lambliasis],,0,0,0,0,01071,,,1,
diagnosis58,A07.2,Cryptosporidiosis,Cryptosporidiosis,,0,0,0,0,01072,,,1,
diagnosis59,A07.3,Isosporiasis,Isosporiasis,,0,0,0,0,01073,,,1,
diagnosis60,A07.8,Other specified protozoal intestinal diseases,Other specified protozoal intestinal diseases,,0,0,0,0,01078,,,1,
diagnosis61,A07.9,"Protozoal intestinal disease, unspecified","Protozoal intestinal disease, unspecified",,0,0,0,0,01079,,,1,
