id,tid,floor,room,remarks,allowed_f,last_opr,last_update
providerEDC1,00000748,,Admin,,0,,
providerEDC2,00000064,,,,0,,
providerEDC3,00000033,,,,0,,
providerEDC4,00000090,,Admin,,0,,
providerEDC5,00000092,,Admin,,0,,
providerEDC6,00000541,,Admin RI dan RJ,,0,,
providerEDC7,00000423,,Instalasi RI lt. 2,,0,,
providerEDC8,00000424,,UGD,,0,,
providerEDC9,00000425,,Admin RI,,0,,
providerEDC10,00000426,,Admin RJ,,0,,
providerEDC11,00000296,,Kasir,,0,,
providerEDC12,00000293,,Admin RJ,,0,,
providerEDC13,00000294,,Farmasi Jaminan,,0,,
providerEDC14,00000531,,CS,,0,,
providerEDC15,00000532,,CS,,0,,
providerEDC16,00000792,,Admission,,0,,
providerEDC17,00000793,,Kasir RI dan RJ,,0,,
providerEDC18,00000373,,Kasir Poli,,0,,
providerEDC19,00000374,,Kasir,,0,,
providerEDC20,00000079,,Informasi,,0,,
providerEDC21,00000080,,Kasir dan Admin RI,,0,,
providerEDC22,00000081,,Kasir RJ,,0,,
providerEDC23,00000807,,F.O lt.1,,0,,
providerEDC24,00000468,,Pendaftaran,,0,,
providerEDC25,00000522,,Kasir,,0,,
providerEDC26,00001112,,,,0,,
providerEDC27,00001051,,,,0,,
providerEDC28,00000687,,Pendaftaran,,0,,
providerEDC29,00000771,,,,0,,
providerEDC30,00000422,,Pendaftaran,,0,,
providerEDC31,00000544,,Admin dan Kasir,,0,,
providerEDC32,00000649,,Pendaftaran dan Kasir RJ,,0,,
providerEDC33,00000086,,Kasir RI,,0,,
providerEDC34,00000250,,Admin RJ,,0,,
providerEDC35,00000103,,Kasir RJ,,0,,
providerEDC36,00000110,,IGD,,0,,
providerEDC37,00001145,,,,0,,
providerEDC38,00001146,,,,0,,
providerEDC39,00001147,,,,0,,
providerEDC40,00000265,,Admin dan Kasir,,0,,
providerEDC41,00000150,,Kasir,,0,,
providerEDC42,00000171,,Pendaftaran,,0,,
providerEDC43,00000381,,Apotik,,0,,
providerEDC44,00000491,,Admin (FO),,0,,
providerEDC45,00000087,,Kasir RJ,,0,,
providerEDC46,00000089,,Kasir RI,,0,,
providerEDC47,00000942,,,,0,,
providerEDC48,00000943,,,,0,,
providerEDC49,00000936,,,,0,,
providerEDC50,00000937,,,,0,,
providerEDC51,00000938,,,,0,,
providerEDC52,00000939,,,,0,,
providerEDC53,00000940,,,,0,,
providerEDC54,00000825,,,,0,,
providerEDC55,00000826,,,,0,,
providerEDC56,00000127,,,,0,,
providerEDC57,00000148,,,,0,,
providerEDC58,00000390,,,,0,,
providerEDC59,00000397,,Kasir RJ,,0,,
providerEDC60,00000398,,Informasi,,0,,
providerEDC61,00000945,,,,0,,
providerEDC62,00000946,,,,0,,
providerEDC63,00000391,,Admin RI dan RJ,,0,,
providerEDC64,00000392,,Kasir RJ,,0,,
providerEDC65,00000406,,Adm RI dan RJ,,0,,
providerEDC66,00000407,,UGD,,0,,
providerEDC67,00000412,,Kasir RJ,,0,,
providerEDC68,00000803,,UGD,,0,,
providerEDC69,00000804,,Kasir RI,,0,,
providerEDC70,00000805,,Kasir Asuransi,,0,,
providerEDC71,00000400,,Kasir RI dan RJ,,0,,
providerEDC72,00000401,,Admin RI dan RJ,,0,,
providerEDC73,00000402,,Kasir RJ,,0,,
providerEDC74,00000403,,Admin RI,,0,,
providerEDC75,00000113,,Kasir RI,,0,,
providerEDC76,00000147,,FO,,0,,
providerEDC77,00000413,,Kasir RI dan RJ,,0,,
providerEDC78,00000414,,Adm RI dan RJ,,0,,
providerEDC79,00000394,,Pendaftaran RI,,0,,
providerEDC80,00000003,,Office,,0,,
providerEDC81,00000004,,Counter RI lt. 1,,0,,
providerEDC82,00000070,,Counter 1,,0,,
providerEDC83,00000300,,,,0,,
providerEDC84,00000301,,,,0,,
providerEDC85,00000302,,,,0,,
providerEDC86,00000368,,Farmasi,,0,,
providerEDC87,00000661,,Kasir RI,,0,,
providerEDC88,00000662,,ADM RJ/conter 2 spec,,0,,
providerEDC89,00000006,,,,0,,
providerEDC90,00000008,,,,0,,
providerEDC91,00000297,,,,0,,
providerEDC92,00000298,,,,0,,
providerEDC93,00000299,,,,0,,
providerEDC94,00000022,,Pendaftaran RJ,,0,,
providerEDC95,00000105,,Kasir RI,,0,,
providerEDC96,00000106,,Admin UGD,,0,,
providerEDC97,00000486,,FO,,0,,
providerEDC98,00000487,,Kasir,,0,,
providerEDC99,00000559,,Kasir,,0,,
providerEDC100,00000560,,Informasi,,0,,
providerEDC101,00000829,,,,0,,
providerEDC102,00000830,,,,0,,
providerEDC103,00000303,,Pendaftaran,,0,,
providerEDC104,00000304,,Kasir,,0,,
providerEDC105,00000458,,Kasir RJ,,0,,
providerEDC106,00000305,,Kasir RJ B,,0,,
