"id","name"
"pekerjaan_1","Profesional"
"pekerjaan_2","Wirausaha"
"pekerjaan_3","Karyawan Swasta"
"pekerjaan_4","Ibu Rumah Tangga"
"pekerjaan_5","Investor"
"pekerjaan_6","Lainnya"
"pekerjaan_7","Mahasiswa"
"pekerjaan_8","Pegawai Negeri Sipil"
"pekerjaan_9","Karyawan BUMN"
"pekerjaan_10","Direktur"
"pekerjaan_11","Pensiunan"
"pekerjaan_12","TNI/POLRI"
"pekerjaan_13","Konsultan"
"pekerjaan_14","Marketing"
"pekerjaan_15","Pendeta"
"pekerjaan_16","Pengajar/Guru/Dosen"
"pekerjaan_17","Karyawan Swasta Asing"
