id,pekerjaan_id,name
pekerjaan_rmi_1,Karyawan Swasta,Perusahaan Asuransi
pekerjaan_rmi_2,Karyawan Swasta,Pegawai Swasta
pekerjaan_rmi_3,Wirausaha,Wiraswasta
pekerjaan_rmi_4,Mahasiswa,Mahasiswa
pekerjaan_rmi_5,Karyawan Swasta,Dana Pensiun
pekerjaan_rmi_6,Ibu Rumah Tangga,Ibu Rumah Tangga
pekerjaan_rmi_7,Lainnya,Manajer Investasi
pekerjaan_rmi_8,Karyawan BUMN,PNS/BUMN
pekerjaan_rmi_9,Pengajar/Guru/Dosen,Pengajar/Guru/Dosen
pekerjaan_rmi_10,Lainnya,Holding Financial
pekerjaan_rmi_11,Lainnya,Lain-lain
pekerjaan_rmi_12,Pensiunan,Pensiun
pekerjaan_rmi_13,Pengajar/Guru/Dosen,Dosen/Guru/Pengajar
pekerjaan_rmi_14,TNI/POLRI,POLRI/TNI
pekerjaan_rmi_15,Investor,Pembiayaan
pekerjaan_rmi_16,Karyawan Swasta,Sekuritas
pekerjaan_rmi_17,Karyawan Swasta,IT
pekerjaan_rmi_18,Mahasiswa,Mahasiswa/Pelajar
pekerjaan_rmi_19,Pengajar/Guru/Dosen,Dosen/Pengajar/Guru
