"id","name","urutan","min","max"
"range_9","1 Jt - 10 Jt",10,1000000,10000000
"range_3","10 jt - 25 Jt",20,10000000,25000000
"range_10","25 Jt - 50 Jt",30,25000000,50000000
"range_1","50 Jt - 100 Jt",40,50000000,100000000
"range_2","100 Jt - 250 Jt",50,100000000,250000000
"range_8","250 Jt - 500 Jt",60,250000000,500000000
"range_6","500 Jt - 1 M",70,500000000,1000000000
"range_11","1 M - 5 M",80,1000000000,5000000000
"range_12","5 M - 10 M",90,5000000000,10000000000
"range_7","10 M - 50 M",100,10000000000,50000000000
