id,name,state_id
states_mapping_1,Bali,BALI
states_mapping_2,Banten,BANTEN
states_mapping_3,Dki Jakarta,DKI JAKARTA
states_mapping_4,DKI Jakarta,DKI JAKARTA
states_mapping_5,Dki Jakrta,DKI JAKARTA
states_mapping_6,Jawa Barat,JAWA BARAT
states_mapping_7,Jawabarat,JAWA BARAT
states_mapping_8,Jawa Tengah,JAWA TENGAH
states_mapping_9,Jawatengah,JAWA TENGAH
states_mapping_10,Jawa Timur,JAWA TIMUR
states_mapping_11,Kalimantan Tengah,KALIMANTAN TENGAH
states_mapping_12,Kepulauan Riau,KEPULAUAN RIAU
states_mapping_13,Kalimantan Barat,KALIMANTAN BARAT
states_mapping_14,Medan,SUMATERA UTARA
states_mapping_15,Riau,RIAU
states_mapping_16,Sumatra Utara,SUMATERA UTARA
states_mapping_17,Sumatera Selatan,SUMATERA SELATAN
states_mapping_18,Sulawesi Selatan,SUMATERA SELATAN
states_mapping_19,Sumatera Utara,SUMATERA UTARA
states_mapping_20,Tangerang,BANTEN
states_mapping_21,Jawatimur,JAWA TIMUR
states_mapping_22,DKI Jakrta,DKI JAKARTA
