"External ID","Prodi","Name","Sale Price"
"uang_kuliah_1","Prodi Teknik Sipil (S1)","Uang Kuliah Prodi Teknik Sipil (S1)",
"uang_kuliah_2","Prodi Teknik Arsitektur (S1)","Uang Kuliah Prodi Teknik Arsitektur (S1)",
"uang_kuliah_3","Prodi Teknik Arts. Landscape (S1)","Uang Kuliah Prodi Teknik Arts. Landscape (S1)",
"uang_kuliah_4","Prodi Teknik Sipil (D3)","Uang Kuliah Prodi Teknik Sipil (D3)",
"uang_kuliah_5","Prodi Teknik Mesin (S1)","Uang Kuliah Prodi Teknik Mesin (S1)",
"uang_kuliah_6","Prodi Teknik Elektro (S1)","Uang Kuliah Prodi Teknik Elektro (S1)",
"uang_kuliah_7","Prodi Teknik Industri (S1)","Uang Kuliah Prodi Teknik Industri (S1)",
"uang_kuliah_8","Prodi Teknik Mesin (D3)","Uang Kuliah Prodi Teknik Mesin (D3)",
"uang_kuliah_9","Prodi Teknik Elektro (D3)","Uang Kuliah Prodi Teknik Elektro (D3)",
"uang_kuliah_10","Prodi Matematika (S1)","Uang Kuliah Prodi Matematika (S1)",
"uang_kuliah_11","Prodi Fisika (S1)","Uang Kuliah Prodi Fisika (S1)",
"uang_kuliah_12","Prodi Farmasi (S1)","Uang Kuliah Prodi Farmasi (S1)",
"uang_kuliah_13","Prodi Apoteker (S1)","Uang Kuliah Prodi Apoteker (S1)",
"uang_kuliah_14","Prodi Sistem Informasi (S1)","Uang Kuliah Prodi Sistem Informasi (S1)",
"uang_kuliah_15","Prodi Teknik Informatika (S1)","Uang Kuliah Prodi Teknik Informatika (S1)",
"uang_kuliah_16","Prodi Teknik Sipil (S1)","Uang Kuliah Prodi Teknik Sipil (S1)",
"uang_kuliah_17","Prodi Teknik Sipil (D3)","Uang Kuliah Prodi Teknik Sipil (D3)",
"uang_kuliah_18","Prodi Teknik Mesin (S1)","Uang Kuliah Prodi Teknik Mesin (S1)",
"uang_kuliah_19","Prodi Teknik Elektro (S1)","Uang Kuliah Prodi Teknik Elektro (S1)",
"uang_kuliah_20","Prodi Teknik Industri (S1)","Uang Kuliah Prodi Teknik Industri (S1)",
"uang_kuliah_21","Prodi Teknik Mesin (D3)","Uang Kuliah Prodi Teknik Mesin (D3)",
"uang_kuliah_22","Prodi Teknik Elektro (D3)","Uang Kuliah Prodi Teknik Elektro (D3)",
"uang_kuliah_23","Prodi Magister Teknik Mesin (S2)","Uang Kuliah Prodi Magister Teknik Mesin (S2)",
"uang_kuliah_24","Prodi Magister Teknik Elektro (S2)","Uang Kuliah Prodi Magister Teknik Elektro (S2)",
"uang_kuliah_25","Prodi Magister Teknik Industri (S2)","Uang Kuliah Prodi Magister Teknik Industri (S2)",
"uang_kuliah_26","Prodi Teknik Elektro (S1)","Uang Kuliah Prodi Teknik Elektro (S1)",
"uang_kuliah_27","Prodi Teknik Mesin (S1)","Uang Kuliah Prodi Teknik Mesin (S1)",
"uang_kuliah_28","Prodi Teknik Elektro (S1)","Uang Kuliah Prodi Teknik Elektro (S1)",
"uang_kuliah_29","Prodi Teknik Industri (S1)","Uang Kuliah Prodi Teknik Industri (S1)",
"uang_kuliah_30","Prodi Teknik Sipil (S1)","Uang Kuliah Prodi Teknik Sipil (S1)",
"uang_kuliah_31","Prodi Teknik Arsitektur (S1)","Uang Kuliah Prodi Teknik Arsitektur (S1)",
"uang_kuliah_32","Prodi Teknik Mesin (S1)","Uang Kuliah Prodi Teknik Mesin (S1)",
"uang_kuliah_33","Prodi Teknik Elektro (S1)","Uang Kuliah Prodi Teknik Elektro (S1)",
"uang_kuliah_34","Prodi Teknik Industri (S1)","Uang Kuliah Prodi Teknik Industri (S1)",
"uang_kuliah_35","Prodi Farmasi (S1)","Uang Kuliah Prodi Farmasi (S1)",
"uang_kuliah_36","Prodi Sistem Informasi (S1)","Uang Kuliah Prodi Sistem Informasi (S1)",
"uang_kuliah_37","Prodi Teknik Informatika (S1)","Uang Kuliah Prodi Teknik Informatika (S1)",
"uang_kuliah_38","Prodi Teknik Sipil (S1)","Uang Bangunan Prodi Teknik Sipil (S1)",
"uang_kuliah_39","Prodi Teknik Arsitektur (S1)","Uang Bangunan Prodi Teknik Arsitektur (S1)",
"uang_kuliah_40","Prodi Teknik Arts. Landscape (S1)","Uang Bangunan Prodi Teknik Arts. Landscape (S1)",
"uang_kuliah_41","Prodi Teknik Sipil (D3)","Uang Bangunan Prodi Teknik Sipil (D3)",
"uang_kuliah_42","Prodi Teknik Mesin (S1)","Uang Bangunan Prodi Teknik Mesin (S1)",
"uang_kuliah_43","Prodi Teknik Elektro (S1)","Uang Bangunan Prodi Teknik Elektro (S1)",
"uang_kuliah_44","Prodi Teknik Industri (S1)","Uang Bangunan Prodi Teknik Industri (S1)",
"uang_kuliah_45","Prodi Teknik Mesin (D3)","Uang Bangunan Prodi Teknik Mesin (D3)",
"uang_kuliah_46","Prodi Teknik Elektro (D3)","Uang Bangunan Prodi Teknik Elektro (D3)",
"uang_kuliah_47","Prodi Matematika (S1)","Uang Bangunan Prodi Matematika (S1)",
"uang_kuliah_48","Prodi Fisika (S1)","Uang Bangunan Prodi Fisika (S1)",
"uang_kuliah_49","Prodi Farmasi (S1)","Uang Bangunan Prodi Farmasi (S1)",
"uang_kuliah_50","Prodi Apoteker (S1)","Uang Bangunan Prodi Apoteker (S1)",
"uang_kuliah_51","Prodi Sistem Informasi (S1)","Uang Bangunan Prodi Sistem Informasi (S1)",
"uang_kuliah_52","Prodi Teknik Informatika (S1)","Uang Bangunan Prodi Teknik Informatika (S1)",
"uang_kuliah_53","Prodi Teknik Sipil (S1)","Uang Bangunan Prodi Teknik Sipil (S1)",
"uang_kuliah_54","Prodi Teknik Sipil (D3)","Uang Bangunan Prodi Teknik Sipil (D3)",
"uang_kuliah_55","Prodi Teknik Mesin (S1)","Uang Bangunan Prodi Teknik Mesin (S1)",
"uang_kuliah_56","Prodi Teknik Elektro (S1)","Uang Bangunan Prodi Teknik Elektro (S1)",
"uang_kuliah_57","Prodi Teknik Industri (S1)","Uang Bangunan Prodi Teknik Industri (S1)",
"uang_kuliah_58","Prodi Teknik Mesin (D3)","Uang Bangunan Prodi Teknik Mesin (D3)",
"uang_kuliah_59","Prodi Teknik Elektro (D3)","Uang Bangunan Prodi Teknik Elektro (D3)",
"uang_kuliah_60","Prodi Magister Teknik Mesin (S2)","Uang Bangunan Prodi Magister Teknik Mesin (S2)",
"uang_kuliah_61","Prodi Magister Teknik Elektro (S2)","Uang Bangunan Prodi Magister Teknik Elektro (S2)",
"uang_kuliah_62","Prodi Magister Teknik Industri (S2)","Uang Bangunan Prodi Magister Teknik Industri (S2)",
"uang_kuliah_63","Prodi Teknik Elektro (S1)","Uang Bangunan Prodi Teknik Elektro (S1)",
"uang_kuliah_64","Prodi Teknik Mesin (S1)","Uang Bangunan Prodi Teknik Mesin (S1)",
"uang_kuliah_65","Prodi Teknik Elektro (S1)","Uang Bangunan Prodi Teknik Elektro (S1)",
